outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4822,1978,128.16798009124844,115.0,214.90000000000055
error,4442,3734,708,131.462506695233,118.0,219.0
clean,2358,1088,1270,116.86121323529412,105.0,194.0
