model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3987488773961785,0.357487922705314,0.5362318840579711,0.45077720207253885,0.4025,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.32551859580213577,0.24074074074074073,0.4562289562289562,0.5024630541871922,0.347,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3089465779875563,0.2178517397881997,0.4493192133131619,0.5309734513274337,0.324,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.2874330482052922,0.1857707509881423,0.37681159420289856,0.6348547717842323,0.294,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3870012035922599,0.3188405797101449,0.47342995169082125,0.49222797927461137,0.4025,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.3446829336502832,0.2441077441077441,0.44612794612794615,0.5862068965517241,0.383,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.31537773316457907,0.21331316187594554,0.4357034795763994,0.6047197640117994,0.346,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.29976036598649336,0.18972332015810275,0.3675889328063241,0.7136929460580913,0.316,1000,759,241
llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,0.4059652029826015,0.33816425120772947,0.5603864734299517,0.5077720207253886,0.42,400,207,193
llama31_8b,math,processbench_math_llama31_8b,0.3377023901310717,0.24579124579124578,0.4831649831649832,0.5394088669950738,0.365,1000,594,406
llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,0.3147156706699465,0.22692889561270801,0.4205748865355522,0.5132743362831859,0.324,1000,661,339
llama31_8b,omnimath,processbench_omnimath_llama31_8b,0.2688692565250716,0.16996047430830039,0.36231884057971014,0.6431535269709544,0.284,1000,759,241
