population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
current_common_eight_qwen,official_macro_f1,0.3334336669730973,0.3150190784917757,0.35080950017778256,6800,3400
current_common_eight_qwen,first_error_exact,0.24597949500929173,0.2267293102818357,0.2652904948543375,6800,3400
current_common_eight_qwen,first_error_within_one,0.44268024475055984,0.42093839881648343,0.4642411584693295,6800,3400
current_common_eight_qwen,clean_abstention_accuracy,0.5644895081584529,0.5375694710268462,0.5913623389429202,6800,3400
current_common_eight_qwen,overall_decision_accuracy,0.35187500000000005,0.33575,0.3683125,6800,3400
current_full_twelve_cell,official_macro_f1,0.3328934880077891,0.31606670152690114,0.3482245387413707,10200,3400
current_full_twelve_cell,first_error_exact,0.24572340224952646,0.2283631043539771,0.2632731441813557,10200,3400
current_full_twelve_cell,first_error_within_one,0.447323928476223,0.4275872113223084,0.46673089410444396,10200,3400
current_full_twelve_cell,clean_abstention_accuracy,0.5599604013535189,0.5347098951499061,0.5855412181929552,10200,3400
current_full_twelve_cell,overall_decision_accuracy,0.3506666666666667,0.33570833333333333,0.365875,10200,3400
