method,n_S4,exact_top1_S4,competition_oracle_3,hit1,hit3,hit5,mean_rank,median_margin
ct7,4242,0.3741159830268741,0.5254489680052556,0.3741159830268741,0.7435172088637435,0.9054691183404054,2.737623762376238,-0.18913371359548112
evidence30__all__plain__equal,4242,0.3165959453088166,0.46618318676433607,0.3165959453088166,0.6914191419141914,0.8694012258368694,3.0803866100895805,-1.484573129075548
evidence30__all__position__equal,4242,0.2909005186232909,0.44423979291170806,0.2909005186232909,0.6864686468646864,0.8679867986798679,3.135077793493635,-2.2606588035390116
evidence30__all__seed__equal,4242,0.30645921735030646,0.44186838565845593,0.30645921735030646,0.6518151815181518,0.8493635077793493,3.2663837812352665,-0.09044897517588013
evidence__all__ceiling__equal,4242,0.24658180103724658,0.38399120007824317,0.24658180103724658,0.6077322017916077,0.8189533239038189,3.575907590759076,-0.5364750583400308
evidence__all__plain2__equal,4242,0.24823196605374823,0.3881968092623849,0.24823196605374823,0.6115040075436114,0.8184818481848185,3.5297029702970297,-1.3103846773569807
evidence__all__plain__continuous_lsml,4242,0.22135785007072137,0.35578064469282317,0.22135785007072137,0.5707213578500707,0.7951438000942952,3.7845355964167844,-0.6153186257655436
evidence__all__plain__equal,4242,0.26001885902876004,0.40411276153834447,0.26001885902876004,0.6235266383781235,0.8326261197548326,3.4283356907119282,-0.9138475007364129
evidence__all__position2__equal,4242,0.2505893446487506,0.39436717692074247,0.2505893446487506,0.6185761433286185,0.8281471004243282,3.4820839226779823,-1.4626990234392954
evidence__all__position__equal,4242,0.2668552569542669,0.4145994208897282,0.2668552569542669,0.6454502593116455,0.8413484205563414,3.3528995756718527,-1.029563410131728
evidence__all__prioronly__equal,4242,0.047619047619047616,0.12744923039588163,0.047619047619047616,0.2916077322017916,0.632956152758133,5.205327675624705,-0.5469318466508029
evidence__all__randomseed__equal,4242,0.0942951438000943,0.17011266377876366,0.0942951438000943,0.33663366336633666,0.623998114097124,5.282413955681283,-0.8208059062764661
evidence__all__randomseed_position__equal,4242,0.12517680339462517,0.21873138515183338,0.12517680339462517,0.41254125412541254,0.6878830740216879,4.799151343705799,-1.1938381557810311
evidence__all__seed__equal,4242,0.2692126355492692,0.3959659863048814,0.2692126355492692,0.5785007072135785,0.8236680810938237,3.5341819896275344,-0.09356414124403564
token_equal,4242,0.29773691654879775,0.44094022846908226,0.29773691654879775,0.6593587930221594,0.8517208863743517,3.247760490334748,-0.09786258420068317
token_lsml,4242,0.326025459688826,0.4722219123517636,0.326025459688826,0.6871758604431871,0.8658651579443659,3.0874587458745872,-0.2908301956617032
