depth_bin,evidence__all__seed__equal,evidence__all__plain__equal,evidence__all__position__equal,evidence__all__plain2__equal,evidence__all__position2__equal,evidence__all__randomseed__equal,evidence__all__randomseed_position__equal,evidence__all__prioronly__equal,evidence__all__ceiling__equal,evidence__all__plain__continuous_lsml,evidence30__all__seed__equal,evidence30__all__plain__equal,evidence30__all__position__equal,ct7,token_lsml,token_equal
1,,,,,,,,,,,,,,,,
2-5,0.6930379746835443,0.781223628691983,0.7924050632911392,0.789873417721519,0.7953586497890296,0.5491561181434599,0.5907172995780591,0.34177215189873417,0.7934599156118144,0.7919831223628692,0.6594936708860759,0.729957805907173,0.7343881856540084,0.781223628691983,0.7892405063291139,0.7708860759493671
6-10,0.6777860691829826,0.770241549990264,0.783540571353195,0.772476884567308,0.7853050860233289,0.5425459796106809,0.5875783129502955,0.33703846866539783,0.7851369966269056,0.773738905534513,0.6468090024560147,0.7192322912544519,0.7284783701107405,0.7934422365437404,0.7695071324928864,0.7463418414457196
11+,0.6726025287252255,0.7468651200757456,0.751146389169558,0.7497648155307951,0.7534705345303933,0.5264909534840155,0.5478044951283867,0.3401914023301506,0.7466914670941819,0.7484524049875442,0.6319435757680648,0.7034091122054518,0.706305137954533,0.7541633995166531,0.7352906717632082,0.713659773488553
