seed,max_abs_score_diff_vs_stored,pb_argmax_diff_vs_stored,pb_sla_macro8,prm_within_auc,top_tie_rate
"stored evidence__all__seed__equal (top5, actual run)",0.0,0,0.29643973943207647,0.676113442139867,0.0
"replay: softmax over steps of raw top5 profile, mean over channels (no step-z)",0.0,0,0.29643973943207647,0.676113442139867,0.0
"protocol-described: step-z per channel, then softmax, mean over channels",0.218648116651394,1508,0.32489485450660877,0.7261210457138408,0.0005083884087442806
