method,len_bin,n,sla,hit3,hit5,mean_rank,median_margin,early,late,tie_at_top
ct7,1-16,8,0.0,0.125,0.5,7.875,-2.2941250849687336,0.75,0.25,0.0
ct7,17-32,138,0.07971014492753623,0.34782608695652173,0.5869565217391305,5.260869565217392,-1.3750063019494276,0.5,0.42028985507246375,0.0
ct7,33-64,718,0.22841225626740946,0.6155988857938719,0.8133704735376045,3.7924791086350975,-0.6487305518027694,0.34540389972144847,0.42618384401114207,0.0
ct7,65+,3578,0.4259362772498603,0.8001676914477361,0.9424259362772499,2.353269983230855,-0.09604002474884804,0.24986025712688653,0.3242034656232532,0.0016769144773616546
evidence30__all__plain__equal,1-16,8,0.0,0.25,0.75,7.125,-17.02737278932424,0.5,0.5,0.0
evidence30__all__plain__equal,17-32,138,0.014492753623188406,0.2246376811594203,0.36231884057971014,6.855072463768116,-16.05449631425376,0.6014492753623188,0.38405797101449274,0.0
evidence30__all__plain__equal,33-64,718,0.13231197771587744,0.5027855153203342,0.7409470752089137,4.536211699164346,-6.2236280030888675,0.3732590529247911,0.49442896935933145,0.0
evidence30__all__plain__equal,65+,3578,0.3773057574063723,0.7655114589155954,0.92230296254891,2.5522638345444384,-0.7828264022806284,0.16713247624371158,0.45556176634991613,0.001397428731134712
evidence30__all__position__equal,1-16,8,0.0,0.25,0.75,7.0,-18.078349779879826,0.5,0.5,0.0
evidence30__all__position__equal,17-32,138,0.021739130434782608,0.2318840579710145,0.39855072463768115,6.572463768115942,-14.79172408450501,0.5434782608695652,0.43478260869565216,0.0
evidence30__all__position__equal,33-64,718,0.14623955431754876,0.5069637883008357,0.7423398328690808,4.456824512534819,-6.310104847694728,0.30779944289693595,0.5459610027855153,0.0
evidence30__all__position__equal,65+,3578,0.3412520961430967,0.7585243152599217,0.9189491335941867,2.6486864169927333,-1.5380770762971518,0.10927892677473448,0.5494689770821688,0.0
evidence30__all__seed__equal,1-16,8,0.0,0.375,0.5,7.125,-0.19042080483063073,1.0,0.0,0.0
evidence30__all__seed__equal,17-32,138,0.036231884057971016,0.2391304347826087,0.3695652173913043,7.420289855072464,-0.21453007323429635,0.5217391304347826,0.4420289855072464,0.0
evidence30__all__seed__equal,33-64,718,0.14206128133704735,0.4568245125348189,0.6782729805013927,4.795264623955432,-0.15782713100173654,0.4233983286908078,0.43454038997214484,0.0
evidence30__all__seed__equal,65+,3578,0.35858021240916715,0.7269424259362772,0.9114030184460592,2.7054220234768027,-0.06796089201558214,0.2629960871995528,0.37842370039128004,0.0
evidence__all__ceiling__equal,1-16,8,0.0,0.125,0.5,8.25,-6.015377652483188,0.625,0.375,0.0
evidence__all__ceiling__equal,17-32,138,0.057971014492753624,0.2753623188405797,0.4057971014492754,6.731884057971015,-2.092951215566347,0.43478260869565216,0.5072463768115942,0.0
evidence__all__ceiling__equal,33-64,718,0.16016713091922005,0.5139275766016713,0.7144846796657381,4.540389972144847,-0.8899019806246529,0.3147632311977716,0.5250696378830083,0.0
evidence__all__ceiling__equal,65+,3578,0.2831190609278927,0.6623812185578536,0.8666852990497484,3.1470095025153717,-0.4259053606099188,0.21520402459474566,0.5016769144773616,0.00027948574622694243
evidence__all__plain2__equal,1-16,8,0.0,0.25,0.5,8.0,-11.798785296472559,0.625,0.375,0.0
evidence__all__plain2__equal,17-32,138,0.050724637681159424,0.3188405797101449,0.4927536231884058,5.949275362318841,-4.505193480703177,0.463768115942029,0.4855072463768116,0.0
evidence__all__plain2__equal,33-64,718,0.15041782729805014,0.520891364902507,0.7089136490250696,4.561281337047354,-2.2772403574696938,0.31058495821727017,0.5389972144846796,0.0
evidence__all__plain2__equal,65+,3578,0.2867523756288429,0.6634991615427613,0.8638904415874791,3.120458356623812,-1.0920829327045045,0.24846282839575182,0.46478479597540523,0.0
evidence__all__plain__continuous_lsml,1-16,8,0.0,0.125,0.5,8.0,-3.8331355636244187,0.625,0.375,0.0
evidence__all__plain__continuous_lsml,17-32,138,0.06521739130434782,0.3188405797101449,0.5217391304347826,5.869565217391305,-1.4621002651214376,0.5434782608695652,0.391304347826087,0.0
evidence__all__plain__continuous_lsml,33-64,718,0.14623955431754876,0.5139275766016713,0.7116991643454039,4.515320334261839,-0.8677860678737641,0.44707520891364905,0.40668523676880225,0.0
evidence__all__plain__continuous_lsml,65+,3578,0.25656791503633314,0.6168250419228619,0.8345444382336501,3.433202906651761,-0.5198904007764846,0.3664058133035215,0.37702627166014535,0.0
evidence__all__plain__equal,1-16,8,0.0,0.25,0.5,8.0,-7.191865155150353,0.5,0.5,0.0
evidence__all__plain__equal,17-32,138,0.050724637681159424,0.2826086956521739,0.4782608695652174,5.978260869565218,-3.131363590791497,0.463768115942029,0.4855072463768116,0.0
evidence__all__plain__equal,33-64,718,0.14763231197771587,0.5125348189415042,0.7075208913649025,4.554317548746518,-1.6329552191271772,0.3203342618384401,0.532033426183844,0.0
evidence__all__plain__equal,65+,3578,0.30044717719396313,0.6808272778088318,0.8814980435997765,3.000838457238681,-0.7297800765548437,0.2548910005589715,0.4446618222470654,0.0
evidence__all__position2__equal,1-16,8,0.125,0.25,0.5,7.5,-12.023850344212583,0.5,0.375,0.0
evidence__all__position2__equal,17-32,138,0.07246376811594203,0.3115942028985507,0.5362318840579711,5.72463768115942,-4.368786239619157,0.427536231884058,0.5,0.0
evidence__all__position2__equal,33-64,718,0.19498607242339833,0.5389972144846796,0.7298050139275766,4.380222841225627,-2.3080410256759345,0.26880222841225626,0.5362116991643454,0.0
evidence__all__position2__equal,65+,3578,0.2789267747344885,0.6685299049748463,0.8694801565120179,3.1101173840134155,-1.2158641137283295,0.20765790944661822,0.5134153158188932,0.0
evidence__all__position__equal,1-16,8,0.125,0.25,0.5,7.5,-7.902078656871235,0.5,0.375,0.0
evidence__all__position__equal,17-32,138,0.07971014492753623,0.34057971014492755,0.5579710144927537,5.608695652173913,-2.826750940716856,0.463768115942029,0.45652173913043476,0.0
evidence__all__position__equal,33-64,718,0.19220055710306408,0.5348189415041783,0.7381615598885793,4.318941504178273,-1.7020080331916485,0.29108635097493035,0.5167130919220055,0.0
evidence__all__position__equal,65+,3578,0.29932923420905533,0.7001117942984908,0.8826159865846842,2.974007825600894,-0.8366698799407041,0.21157070989379542,0.4891000558971492,0.0
evidence__all__prioronly__equal,1-16,8,0.25,0.25,0.5,6.25,-0.5659586314501178,0.0,0.75,0.5
evidence__all__prioronly__equal,17-32,138,0.057971014492753624,0.2753623188405797,0.4927536231884058,5.86231884057971,-0.544952703899125,0.043478260869565216,0.8985507246376812,0.463768115942029
evidence__all__prioronly__equal,33-64,718,0.08356545961002786,0.30919220055710306,0.6559888579387186,5.142061281337047,-0.5430360851368081,0.008356545961002786,0.9080779944289693,0.3649025069637883
evidence__all__prioronly__equal,65+,3578,0.045835662381218556,0.32839575181665737,0.6545556176634991,5.025712688652879,-0.5469318466508029,0.005030743432084964,0.9491335941866965,0.3236444941307993
evidence__all__randomseed__equal,1-16,8,0.125,0.375,0.875,3.625,-0.9607493859648266,0.5,0.375,0.0
evidence__all__randomseed__equal,17-32,138,0.10869565217391304,0.34057971014492755,0.5434782608695652,5.536231884057971,-0.7781257344395027,0.41304347826086957,0.4782608695652174,0.0
