method,len_bin,n,sla,hit3,hit5,mean_rank,median_margin,early,late,tie_at_top
evidence__all__randomseed__equal,33-64,718,0.1573816155988858,0.4275766016713092,0.6685236768802229,4.987465181058496,-0.7596177447307322,0.3398328690807799,0.5027855153203342,0.0
evidence__all__randomseed__equal,65+,3578,0.09446618222470654,0.35522638345444385,0.6386249301285635,5.150922302962549,-0.8018923890630325,0.32727780883174956,0.5782560089435439,0.0
evidence__all__randomseed_position__equal,1-16,8,0.5,0.5,0.875,3.0,-0.21114013160996392,0.5,0.0,0.0
evidence__all__randomseed_position__equal,17-32,138,0.18115942028985507,0.4855072463768116,0.6956521739130435,4.630434782608695,-1.1453262680525993,0.4855072463768116,0.3333333333333333,0.0
evidence__all__randomseed_position__equal,33-64,718,0.17409470752089137,0.5,0.7270194986072424,4.5334261838440115,-0.980945045618275,0.38857938718662954,0.4373259052924791,0.0
evidence__all__randomseed_position__equal,65+,3578,0.12493012856344327,0.42481833426495247,0.6967579653437674,4.700670765790945,-1.1941279452114015,0.35354946897708217,0.5215204024594746,0.0
evidence__all__seed__equal,1-16,8,0.0,0.125,0.5,8.25,-0.21962622214916994,1.0,0.0,0.0
evidence__all__seed__equal,17-32,138,0.043478260869565216,0.2318840579710145,0.4057971014492754,6.630434782608695,-0.17635664473737614,0.5434782608695652,0.41304347826086957,0.0
evidence__all__seed__equal,33-64,718,0.1573816155988858,0.44986072423398327,0.7047353760445683,4.68941504178273,-0.13056039926461577,0.4331476323119777,0.40947075208913647,0.0
evidence__all__seed__equal,65+,3578,0.30967020681945223,0.6422582448295137,0.8742314141978759,3.0749021799888205,-0.07483180452013125,0.3557853549468977,0.3345444382336501,0.0
token_equal,1-16,8,0.0,0.125,0.5,8.375,-0.33950394668396455,0.625,0.375,0.0
token_equal,17-32,138,0.057971014492753624,0.32608695652173914,0.5072463768115942,5.695652173913044,-0.2866670698252645,0.41304347826086957,0.5289855072463768,0.0
token_equal,33-64,718,0.16991643454038996,0.5543175487465181,0.7743732590529248,4.240947075208914,-0.16482168338990738,0.2883008356545961,0.541782729805014,0.0
token_equal,65+,3578,0.34069312465064283,0.713527110117384,0.8896031302403578,2.860536612632756,-0.07720082586516558,0.1562325321408608,0.5030743432084964,0.0
token_lsml,1-16,8,0.0,0.125,0.5,8.0,-1.560978479665315,0.75,0.25,0.0
token_lsml,17-32,138,0.06521739130434782,0.30434782608695654,0.4855072463768116,5.688405797101449,-1.1495513716433547,0.427536231884058,0.5072463768115942,0.0
token_lsml,33-64,718,0.20891364902506965,0.5947075208913649,0.7827298050139275,4.02924791086351,-0.6147016105350793,0.2966573816155989,0.49442896935933145,0.0
token_lsml,65+,3578,0.3669647847959754,0.7392397987702627,0.9055338177752935,2.7124091671324764,-0.21710319284447266,0.2020681945220794,0.4309670206819452,0.0
