method,rel_bin,n,sla,hit3,hit5,mean_rank,median_margin,early,late,tie_at_top
ct7,"[.2,.4)",1204,0.37790697674418605,0.7591362126245847,0.9227574750830565,2.6254152823920265,-0.18590803175785703,0.22093023255813954,0.4011627906976744,0.0
ct7,"[.4,.6)",906,0.39072847682119205,0.7560706401766004,0.91280353200883,2.684326710816777,-0.16386062606839163,0.32229580573951433,0.2869757174392936,0.0
ct7,"[.6,.8)",742,0.3746630727762803,0.7466307277628033,0.9043126684636119,2.68733153638814,-0.21062873305290358,0.444743935309973,0.18059299191374664,0.0
ct7,"[.8,1]",518,0.3841698841698842,0.7432432432432432,0.8803088803088803,2.806949806949807,-0.22136573884432698,0.555984555984556,0.059845559845559844,0.0
ct7,"[0,.2)",1072,0.38526119402985076,0.7611940298507462,0.9104477611940298,2.6968283582089554,-0.15936563854549385,0.03824626865671642,0.5764925373134329,0.005597014925373134
evidence30__all__plain__equal,"[.2,.4)",1204,0.2616279069767442,0.6810631229235881,0.8729235880398671,3.120431893687708,-1.7891527290824958,0.1553156146179402,0.5830564784053156,0.0
evidence30__all__plain__equal,"[.4,.6)",906,0.369757174392936,0.7693156732891833,0.9083885209713024,2.6754966887417218,-0.8628916326402112,0.2229580573951435,0.40728476821192056,0.002207505518763797
evidence30__all__plain__equal,"[.6,.8)",742,0.40970350404312667,0.7574123989218329,0.9043126684636119,2.673854447439353,-0.885321356839349,0.3477088948787062,0.24258760107816713,0.0013477088948787063
evidence30__all__plain__equal,"[.8,1]",518,0.3841698841698842,0.7355212355212355,0.8996138996138996,2.694980694980695,-0.8516364306731459,0.5501930501930502,0.06563706563706563,0.003861003861003861
evidence30__all__plain__equal,"[0,.2)",1072,0.27425373134328357,0.6277985074626866,0.8180970149253731,3.5736940298507465,-2.1556787938355755,0.01958955223880597,0.7061567164179104,0.0
evidence30__all__position__equal,"[.2,.4)",1204,0.23255813953488372,0.6611295681063123,0.8679401993355482,3.212624584717608,-2.70615049537769,0.11046511627906977,0.6569767441860465,0.0
evidence30__all__position__equal,"[.4,.6)",906,0.32339955849889623,0.7693156732891833,0.9150110375275938,2.746136865342163,-1.68214723561956,0.15783664459161148,0.5187637969094923,0.0
evidence30__all__position__equal,"[.6,.8)",742,0.35175202156334234,0.7668463611859838,0.9083557951482479,2.6859838274932613,-1.5849904332468958,0.27897574123989216,0.3692722371967655,0.0
evidence30__all__position__equal,"[.8,1]",518,0.49034749034749037,0.8088803088803089,0.9131274131274131,2.3957528957528957,-0.10476107881666152,0.3841698841698842,0.12548262548262548,0.0
evidence30__all__position__equal,"[0,.2)",1072,0.2248134328358209,0.5886194029850746,0.8031716417910447,3.7779850746268657,-3.229224040537903,0.008395522388059701,0.7667910447761194,0.0
evidence30__all__seed__equal,"[.2,.4)",1204,0.24833887043189368,0.6088039867109635,0.8380398671096345,3.463455149501661,-0.11051757999906052,0.27906976744186046,0.47259136212624586,0.0
evidence30__all__seed__equal,"[.4,.6)",906,0.31346578366445915,0.6567328918322296,0.8774834437086093,3.0827814569536423,-0.09039934322297384,0.33112582781456956,0.3554083885209713,0.0
evidence30__all__seed__equal,"[.6,.8)",742,0.3194070080862534,0.6900269541778976,0.8746630727762803,3.0754716981132075,-0.0948762435720692,0.40431266846361186,0.27628032345013476,0.0
evidence30__all__seed__equal,"[.8,1]",518,0.32625482625482627,0.6911196911196911,0.8803088803088803,3.0,-0.08979497617330925,0.6003861003861004,0.07335907335907337,0.0
evidence30__all__seed__equal,"[0,.2)",1072,0.37406716417910446,0.7154850746268657,0.8339552238805971,3.1763059701492535,-0.056123836327111355,0.07276119402985075,0.5531716417910447,0.0
evidence__all__ceiling__equal,"[.2,.4)",1204,0.24584717607973422,0.5980066445182725,0.8205980066445183,3.500830564784053,-0.5974194662788817,0.132890365448505,0.6212624584717608,0.0008305647840531562
evidence__all__ceiling__equal,"[.4,.6)",906,0.282560706401766,0.6777041942604857,0.8763796909492274,3.123620309050773,-0.4238293566480821,0.2682119205298013,0.4492273730684327,0.0
evidence__all__ceiling__equal,"[.6,.8)",742,0.30997304582210244,0.7210242587601078,0.8881401617250674,2.8894878706199463,-0.3120384966620502,0.41778975741239893,0.2722371967654987,0.0
evidence__all__ceiling__equal,"[.8,1]",518,0.29922779922779924,0.667953667953668,0.8513513513513513,3.22007722007722,-0.392597727030656,0.6254826254826255,0.07528957528957529,0.0
evidence__all__ceiling__equal,"[0,.2)",1072,0.18563432835820895,0.5251865671641791,0.7388059701492538,4.345149253731344,-0.7114115165369945,0.022388059701492536,0.7919776119402985,0.0
evidence__all__plain2__equal,"[.2,.4)",1204,0.20431893687707642,0.5838870431893688,0.8164451827242525,3.6029900332225915,-1.569760697567339,0.20764119601328904,0.5880398671096345,0.0
evidence__all__plain2__equal,"[.4,.6)",906,0.25938189845474613,0.6501103752759382,0.8487858719646799,3.314569536423841,-1.214361607847332,0.2902869757174393,0.4503311258278146,0.0
evidence__all__plain2__equal,"[.6,.8)",742,0.3247978436657682,0.7264150943396226,0.8787061994609164,2.8894878706199463,-0.8188599110501729,0.39892183288409705,0.27628032345013476,0.0
evidence__all__plain2__equal,"[.8,1]",518,0.3166023166023166,0.694980694980695,0.8687258687258688,2.9922779922779923,-0.8606872048390741,0.6061776061776062,0.07722007722007722,0.0
evidence__all__plain2__equal,"[0,.2)",1072,0.23787313432835822,0.5625,0.7630597014925373,4.001865671641791,-1.6766212733432821,0.054104477611940295,0.7080223880597015,0.0
evidence__all__plain__continuous_lsml,"[.2,.4)",1204,0.19767441860465115,0.5888704318936877,0.8164451827242525,3.644518272425249,-0.6295880560216033,0.31976744186046513,0.48255813953488375,0.0
evidence__all__plain__continuous_lsml,"[.4,.6)",906,0.2141280353200883,0.5827814569536424,0.8123620309050773,3.6401766004415013,-0.6101586039284796,0.45584988962472406,0.33002207505518766,0.0
evidence__all__plain__continuous_lsml,"[.6,.8)",742,0.22641509433962265,0.6037735849056604,0.8140161725067385,3.5997304582210243,-0.6193241808490582,0.568733153638814,0.20485175202156333,0.0
evidence__all__plain__continuous_lsml,"[.8,1]",518,0.22393822393822393,0.5540540540540541,0.7586872586872587,3.971042471042471,-0.6552469752052698,0.7162162162162162,0.059845559845559844,0.0
evidence__all__plain__continuous_lsml,"[0,.2)",1072,0.2947761194029851,0.605410447761194,0.7994402985074627,3.718283582089552,-0.4810508491674027,0.11287313432835822,0.5923507462686567,0.0
evidence__all__plain__equal,"[.2,.4)",1204,0.20930232558139536,0.6021594684385382,0.8289036544850499,3.528239202657807,-1.0733069228642076,0.23255813953488372,0.5581395348837209,0.0
evidence__all__plain__equal,"[.4,.6)",906,0.25496688741721857,0.6467991169977925,0.8642384105960265,3.280353200883002,-0.9102127987778641,0.31236203090507725,0.4326710816777042,0.0
evidence__all__plain__equal,"[.6,.8)",742,0.32075471698113206,0.7102425876010782,0.8814016172506739,2.920485175202156,-0.6743729969069402,0.3921832884097035,0.28706199460916443,0.0
evidence__all__plain__equal,"[.8,1]",518,0.3436293436293436,0.7065637065637066,0.8745173745173745,2.88996138996139,-0.575779579025638,0.5656370656370656,0.09073359073359073,0.0
evidence__all__plain__equal,"[0,.2)",1072,0.269589552238806,0.5979477611940298,0.7873134328358209,3.7425373134328357,-1.031910009644321,0.058768656716417914,0.6716417910447762,0.0
evidence__all__position2__equal,"[.2,.4)",1204,0.20348837209302326,0.6071428571428571,0.8338870431893688,3.509136212624585,-1.647896443138715,0.15780730897009967,0.6387043189368771,0.0
evidence__all__position2__equal,"[.4,.6)",906,0.27593818984547464,0.6556291390728477,0.8554083885209713,3.2130242825607063,-1.4030054684498983,0.24724061810154527,0.4768211920529801,0.0
evidence__all__position2__equal,"[.6,.8)",742,0.3005390835579515,0.7264150943396226,0.8921832884097035,2.8409703504043127,-0.887451558733055,0.37601078167115903,0.32345013477088946,0.0
evidence__all__position2__equal,"[.8,1]",518,0.3764478764478765,0.7277992277992278,0.8822393822393823,2.83011583011583,-0.5960195232390857,0.5231660231660231,0.10038610038610038,0.0
evidence__all__position2__equal,"[0,.2)",1072,0.22014925373134328,0.5438432835820896,0.7602611940298507,4.11660447761194,-2.0757616957579144,0.03264925373134328,0.7472014925373134,0.0
evidence__all__position__equal,"[.2,.4)",1204,0.21677740863787376,0.6453488372093024,0.8363787375415282,3.377906976744186,-1.1456454010539816,0.18355481727574752,0.5996677740863787,0.0
evidence__all__position__equal,"[.4,.6)",906,0.2682119205298013,0.6666666666666666,0.8763796909492274,3.1490066225165565,-0.9791931478395058,0.2704194260485651,0.4613686534216336,0.0
evidence__all__position__equal,"[.6,.8)",742,0.29514824797843664,0.7035040431266847,0.894878706199461,2.8921832884097034,-0.8806964854925343,0.3881401617250674,0.316711590296496,0.0
evidence__all__position__equal,"[.8,1]",518,0.4189189189189189,0.7432432432432432,0.8764478764478765,2.7567567567567566,-0.3691667758065289,0.47876447876447875,0.10231660231660232,0.0
evidence__all__position__equal,"[0,.2)",1072,0.2621268656716418,0.6063432835820896,0.792910447761194,3.8078358208955225,-1.2539910531947824,0.029850746268656716,0.7080223880597015,0.0
evidence__all__prioronly__equal,"[.2,.4)",1204,0.0,0.0,0.4883720930232558,6.569767441860465,-0.5740754490813167,0.0,1.0,0.34219269102990035
evidence__all__prioronly__equal,"[.4,.6)",906,0.0,0.3355408388520971,0.6456953642384106,5.396247240618101,-0.559107676048926,0.0,1.0,0.2737306843267108
evidence__all__prioronly__equal,"[.6,.8)",742,0.0,0.3261455525606469,0.5377358490566038,5.340970350404312,-0.5540295382546558,0.0,1.0,0.3261455525606469
evidence__all__prioronly__equal,"[.8,1]",518,0.4517374517374517,0.5984555984555985,0.8687258687258688,3.137065637065637,0.0,0.05791505791505792,0.49034749034749037,0.3204633204633205
evidence__all__prioronly__equal,"[0,.2)",1072,0.0,0.5419776119402985,0.8050373134328358,3.8675373134328357,-0.3691187605086279,0.0,1.0,0.3917910447761194
evidence__all__randomseed__equal,"[.2,.4)",1204,0.10215946843853821,0.38787375415282394,0.6985049833887044,4.7566445182724255,-0.7287559827248784,0.19767441860465115,0.7001661129568106,0.0
evidence__all__randomseed__equal,"[.4,.6)",906,0.12251655629139073,0.38631346578366443,0.6600441501103753,4.751655629139073,-0.7561177593164723,0.38962472406181015,0.4878587196467991,0.0
evidence__all__randomseed__equal,"[.6,.8)",742,0.1091644204851752,0.37870619946091644,0.6630727762803235,4.859838274932614,-0.7710212435792261,0.5795148247978437,0.3113207547169811,0.0
evidence__all__randomseed__equal,"[.8,1]",518,0.0888030888030888,0.3108108108108108,0.5888030888030888,5.646718146718147,-0.9284476270333131,0.8011583011583011,0.11003861003861004,0.0
evidence__all__randomseed__equal,"[0,.2)",1072,0.09888059701492537,0.34421641791044777,0.5699626865671642,5.821828358208955,-0.8498715702109862,0.03731343283582089,0.8638059701492538,0.0
evidence__all__randomseed_position__equal,"[.2,.4)",1204,0.16362126245847175,0.49916943521594687,0.7558139534883721,4.173588039867109,-1.008476344784048,0.23172757475083056,0.6046511627906976,0.0
evidence__all__randomseed_position__equal,"[.4,.6)",906,0.11368653421633554,0.44370860927152317,0.7350993377483444,4.324503311258278,-1.1224962645416598,0.45364238410596025,0.4326710816777042,0.0
evidence__all__randomseed_position__equal,"[.6,.8)",742,0.0889487870619946,0.4137466307277628,0.7075471698113207,4.607816711590297,-1.2630958622593458,0.6442048517520216,0.2668463611859838,0.0
evidence__all__randomseed_position__equal,"[.8,1]",518,0.11969111969111969,0.3938223938223938,0.6737451737451737,4.972972972972973,-1.2904299564295538,0.7934362934362934,0.08687258687258688,0.0
evidence__all__randomseed_position__equal,"[0,.2)",1072,0.16138059701492538,0.40671641791044777,0.6231343283582089,5.409514925373134,-1.3117479708415773,0.033582089552238806,0.8050373134328358,0.0
evidence__all__seed__equal,"[.2,.4)",1204,0.2059800664451827,0.4958471760797342,0.7873754152823921,3.866279069767442,-0.10912866659760288,0.3654485049833887,0.42857142857142855,0.0
evidence__all__seed__equal,"[.4,.6)",906,0.2704194260485651,0.5916114790286976,0.8565121412803532,3.3653421633554084,-0.09919364885780692,0.423841059602649,0.3057395143487859,0.0
evidence__all__seed__equal,"[.6,.8)",742,0.2601078167115903,0.5929919137466307,0.8328840970350404,3.440700808625337,-0.09900404982834353,0.4865229110512129,0.25336927223719674,0.0
evidence__all__seed__equal,"[.8,1]",518,0.2857142857142857,0.6274131274131274,0.8667953667953668,3.222007722007722,-0.08964895343223683,0.6332046332046332,0.08108108108108109,0.0
evidence__all__seed__equal,"[0,.2)",1072,0.3666044776119403,0.7052238805970149,0.8423507462686567,3.1940298507462686,-0.03932879185006499,0.14365671641791045,0.48973880597014924,0.0
token_equal,"[.2,.4)",1204,0.25664451827242524,0.6411960132890365,0.8529900332225914,3.2691029900332227,-0.10908854375645599,0.12624584717607973,0.617109634551495,0.0
token_equal,"[.4,.6)",906,0.3465783664459161,0.7362030905077263,0.9116997792494481,2.8322295805739515,-0.07925144441353993,0.17991169977924945,0.4735099337748344,0.0
token_equal,"[.6,.8)",742,0.37870619946091644,0.7574123989218329,0.9016172506738545,2.6940700808625335,-0.056212073896857284,0.316711590296496,0.3045822102425876,0.0
token_equal,"[.8,1]",518,0.4247104247104247,0.803088803088803,0.9131274131274131,2.471042471042471,-0.0375092093381188,0.4922779922779923,0.08301158301158301,0.0
token_equal,"[0,.2)",1072,0.20988805970149255,0.5410447761194029,0.7630597014925373,4.059701492537314,-0.14478178980270012,0.021455223880597014,0.7686567164179104,0.0
token_lsml,"[.2,.4)",1204,0.2898671096345515,0.6785714285714286,0.8729235880398671,3.1096345514950166,-0.30062236399342135,0.18023255813953487,0.5299003322259136,0.0
token_lsml,"[.4,.6)",906,0.3598233995584989,0.7339955849889624,0.8962472406181016,2.836644591611479,-0.2649837229403318,0.24061810154525387,0.3995584988962472,0.0
token_lsml,"[.6,.8)",742,0.3665768194070081,0.7533692722371967,0.9043126684636119,2.7358490566037736,-0.25220991653809577,0.3423180592991914,0.29110512129380056,0.0
token_lsml,"[.8,1]",518,0.4034749034749035,0.7722007722007722,0.8996138996138996,2.5926640926640925,-0.15942537227331277,0.528957528957529,0.06756756756756757,0.0
token_lsml,"[0,.2)",1072,0.2947761194029851,0.628731343283582,0.8143656716417911,3.5074626865671643,-0.37765535540933737,0.03544776119402985,0.6697761194029851,0.0
