classification,evidence__all__seed__equal,evidence__all__plain__equal,evidence__all__position__equal,evidence__all__plain2__equal,evidence__all__position2__equal,evidence__all__randomseed__equal,evidence__all__randomseed_position__equal,evidence__all__prioronly__equal,evidence__all__ceiling__equal,evidence__all__plain__continuous_lsml,evidence30__all__seed__equal,evidence30__all__plain__equal,evidence30__all__position__equal,ct7,token_lsml,token_equal
circular,0.6328716619154746,0.7536015231973581,0.7741346948645462,0.7581585453453265,0.7743891055592629,0.5223142189156229,0.6103257021934954,0.43341743796679466,0.7656467037016281,0.7561805012686685,0.604463893900094,0.7174704508993516,0.7267143358938614,0.8068288676499515,0.7634508471248408,0.749408364604083
confidence,0.7356750997209158,0.8167474099503341,0.8077002905247556,0.8253948894628534,0.8189150675790576,0.5397405778786873,0.42407119811059907,0.13455634460538793,0.8271363765035971,0.8181291587915407,0.6971182494702981,0.7756357654980134,0.7747693934602301,0.7858781542070947,0.7896942294433816,0.7708682428004611
correct,,,,,,,,,,,,,,,,
counterfactual,0.6236571278180094,0.7232029682255877,0.7297626637703476,0.7306132419483108,0.7357369905614604,0.5283113472036921,0.5647684546207198,0.2710521966880306,0.7376761523222105,0.7269136145489008,0.5958778473631662,0.6772218429906718,0.6851846009117571,0.7127644161943893,0.7135710798756842,0.6781844306669652
deception,0.5658596731966289,0.6554704278568371,0.6577902964101123,0.6642597799959403,0.6657457895884318,0.5304145165079948,0.5459667042654479,0.28611572395320484,0.6758224987461624,0.6620317889869035,0.5510856014290545,0.6053582358011821,0.6084455942132759,0.6431000559808547,0.6429866658702611,0.6119145419657412
domain_inconsistency,0.737113631902441,0.8022832113867995,0.8204362583005417,0.8002655029943879,0.8161524167270111,0.5383059054885473,0.6497690252965751,0.4582192868646092,0.7975489492308875,0.8047104877145542,0.7046870835148906,0.7646255469988533,0.7718326547974773,0.856982697153364,0.8045069038205123,0.7778985343906027
missing_condition,0.6161579327820996,0.6745104497122721,0.6823725697543479,0.6712323030066631,0.6797034843140685,0.5256762983543182,0.5621250949055915,0.41833401338176207,0.6774571342494109,0.6747763069055461,0.5959427972489506,0.6382981060297988,0.6426090519188,0.7048289954992771,0.6803463696616556,0.6672856196795806
multi_solutions,,,,,,,,,,,,,,,,
redundency,0.7449863286893192,0.8371253758422247,0.8474656587247688,0.8349652845842659,0.8446887613000122,0.5323162879304514,0.6020986070631463,0.3945113608991275,0.8276231505058137,0.8355216921518748,0.687394155630181,0.7675424970904956,0.7746555883035653,0.8498502294927255,0.83373082859717,0.8105427601446055
step_contradiction,0.7504499413633868,0.8059046165783524,0.8170267518660712,0.807973602666832,0.818492159067978,0.56036900705633,0.5775258274227376,0.31426714750057505,0.8157312286616946,0.8144824995229296,0.6817053730238188,0.7458451663427469,0.752935152780711,0.8159832684442362,0.7944766593128598,0.7801989931470923
