cell,method,display_method,auroc,auprc,prevalence,n_samples,n_groups,label_use,status
gsm8k_t1.0,upcr,Depth-tail consensus · deployed U-PCR,0.8032901789395563,0.6797995695268757,0.2701612903225806,496,496,none,retrospective_discovery
gsm8k_t1.0,equal_mean,Depth-tail consensus · equal mean,0.8031046425331905,0.679561313634933,0.2701612903225806,496,496,none,retrospective_discovery
gsm8k_t1.0,iu_pcr,Depth-tail consensus · IU-PCR,0.802630493939144,0.6788385465894995,0.2701612903225806,496,496,none,retrospective_discovery
gsm8k_t1.0,dufs_liu_pcr,Depth-tail consensus · DUFS-LIU-PCR,0.8026923394079327,0.6786577809624739,0.2701612903225806,496,496,none,retrospective_discovery
gsm8k_t1.0,best_single_layer,Best single module/metric/layer · evaluation oracle,0.8026717242516698,0.6649573111739475,0.2701612903225806,496,496,evaluation-selected,diagnostic_ceiling
gsm8k_t1.0,trilens_supervised_lr,TriLens · grouped L2 probe,0.7345723460259229,0.5942912914910266,0.2701612903225806,496,496,5-fold grouped supervised,published-method approximation
triviaqa_t1.0,upcr,Depth-tail consensus · deployed U-PCR,0.9285294117647058,0.9658417115580588,0.68,500,500,none,retrospective_discovery
triviaqa_t1.0,equal_mean,Depth-tail consensus · equal mean,0.9267371323529412,0.9648980442140083,0.68,500,500,none,retrospective_discovery
triviaqa_t1.0,iu_pcr,Depth-tail consensus · IU-PCR,0.9403125,0.9720934491264471,0.68,500,500,none,retrospective_discovery
triviaqa_t1.0,dufs_liu_pcr,Depth-tail consensus · DUFS-LIU-PCR,0.9383455882352942,0.9710123622545179,0.68,500,500,none,retrospective_discovery
triviaqa_t1.0,best_single_layer,Best single module/metric/layer · evaluation oracle,0.8597977941176471,0.8988298125489298,0.68,500,500,evaluation-selected,diagnostic_ceiling
triviaqa_t1.0,trilens_supervised_lr,TriLens · grouped L2 probe,0.8882352941176471,0.946005951184282,0.68,500,500,5-fold grouped supervised,published-method approximation
