test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Burstiest stretch of the answer,sw_var_peak,0.24998938744016377,0.21096361328224553
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Ordinal pattern complexity,pe_mean,-0.05315372285902909,0.039560300048753355
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Self-similarity of the trace,hurst_exponent,-0.17201695248055268,-0.14564742995844954
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Size of the biggest shift,cusum_max,-0.5343157654193538,0.2170596643483928
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Where the biggest shift happens,cusum_shift_idx,-0.03356438368884418,-0.03831582407021213
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Average surprise per token,epr_spilled,-0.293781579608854,-0.2893295442194271
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Burstiest stretch (surprise),sw_var_peak_spilled,0.03701099857147586,-0.3014216809997531
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Size of biggest shift (surprise),cusum_max_spilled,0.3856701358533797,-0.2862702475649603
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Most confident single token,min_spilled,-0.07921195603728261,-0.01641635874130477
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Average vocabulary spread,epr_energy,0.05872885081690602,-0.18691106328569876
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Narrowest vocabulary moment,min_energy,-0.6082222688476796,-0.19851777555227476
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Burstiest stretch (vocabulary spread),sw_var_peak_energy,-0.2924981884896646,0.20958533819395847
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Size of biggest shift (vocabulary spread),cusum_max_energy,0.3488159703752862,0.21615352526024986
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Confidence in the chosen word,mean_top1_logprob,0.443813384876229,0.2055403651533964
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Lead of first choice over second,logprob_margin,-0.3073294354300285,0.18820797082053742
