outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4556,2244,126.34679543459174,113.0,208.0
error,4442,3578,864,129.63750698714367,116.0,213.0
clean,2358,978,1380,114.3077709611452,102.0,190.30000000000007
