contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C6_DSP12::P2A_TOPK10_REFERENCE::official_macro_f1,C6_DSP12,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,-0.04706219362802894,-0.07337615346715515,-0.021141100620522213,0,0,8,-0.08165877237277486,processbench_omnimath_qwen3_4b,0,0,4,-0.07177370021979265,gsm8k,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C6_DSP12::P2A_TOPK10_REFERENCE::first_error_exact,C6_DSP12,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,-0.0546689986315389,-0.073587505972962,-0.03594613233129684,0,0,8,-0.106280193236715,processbench_gsm8k_qwen3_4b,0,0,4,-0.10144927536231885,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::P2A_TOPK10_REFERENCE::first_error_within_one,C6_DSP12,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,-0.05869890224129515,-0.0787128640423493,-0.0386618475652566,0,0,8,-0.09379727685325262,processbench_olympiadbench_qwen3_4b,0,0,4,-0.08320726172465959,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C6_DSP12,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,0.025919580694473754,0.013315911917308429,0.0387350292088578,7,1,0,0.0,processbench_gsm8k_qwen3_8b,4,0,0,0.002590673575129515,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C6_DSP12,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.02568750000000003,-0.03793750000000007,-0.01337499999999997,0,0,8,-0.05249999999999999,processbench_gsm8k_qwen3_4b,0,0,4,-0.05125000000000002,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::R1_ENTROPY_TOP5::official_macro_f1,C6_DSP12,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,-0.035087946207000675,-0.06105103588497823,-0.008924692672391299,0,0,8,-0.0731485935833886,processbench_gsm8k_qwen3_8b,0,0,4,-0.06191055141284843,gsm8k,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C6_DSP12::R1_ENTROPY_TOP5::first_error_exact,C6_DSP12,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,-0.04617509702032496,-0.06487820820184212,-0.027276945052151932,0,0,8,-0.10144927536231885,processbench_gsm8k_qwen3_8b,0,0,4,-0.09178743961352659,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::R1_ENTROPY_TOP5::first_error_within_one,C6_DSP12,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,-0.062136069967583474,-0.08228133805355624,-0.041993875522034846,0,0,8,-0.09661835748792269,processbench_gsm8k_qwen3_4b,0,0,4,-0.08695652173913046,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::R1_ENTROPY_TOP5::clean_abstention_accuracy,C6_DSP12,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,0.04449818141802042,0.03187099635111269,0.0575256704624563,8,0,0,0.005181347150259086,processbench_gsm8k_qwen3_8b,4,0,0,0.012953367875647659,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C6_DSP12::R1_ENTROPY_TOP5::overall_decision_accuracy,C6_DSP12,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,-0.013312500000000005,-0.02550156250000002,-0.0010000000000000009,3,0,5,-0.050000000000000044,processbench_gsm8k_qwen3_8b,1,0,3,-0.04125000000000004,gsm8k,1,unadjusted paired diagnostic percentile interval
