arm,feature,selected_cells,available_cells,selection_rate_over_all_cells
lapscore_native,low_band_power,1,23,0.041666666666666664
lapscore_native,mean_logprob_entropy,23,24,0.9583333333333334
lapscore_native,mean_top1_logprob,19,24,0.7916666666666666
lapscore_native,renyi_entropy_2,23,24,0.9583333333333334
lapscore_native,spectral_centroid,1,23,0.041666666666666664
lapscore_native,spectral_entropy,3,23,0.125
lapscore_native,topk_tail_mass,15,24,0.625
lapscore_native,trace_length,2,21,0.08333333333333333
lapscore_native,varentropy,15,24,0.625
spec_native,dominant_freq,2,21,0.08333333333333333
spec_native,epr,23,24,0.9583333333333334
spec_native,epr_energy,1,24,0.041666666666666664
spec_native,epr_spilled,10,24,0.4166666666666667
spec_native,hl_ratio,7,23,0.2916666666666667
spec_native,logprob_margin,3,24,0.125
spec_native,low_band_power,1,23,0.041666666666666664
spec_native,mean_logprob_entropy,23,24,0.9583333333333334
spec_native,mean_top1_logprob,19,24,0.7916666666666666
spec_native,renyi_entropy_2,23,24,0.9583333333333334
spec_native,spectral_centroid,1,23,0.041666666666666664
spec_native,spectral_entropy,3,23,0.125
spec_native,topk_tail_mass,15,24,0.625
spec_native,trace_length,2,21,0.08333333333333333
spec_native,varentropy,15,24,0.625
mcfs_native,cusum_max,4,24,0.16666666666666666
mcfs_native,cusum_max_energy,3,24,0.125
mcfs_native,cusum_max_spilled,4,24,0.16666666666666666
mcfs_native,dominant_freq,13,21,0.5416666666666666
mcfs_native,epr,5,24,0.20833333333333334
mcfs_native,epr_energy,2,24,0.08333333333333333
mcfs_native,high_band_power,5,23,0.20833333333333334
mcfs_native,hl_ratio,14,23,0.5833333333333334
mcfs_native,hurst_exponent,2,23,0.08333333333333333
mcfs_native,logprob_margin,10,24,0.4166666666666667
mcfs_native,low_band_power,1,23,0.041666666666666664
mcfs_native,mean_top1_logprob,2,24,0.08333333333333333
mcfs_native,min_energy,1,24,0.041666666666666664
mcfs_native,min_spilled,2,12,0.08333333333333333
mcfs_native,spectral_centroid,4,23,0.16666666666666666
mcfs_native,spectral_entropy,7,23,0.2916666666666667
mcfs_native,stft_max_high_power,1,18,0.041666666666666664
mcfs_native,sw_var_peak,1,24,0.041666666666666664
mcfs_native,sw_var_peak_spilled,1,24,0.041666666666666664
mcfs_native,topk_tail_mass,18,24,0.75
mcfs_native,trace_length,3,21,0.125
mcfs_native,varentropy,8,24,0.3333333333333333
cae_native,cusum_max,13,24,0.5416666666666666
cae_native,cusum_max_energy,1,24,0.041666666666666664
cae_native,cusum_max_spilled,1,24,0.041666666666666664
cae_native,dominant_freq,1,21,0.041666666666666664
cae_native,epr,9,24,0.375
cae_native,epr_energy,1,24,0.041666666666666664
cae_native,high_band_power,1,23,0.041666666666666664
cae_native,hl_ratio,12,23,0.5
cae_native,hurst_exponent,3,23,0.125
cae_native,low_band_power,1,23,0.041666666666666664
cae_native,mean_logprob_entropy,14,24,0.5833333333333334
cae_native,mean_top1_logprob,1,24,0.041666666666666664
cae_native,min_energy,4,24,0.16666666666666666
cae_native,min_spilled,5,12,0.20833333333333334
cae_native,spectral_centroid,12,23,0.5
cae_native,spectral_entropy,14,23,0.5833333333333334
cae_native,stft_max_high_power,5,18,0.20833333333333334
cae_native,sw_var_peak_energy,9,24,0.375
cae_native,sw_var_peak_spilled,5,24,0.20833333333333334
cae_native,trace_length,6,21,0.25
lscae_native,cusum_max,3,24,0.125
lscae_native,cusum_max_energy,1,24,0.041666666666666664
lscae_native,cusum_max_spilled,4,24,0.16666666666666666
lscae_native,epr,16,24,0.6666666666666666
lscae_native,epr_energy,9,24,0.375
lscae_native,epr_spilled,7,24,0.2916666666666667
lscae_native,hl_ratio,5,23,0.20833333333333334
lscae_native,logprob_margin,12,24,0.5
lscae_native,low_band_power,2,23,0.08333333333333333
lscae_native,mean_logprob_entropy,15,24,0.625
lscae_native,mean_top1_logprob,10,24,0.4166666666666667
lscae_native,min_energy,8,24,0.3333333333333333
lscae_native,renyi_entropy_2,12,24,0.5
lscae_native,spectral_centroid,14,23,0.5833333333333334
lscae_native,spectral_entropy,3,23,0.125
lscae_native,sw_var_peak,16,24,0.6666666666666666
lscae_native,sw_var_peak_energy,1,24,0.041666666666666664
lscae_native,sw_var_peak_spilled,1,24,0.041666666666666664
lscae_native,topk_tail_mass,1,24,0.041666666666666664
lscae_native,trace_length,2,21,0.08333333333333333
lscae_native,varentropy,14,24,0.5833333333333334
dpp_native,cusum_max,14,24,0.5833333333333334
dpp_native,cusum_max_energy,24,24,1.0
dpp_native,cusum_max_spilled,21,24,0.875
dpp_native,dominant_freq,21,21,0.875
dpp_native,epr,1,24,0.041666666666666664
dpp_native,epr_energy,22,24,0.9166666666666666
dpp_native,epr_spilled,14,24,0.5833333333333334
dpp_native,high_band_power,22,23,0.9166666666666666
dpp_native,hl_ratio,21,23,0.875
dpp_native,hurst_exponent,23,23,0.9583333333333334
dpp_native,logprob_margin,22,24,0.9166666666666666
dpp_native,low_band_power,22,23,0.9166666666666666
dpp_native,mean_logprob_entropy,2,24,0.08333333333333333
dpp_native,mean_top1_logprob,9,24,0.375
dpp_native,min_energy,24,24,1.0
dpp_native,min_spilled,12,12,0.5
dpp_native,spectral_centroid,15,23,0.625
dpp_native,spectral_entropy,23,23,0.9583333333333334
dpp_native,stft_max_high_power,18,18,0.75
dpp_native,sw_var_peak,24,24,1.0
dpp_native,sw_var_peak_energy,24,24,1.0
dpp_native,sw_var_peak_spilled,24,24,1.0
dpp_native,topk_tail_mass,21,24,0.875
dpp_native,trace_length,21,21,0.875
dpp_native,varentropy,11,24,0.4583333333333333
dpp_ridge_native,cusum_max,16,24,0.6666666666666666
dpp_ridge_native,cusum_max_energy,24,24,1.0
dpp_ridge_native,cusum_max_spilled,21,24,0.875
dpp_ridge_native,dominant_freq,21,21,0.875
dpp_ridge_native,epr,1,24,0.041666666666666664
dpp_ridge_native,epr_energy,23,24,0.9583333333333334
dpp_ridge_native,epr_spilled,15,24,0.625
dpp_ridge_native,high_band_power,22,23,0.9166666666666666
dpp_ridge_native,hl_ratio,22,23,0.9166666666666666
dpp_ridge_native,hurst_exponent,23,23,0.9583333333333334
dpp_ridge_native,logprob_margin,22,24,0.9166666666666666
dpp_ridge_native,low_band_power,22,23,0.9166666666666666
dpp_ridge_native,mean_logprob_entropy,2,24,0.08333333333333333
dpp_ridge_native,mean_top1_logprob,12,24,0.5
dpp_ridge_native,min_energy,24,24,1.0
dpp_ridge_native,min_spilled,12,12,0.5
dpp_ridge_native,spectral_centroid,18,23,0.75
dpp_ridge_native,spectral_entropy,23,23,0.9583333333333334
dpp_ridge_native,stft_max_high_power,18,18,0.75
dpp_ridge_native,sw_var_peak,24,24,1.0
dpp_ridge_native,sw_var_peak_energy,24,24,1.0
dpp_ridge_native,sw_var_peak_spilled,24,24,1.0
dpp_ridge_native,topk_tail_mass,22,24,0.9166666666666666
dpp_ridge_native,trace_length,21,21,0.875
dpp_ridge_native,varentropy,18,24,0.75
dufs_k6,cusum_max,4,24,0.16666666666666666
dufs_k6,cusum_max_spilled,3,24,0.125
dufs_k6,epr,21,24,0.875
dufs_k6,epr_energy,2,24,0.08333333333333333
dufs_k6,epr_spilled,9,24,0.375
dufs_k6,hl_ratio,1,23,0.041666666666666664
dufs_k6,hurst_exponent,1,23,0.041666666666666664
dufs_k6,logprob_margin,11,24,0.4583333333333333
dufs_k6,low_band_power,3,23,0.125
dufs_k6,mean_logprob_entropy,16,24,0.6666666666666666
dufs_k6,mean_top1_logprob,17,24,0.7083333333333334
dufs_k6,renyi_entropy_2,14,24,0.5833333333333334
dufs_k6,spectral_centroid,6,23,0.25
dufs_k6,spectral_entropy,4,23,0.16666666666666666
dufs_k6,sw_var_peak,4,24,0.16666666666666666
dufs_k6,topk_tail_mass,14,24,0.5833333333333334
dufs_k6,trace_length,1,21,0.041666666666666664
