arm,phase,selector,label,method,n_cells,macro_auroc,mean_delta_vs_full_pp,delta_vs_full_ci95_low_pp,delta_vs_full_ci95_high_pp,wins_vs_full,losses_vs_full,ties_vs_full,p_wilcoxon_vs_full,mean_delta_vs_matched_random_pp,delta_vs_random_ci95_low_pp,delta_vs_random_ci95_high_pp,wins_vs_matched_random,mean_n_selected,mean_n_kept,no_selection_cells,orientation_failures,mean_abs_spearman,mean_effective_rank_fraction,fallback_cells,su_minimum_size_rate,su_theorem_support_rate,su_theorem_support_rate_if_size_eligible,su_decomposition_convergence_rate
full,baseline,full,All corrected views,deployed_upcr,24,0.7735279028911624,0.0,0.0,0.0,0,0,24,1.0,0.0,0.0,0.0,0,24.75,20.416666666666668,24,0,0.43948066525343615,0.2596209054732428,0,,,,
full,baseline,full,All corrected views,iu_pcr,24,0.7740628976408788,0.0,0.0,0.0,0,0,24,1.0,0.0,0.0,0.0,0,24.75,24.75,24,0,0.43948066525343615,0.2596209054732428,0,,,,
full,baseline,full,All corrected views,su_pcr,24,0.7736505677612553,0.0,0.0,0.0,0,0,24,1.0,0.0,0.0,0.0,0,24.75,24.75,24,0,0.43948066525343615,0.2596209054732428,0,1.0,1.0,1.0,1.0
dufs_native,native,dufs,DUFS parameter-free native gates,deployed_upcr,24,0.7608452394660173,-1.2682663425145027,-2.1334830371477027,-0.5154443911461782,5,18,1,0.0035021618425883716,-0.5941939790089469,-1.2944750213601453,0.020478830680366447,9,16.416666666666668,14.958333333333334,0,0,0.6135312194956234,0.20743357118909886,0,,,,
dufs_native,native,dufs,DUFS parameter-free native gates,iu_pcr,24,0.765507959482235,-0.8554938158643582,-1.4457581318306758,-0.31745160224656593,7,17,0,0.005897641181945801,-0.42841457207813777,-0.9281410637868255,0.058814650845619786,9,16.416666666666668,16.416666666666668,0,0,0.6135312194956234,0.20743357118909886,0,,,,
dufs_native,native,dufs,DUFS parameter-free native gates,su_pcr,24,0.7656997230102262,-0.7950844751029149,-1.3208970794294135,-0.30034332738202013,8,16,0,0.009575724601745605,0.5518350757759337,-0.16861723197839432,1.279161514464818,12,16.416666666666668,16.416666666666668,0,0,0.6135312194956234,0.20743357118909886,0,1.0,0.9166666666666666,0.9166666666666666,1.0
groupfs_native,native,groupfs,GroupFS native groups/gates,deployed_upcr,24,0.7699536505326434,-0.357425235851889,-0.7863388090730159,-0.030547418367512142,0,5,19,0.043114446783075355,0.06673244629808403,0.0,0.16103344275964038,4,21.708333333333332,18.541666666666668,19,0,0.5424660755359234,0.23485820761121956,0,,,,
groupfs_native,native,groupfs,GroupFS native groups/gates,iu_pcr,24,0.7695803947759634,-0.44825028649152127,-1.0811580606679034,-0.018695966074256755,1,4,19,0.07961580146011343,-0.11935416959011579,-0.4997481789907915,0.1224438669236406,2,21.708333333333332,21.708333333333332,19,0,0.5424660755359234,0.23485820761121956,0,,,,
groupfs_native,native,groupfs,GroupFS native groups/gates,su_pcr,24,0.7691214159432006,-0.4529151818054559,-1.0795105068417619,-0.025075717168368077,1,4,19,0.07961580146011343,0.40601677533306885,0.05386925108604168,0.9006452390035036,4,21.708333333333332,21.708333333333332,19,0,0.5424660755359234,0.23485820761121956,0,1.0,1.0,1.0,1.0
lapscore_native,native,lapscore,Laplacian Score adaptive,deployed_upcr,24,0.7449333924428293,-2.8594510448332904,-4.253141979773741,-1.7356154527642265,2,22,0,1.3113021850585938e-05,-0.2299403661708166,-1.5941034027279823,0.9140434550645593,10,6.166666666666667,5.708333333333333,0,0,0.8389588836948517,0.26169727039351215,0,,,,
