method,sla_macro8,f1_common_gate,within_auc,early,late,mae,tolerance_one,sla_long_cells,late_long_cells,sla_all,sla_steps_2_to_5,sla_steps_6_to_10,sla_steps_11_plus,prmscore_q80,prmscore_inner
ct7,0.3988620140983161,0.41188745848863717,0.7723966352864217,0.26938924036125245,0.3317487455404314,1.6243383039985684,0.6263471307829329,0.3771962870167172,0.34242444174694386,0.3824853669518235,0.4763719512195122,0.3587521663778163,0.29927007299270075,0.6425309772481037,0.647104057213021
window_equal_top10,0.2929998725442059,0.3253329876488349,0.7386175909357959,0.24172389996569438,0.4652762274900998,2.0122729908216326,0.545549625151513,0.2514769812178218,0.4945804157472907,0.2674470959027465,0.37347560975609756,0.24696707105719237,0.15571776155717762,0.6235451414570294,0.6244372951560195
window_equal_mean,0.24529069665720327,0.2890617176716004,0.6621536199682563,0.2807098285581151,0.47399947478468163,2.147808385993284,0.5074510839943649,0.2206721560138649,0.5051465121517085,0.2309770373705538,0.3384146341463415,0.21013864818024264,0.11800486618004866,0.5683449938517209,0.5687167062929696
window_iu_top10,0.29453092004479886,0.3262273453846747,0.7392681187222545,0.25876064798481424,0.44670843197038684,1.9957723655020243,0.5479192260255208,0.2548684569831712,0.470583457411715,0.2669968482665466,0.38871951219512196,0.24220103986135183,0.14233576642335766,0.6202421974341767,0.6216708101739166
window_iu_top10_native,0.2857125863009813,0.3169053091347833,0.7330439721491862,0.26663466941439984,0.4476527442846189,2.0835063368851015,0.5314902030069456,0.2529076387533346,0.4727779946645846,0.24470959027465106,0.3201219512195122,0.23830155979202772,0.14233576642335766,0.6043746681801379,0.6099016059801652
window_iu_mean,0.24436974272533046,0.2874358603015567,0.6656223018138029,0.2727616420514204,0.4828686152232492,2.091384890807702,0.5212303453974505,0.22750394160642137,0.5087946158951882,0.23210265646105357,0.3277439024390244,0.21750433275563258,0.12043795620437957,0.5686684979304579,0.5698847178328466
window_iu_mean_native,0.22969251635299465,0.2759983134750421,0.6603285850140798,0.2865578159831139,0.4837496676638914,2.193477565630708,0.49936588365750534,0.2240203494046457,0.5110551272041122,0.20981539846915803,0.2583841463414634,0.21403812824956672,0.12043795620437957,0.5558684727320446,0.5595931127998724
window_shrink_iu_top10,0.2938476861181262,0.32593444094961704,0.7383024561978188,0.2601727524316816,0.44597956145019224,1.9937441047542674,0.5490232800056519,0.2530262169149231,0.4723280293562474,0.2665466006303467,0.3932926829268293,0.2378682842287695,0.14476885644768855,0.6192302986492035,0.6197811141697889
window_shrink_iu_top10_native,0.2848969352065201,0.3165262981218787,0.731489113665248,0.2688632478583688,0.4462398169351111,2.080089119148727,0.5326598511673188,0.2510461399570564,0.47453986108400026,0.24425934263845114,0.3246951219512195,0.2339688041594454,0.14476885644768855,0.6027402449025702,0.6100686322687292
window_shrink_iu_mean,0.24257942345244193,0.28630963862147396,0.6647993007537301,0.27150507852096356,0.48591549802659456,2.093678652162175,0.5212882181901455,0.22434417848151977,0.5120520471438054,0.22985141828005404,0.3254573170731707,0.2153379549393414,0.11800486618004866,0.5682832498564656,0.5692812056423556
window_shrink_iu_mean_native,0.22785695011326612,0.27489763304351444,0.659003432439383,0.28481881060549347,0.48732423928124047,2.195782003361385,0.4996858754827842,0.22082906337432492,0.5143460456112955,0.2075641602881585,0.25609756097560976,0.21187175043327555,0.11800486618004866,0.5556720558202859,0.5579992478480265
window_lsml_top10,0.29696170191467175,0.3296814681470046,0.7407450877727317,0.2532741660504273,0.44976413203490095,2.00513882992259,0.54440891794128,0.26198078927803325,0.4657154987352975,0.2726249437190455,0.3719512195121951,0.2569324090121317,0.15815085158150852,0.6221438739332797,0.6234627901008015
window_lsml_top10_native,0.2872392462153458,0.3201296447856684,0.7354221092317974,0.2602161093763711,0.45254464440828324,2.098031134560789,0.5260393498523499,0.2600882864857831,0.4678583918927711,0.25033768572714993,0.30335365853658536,0.2530329289428076,0.15815085158150852,0.6068602107908181,0.6121469137936085
window_lsml_mean,0.24470209948816146,0.28744960470961484,0.6660763562528251,0.27199319766987334,0.48330470284196525,2.120637116743971,0.5208705402376059,0.22500294000984652,0.5083675670073091,0.23390364700585323,0.3307926829268293,0.2179376083188908,0.12408759124087591,0.5696065596059552,0.5693740311703048
window_lsml_mean_native,0.22960948303476114,0.27562258501320247,0.6610596793444681,0.2850234215495302,0.48536709541570866,2.2274257808403073,0.49781334490164325,0.22149395699134625,0.510623048018739,0.21161638901395768,0.2614329268292683,0.21447140381282495,0.12408759124087591,0.5571915201002844,0.5599521179511979
