cell,rep,m,k,greedy_converged,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,greedy_cols,auroc_truecorr_ownk,overlap_truecorr,overlap_truecorr_random_baseline,truecorr_cols_ownk,auroc_rho_ownk,overlap_rho,overlap_rho_random_baseline,rho_cols_ownk,auroc_truecorr_top6,auroc_truecorr_top8,auroc_truecorr_top10,auroc_truecorr_top12,auroc_truecorr_top14,auroc_truecorr_top16,auroc_random_ownk,mean_abs_corr_greedy,mean_abs_corr_topk,mean_abs_corr_pool
ars_gsm8k_r1distill8b,0,30,12,True,14,0.7278401997503121,0.7816791510611737,trace_length|spectral_entropy|rpdi|hurst_exponent|cusum_max|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|logprob_margin|varentropy,0.6933520599250937,0.4166666666666667,0.4,topk_tail_mass|cusum_max_spilled|cusum_max|mean_top1_logprob|epr_spilled|epr_energy|varentropy|renyi_entropy_2|mean_logprob_entropy|epr|sw_var_peak_spilled|sw_var_peak,0.6933520599250937,0.4166666666666667,0.4025,topk_tail_mass|mean_logprob_entropy|epr_spilled|mean_top1_logprob|renyi_entropy_2|varentropy|epr|sw_var_peak|cusum_max_spilled|cusum_max|sw_var_peak_spilled|epr_energy,0.7133270911360798,0.6889825218476904,0.6729088639201,0.6933520599250937,0.7003745318352059,0.7199594257178527,0.7393882646691635,0.25479627246484754,0.34347556167605614,0.20816794133045016
ars_gsm8k_r1distill8b,1,30,12,True,16,0.7064698867024448,0.7506708407871199,epr|trace_length|spectral_entropy|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|cusum_max|epr_energy|sw_var_peak_energy|logprob_margin|varentropy,0.6386404293381037,0.4166666666666667,0.404625,topk_tail_mass|varentropy|epr_energy|mean_logprob_entropy|epr|renyi_entropy_2|epr_spilled|mean_top1_logprob|sw_var_peak|sw_var_peak_spilled|logprob_margin|trace_length,0.689773404889684,0.25,0.40116666666666667,topk_tail_mass|sw_var_peak|cusum_max|cusum_max_spilled|varentropy|mean_logprob_entropy|renyi_entropy_2|epr_spilled|mean_top1_logprob|epr|sw_var_peak_spilled|high_band_power,0.6620453190220633,0.6622689326177699,0.6488521168753727,0.6386404293381037,0.6762075134168157,0.7007304710793083,0.7270751341681574,0.23973566934354965,0.34257675181373465,0.20910873861021415
ars_gsm8k_r1distill8b,2,30,12,True,18,0.7226190476190475,0.7947619047619048,trace_length|spectral_entropy|spectral_centroid|stft_max_high_power|rpdi|cusum_shift_idx|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|logprob_margin|varentropy,0.6703174603174603,0.3333333333333333,0.4018333333333333,topk_tail_mass|sw_var_peak|epr_spilled|mean_top1_logprob|varentropy|mean_logprob_entropy|renyi_entropy_2|epr|epr_energy|sw_var_peak_spilled|logprob_margin|cusum_max_spilled,0.701984126984127,0.25,0.4015,topk_tail_mass|sw_var_peak|sw_var_peak_spilled|cusum_max_spilled|mean_logprob_entropy|epr_spilled|mean_top1_logprob|renyi_entropy_2|varentropy|epr|cusum_max|spectral_centroid,0.661984126984127,0.646904761904762,0.6705555555555556,0.6703174603174603,0.695873015873016,0.7170634920634921,0.7168317460317459,0.21778426030788509,0.3362933601569287,0.21007215446807687
ars_gsm8k_r1distill8b,3,30,11,True,18,0.7242844364937387,0.7766100178890876,trace_length|spectral_entropy|high_band_power|dominant_freq|spectral_centroid|stft_max_high_power|rpdi|cusum_max|epr_energy|logprob_margin|varentropy,0.6566040548598688,0.2727272727272727,0.36649999999999994,topk_tail_mass|sw_var_peak|varentropy|epr_energy|sw_var_peak_spilled|mean_logprob_entropy|trace_length|epr|renyi_entropy_2|epr_spilled|mean_top1_logprob,0.6959600477042336,0.18181818181818182,0.361590909090909,topk_tail_mass|sw_var_peak|cusum_max|cusum_max_spilled|mean_logprob_entropy|epr_spilled|mean_top1_logprob|renyi_entropy_2|varentropy|epr|sw_var_peak_spilled,0.7081097197376267,0.6794126416219439,0.6621198568872987,0.6531753130590341,0.6992397137745974,0.7199612403100775,0.6991949910554562,0.2240226286116984,0.307627818360769,0.20189737293059942
ars_gsm8k_r1distill8b,4,30,10,True,17,0.7557585995085995,0.802595208845209,trace_length|spectral_entropy|dominant_freq|stft_max_high_power|rpdi|cusum_max|epr_energy|sw_var_peak_energy|logprob_margin|topk_tail_mass,0.7347972972972973,0.4,0.33145,topk_tail_mass|sw_var_peak|trace_length|sw_var_peak_spilled|epr_energy|varentropy|spectral_entropy|mean_logprob_entropy|mean_top1_logprob|epr_spilled,0.7124539312039312,0.2,0.33325,topk_tail_mass|varentropy|mean_logprob_entropy|sw_var_peak|epr_spilled|mean_top1_logprob|cusum_max_spilled|epr|renyi_entropy_2|cusum_max,0.7478501228501229,0.7619778869778869,0.7347972972972973,0.7278101965601965,0.7370239557739557,0.7474662162162162,0.7448341523341523,0.2441406295282537,0.2912690938762327,0.18755615317931665
epr_triviaqa_mistral24b,0,28,12,True,21,0.6995480225988701,0.692090395480226,trace_length|spectral_entropy|low_band_power|rpdi|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|cusum_max_energy|mean_logprob_entropy|varentropy|topk_tail_mass,0.7028813559322034,0.5,0.43133333333333335,varentropy|mean_logprob_entropy|epr|min_energy|renyi_entropy_2|epr_energy|topk_tail_mass|epr_spilled|mean_top1_logprob|logprob_margin|sw_var_peak|sw_var_peak_energy,0.7010169491525424,0.5,0.4300833333333334,sw_var_peak|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass|epr|mean_top1_logprob|cusum_max_spilled|cusum_max|min_energy|epr_spilled|varentropy|sw_var_peak_spilled,0.7050282485875705,0.7068926553672317,0.7040112994350283,0.7028813559322034,0.699322033898305,0.698870056497175,0.6911322033898305,0.3012279031805724,0.3941344884578492,0.24832589597569146
epr_triviaqa_mistral24b,1,28,14,True,22,0.7436730123180291,0.7373460246360583,epr|spectral_entropy|low_band_power|high_band_power|dominant_freq|epr_spilled|sw_var_peak_spilled|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass,0.7411534154535274,0.6428571428571429,0.5004285714285714,epr|mean_logprob_entropy|renyi_entropy_2|mean_top1_logprob|epr_spilled|varentropy|topk_tail_mass|epr_energy|logprob_margin|sw_var_peak_spilled|sw_var_peak|min_energy|cusum_max_spilled|sw_var_peak_energy,0.7442889137737961,0.5714285714285714,0.49946428571428564,sw_var_peak|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass|epr|cusum_max_spilled|min_energy|mean_top1_logprob|cusum_max|varentropy|epr_spilled|sw_var_peak_spilled|sw_var_peak_energy|epr_energy,0.725979843225084,0.736114221724524,0.7306270996640538,0.7390257558790594,0.7411534154535274,0.7375139977603583,0.7367122060470325,0.27590042482773863,0.34031911741985105,0.2221378960372507
epr_triviaqa_mistral24b,2,28,10,True,22,0.7317640692640692,0.7299242424242425,spectral_entropy|dominant_freq|spectral_centroid|sw_var_peak|epr_energy|min_energy|sw_var_peak_energy|mean_logprob_entropy|varentropy|topk_tail_mass,0.7314393939393941,0.6,0.36010000000000003,min_energy|varentropy|mean_logprob_entropy|epr_energy|epr|renyi_entropy_2|mean_top1_logprob|topk_tail_mass|sw_var_peak|epr_spilled,0.732034632034632,0.4,0.36079999999999995,sw_var_peak|cusum_max|cusum_max_spilled|mean_logprob_entropy|topk_tail_mass|renyi_entropy_2|min_energy|epr|mean_top1_logprob|epr_spilled,0.7292748917748918,0.7308441558441559,0.7314393939393941,0.729599567099567,0.7316558441558443,0.7301406926406926,0.7240822510822511,0.28053108532699705,0.3605264970949073,0.2095804659237659
epr_triviaqa_mistral24b,3,28,19,True,21,0.7474856321839081,0.7475882594417077,epr|trace_length|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|cusum_shift_idx|epr_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7464593596059114,0.8421052631578947,0.6793947368421052,epr_energy|min_energy|mean_logprob_entropy|epr|varentropy|renyi_entropy_2|mean_top1_logprob|topk_tail_mass|epr_spilled|sw_var_peak|logprob_margin|sw_var_peak_energy|sw_var_peak_spilled|cusum_max_spilled|cusum_max_energy|cusum_max|trace_length|spectral_entropy|cusum_shift_idx,0.7472803776683088,0.8421052631578947,0.679921052631579,sw_var_peak|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass|epr|mean_top1_logprob|cusum_max_spilled|cusum_max|min_energy|epr_spilled|varentropy|trace_length|sw_var_peak_energy|sw_var_peak_spilled|logprob_margin|epr_energy|cusum_max_energy|spectral_entropy|spectral_centroid,0.7467159277504105,0.7470238095238095,0.7482553366174055,0.7453304597701149,0.7446633825944171,0.7441502463054188,0.7404761904761905,0.25969856442058925,0.27973940969774774,0.21153091193507573
epr_triviaqa_mistral24b,4,28,19,True,23,0.7015623218154864,0.6952332078914356,epr|low_band_power|high_band_power|dominant_freq|spectral_centroid|rpdi|hurst_exponent|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass,0.7022465503478161,0.7894736842105263,0.6763157894736842,mean_logprob_entropy|renyi_entropy_2|mean_top1_logprob|epr|varentropy|topk_tail_mass|epr_spilled|min_energy|epr_energy|logprob_margin|sw_var_peak|sw_var_peak_spilled|sw_var_peak_energy|cusum_max_spilled|cusum_max_energy|cusum_max|cusum_shift_idx|spectral_centroid|high_band_power,0.7033299121906718,0.6842105263157895,0.6803157894736842,sw_var_peak|topk_tail_mass|mean_logprob_entropy|cusum_max_spilled|renyi_entropy_2|epr|cusum_max|min_energy|mean_top1_logprob|varentropy|epr_spilled|sw_var_peak_spilled|sw_var_peak_energy|cusum_max_energy|trace_length|epr_energy|logprob_margin|spectral_centroid|spectral_entropy,0.6975709887102293,0.7039001026342798,0.7053255787433003,0.7047553882996921,0.7027597217470635,0.7016763599042081,0.693114380202988,0.2952468430137199,0.3420632983848999,0.25899928126430527
