cell,n_splits,m,k_mean,n_keep_deployed_halfA,n_splits_unconverged,auroc_deployed,auroc_greedy,auroc_truecorr_ownk,overlap_truecorr,overlap_truecorr_random_baseline,auroc_rho_ownk,overlap_rho,overlap_rho_random_baseline,auroc_truecorr_top6,auroc_truecorr_top8,auroc_truecorr_top10,auroc_truecorr_top12,auroc_truecorr_top14,auroc_truecorr_top16,auroc_random_ownk,mean_abs_corr_greedy,mean_abs_corr_topk,mean_abs_corr_pool
math500_qwenmath7b,5,28,10.6,11.8,0,0.9141235689674378,0.9059235251480962,0.9006385228861994,0.45499999999999996,0.37733972222222223,0.8744684812330833,0.4666666666666667,0.3787277777777778,0.8990923976109662,0.9051382388903402,0.9071851711633878,0.9021501177950505,0.9004017199935295,0.8948855586190657,0.8322484122529008,0.628661762910615,0.7607387803385042,0.5714483482876611
math500_r1distill8b,5,28,8.2,22.6,0,0.8300648193404498,0.8330342889510778,0.830122572533778,0.6025,0.29493874999999997,0.8274798772745398,0.2975,0.29322875000000004,0.8450781989881591,0.8420847015445065,0.828927873104558,0.8208545353382032,0.8245049645505287,0.8314878429655096,0.8067575662785611,0.4734015256445666,0.5564730415898765,0.3999878923977112
math500_r1distill8b_mn4096,5,29,10.0,24.8,0,0.8458690365637693,0.8507853017415528,0.8560056159333003,0.4520923520923521,0.34356742063492063,0.8404975801943977,0.21247474747474748,0.34457641414141416,0.8411083109309552,0.8526539026457446,0.8546929298454172,0.8539074244476016,0.8551264786574782,0.8562906177415556,0.8156351362190429,0.42186882656457947,0.5342231967949276,0.3903688890056561
noise_gsm8k_mistral7b,5,29,8.6,23.0,0,0.7947210996974018,0.8296048201577768,0.7453174950120094,0.3722222222222222,0.29682361111111105,0.7645069857037154,0.04444444444444444,0.2955972222222222,0.7646675903177194,0.7382832808222337,0.7486934365718035,0.7525749888826004,0.7681965869478297,0.7832172423224069,0.7722098758370735,0.29451675211534917,0.41773232649718095,0.2843002691403798
noise_gsm8k_phi3mini,5,29,12.4,19.0,0,0.6874046920247986,0.6903845039671935,0.6742060919470829,0.4884249084249085,0.4285334798534799,0.6712291179111668,0.377032967032967,0.4275323260073261,0.6779801949086975,0.6779426948167966,0.6695283734096625,0.66846689511875,0.6765626423633712,0.6809501470708257,0.6715593124063916,0.1715478865980876,0.24015378804475046,0.15193906415740824
sciq_llama8b,5,30,18.0,23.4,0,0.724564387728049,0.725441189973296,0.7156623879507362,0.6817508197370898,0.5990922620285892,0.7150354815704854,0.6798147790424679,0.5991037912221264,0.7054211735720005,0.7051775586104561,0.7022640178881561,0.7041706913172925,0.7055902122831246,0.7118534130045534,0.7231548019356906,0.3040799447481217,0.35888906069053167,0.26899799792723245
se_nq_open_llama8b,5,27,10.4,22.0,0,0.7472260811919545,0.7573625023707173,0.7519224259044046,0.5990675990675991,0.38428633449883454,0.7500415454540497,0.5808857808857809,0.38618277972027976,0.7448332648879694,0.7500343566337819,0.7519704457514733,0.7536731618545728,0.7535718037111983,0.7540962419244,0.7289341290770698,0.2953785748616101,0.3619540211794344,0.2188253707421454
se_squad_v2_llama8b,5,27,11.0,23.0,0,0.8144431799593832,0.8431195420725184,0.7505662200350793,0.5808080808080808,0.40664999999999996,0.784623180978042,0.35656565656565664,0.4073212121212121,0.7309140324360306,0.7142532626295652,0.738513170727302,0.7634751141136793,0.8050572451159201,0.803038959854985,0.8028525914805014,0.31291323654598424,0.3555146744222703,0.2511875058371326
seiclr_triviaqa_opt30b,5,19,10.6,13.0,0,0.8142784015533622,0.840137784218725,0.8025401364249898,0.7151515151515151,0.5556747474747474,0.8185804739468786,0.692929292929293,0.559480808080808,0.7611426892033304,0.8070702793449401,0.8093301838884178,0.8069864153173707,0.8176331163012989,0.8213408176441275,0.8096980029392011,0.30049224047610135,0.3740594713711954,0.28314939930935906
semenergy_triviaqa_qwen3_8b,5,27,14.6,20.4,0,0.8162497041952941,0.8285149810881777,0.8095318264058646,0.7915567765567766,0.5405224771062271,0.8149574853743491,0.7657234432234432,0.5406765064102564,0.8120010134992555,0.8085214705333172,0.8066737694890284,0.8014440425165337,0.7989581729228417,0.8157927186388193,0.7830080186660968,0.3119123201571485,0.34669463391468425,0.24980946293863227
spilled_triviaqa_llama8b,5,28,19.2,22.0,0,0.9086390168970814,0.9097315924219149,0.9023564260112646,0.7004031818677128,0.6868419717772692,0.9047499743983615,0.7696251498310994,0.6871047401111474,0.793231746031746,0.8692506400409628,0.9006131080389144,0.8991178187403994,0.8848066052227344,0.886847823860727,0.913650113671275,0.1591442334547881,0.200313376984499,0.1610024285243596
trace_gsm8k_llama8b_k10,5,29,10.4,21.2,0,0.8133078340737949,0.8220799255712665,0.804563689467605,0.3048018648018648,0.35836993006993006,0.8029231263119371,0.2727505827505828,0.3595859207459208,0.8002508283751026,0.8009587911036096,0.8026450048979893,0.8044438218083542,0.8101766430060054,0.8112136683143865,0.8016220582463081,0.32720037023417375,0.493261247180781,0.35051094892418794
trace_math500_qwenmath15b_k10,5,30,5.6,23.4,0,0.677006922687465,0.7110281298368034,0.6922033551512268,0.3304761904761905,0.18848674603174603,0.666891044817642,0.0,0.18638261904761905,0.6919642130930928,0.6886527231026883,0.6846549393842578,0.6808249159009391,0.6802841562035851,0.6793817829586162,0.6665996786767923,0.17813421580420866,0.25664307531604313,0.17577576892637
truthfulqa_llama8b,5,29,6.2,22.0,0,0.6535679980534514,0.6860034890529304,0.6794572765593992,0.5523809523809523,0.21215674603174603,0.6163953060628895,0.09166666666666666,0.21243591269841264,0.6779897435002307,0.6780532862978219,0.6761600210048833,0.6725816668601041,0.6627160115579281,0.6617555738602464,0.6286463717123834,0.15446418206993529,0.17530350665845879,0.1050177974250784
