cell,n_splits,m,k_mean,n_keep_deployed_halfA,n_splits_unconverged,auroc_deployed,auroc_greedy,auroc_truecorr_ownk,overlap_truecorr,overlap_truecorr_random_baseline,auroc_rho_ownk,overlap_rho,overlap_rho_random_baseline,auroc_truecorr_top6,auroc_truecorr_top8,auroc_truecorr_top10,auroc_truecorr_top12,auroc_truecorr_top14,auroc_truecorr_top16,auroc_random_ownk,mean_abs_corr_greedy,mean_abs_corr_topk,mean_abs_corr_pool
ars_gsm8k_r1distill8b,5,30,11.4,16.6,0,0.7273944340148285,0.781263424668899,0.6787422603475648,0.36787878787878786,0.3808816666666667,0.6987047141414139,0.2596969696969697,0.38000151515151515,0.698663275946004,0.6879093489940107,0.6778467381071248,0.6766590918399776,0.7017437461347182,0.7210361690773893,0.7254648576517352,0.2360958920512469,0.32424851717674424,0.20336047210373148
epr_triviaqa_mistral24b,5,28,14.8,21.8,0,0.7248066116360725,0.720436425974734,0.7248360150557704,0.6748872180451129,0.5295144862155389,0.7255901569639903,0.5995488721804512,0.5301168922305765,0.7209139800096371,0.7249549890188002,0.7239317416798363,0.7243185053961273,0.7239108795698315,0.7224702706215707,0.7171034462396586,0.2825209641539234,0.34335656221105104,0.23011489022721782
internalstates_gsm8k_qwen25_7b,5,29,7.8,21.0,0,0.7097291380399277,0.7513393891858036,0.7246985915282403,0.6880952380952381,0.2718579365079365,0.6491339254019899,0.073015873015873,0.2710960317460317,0.7270899712899976,0.7067764171790072,0.7020541944503158,0.7061904700156688,0.6925002912274645,0.6954224701029214,0.6964251231901575,0.23850057921601936,0.270771009795708,0.17084709889653318
lapeigvals_gsm8k_llama3b,5,30,14.6,22.0,0,0.6905998613693145,0.7052819150948595,0.7035540597514667,0.7302828054298642,0.4874007051282051,0.7018801020739017,0.6893514328808447,0.48633939291101047,0.7043164667814207,0.7036058282085272,0.703051981260743,0.7029749651398987,0.703190755922515,0.7033745194782106,0.6818664554414273,0.27866700147001366,0.3155551035267897,0.22041156693296982
lapeigvals_gsm8k_llama8b,5,29,14.2,22.4,0,0.81419494988486,0.8148361892707385,0.810893981957317,0.5197268907563025,0.48956545168067234,0.8120172255438742,0.5447268907563025,0.4891138445378151,0.8060548665685214,0.805853713764888,0.8054339411686613,0.8080284310553069,0.8084276340507316,0.8102534215437396,0.8125242874756072,0.3987451719156069,0.4833650774658003,0.35707950704097113
lapeigvals_gsm8k_mistral24b,5,30,13.4,21.0,0,0.8536765081421077,0.8627113653565882,0.8602370397788366,0.6406593406593406,0.44760219780219784,0.850183605716313,0.5813186813186814,0.4468675824175824,0.8554177384097222,0.8582620064563133,0.8613540334672031,0.8647289125354949,0.8597277933067001,0.8547894493893521,0.842281728804428,0.3918255813365071,0.48002381422689694,0.3396239024775309
lapeigvals_gsm8k_nemo,5,29,11.6,20.6,0,0.799855688030962,0.8222193392008712,0.7849269272794283,0.4100699300699301,0.3995534965034965,0.7812594919890195,0.37006993006993005,0.3998509090909091,0.7822083888289313,0.7868571567304687,0.7849267927444264,0.777030852809927,0.779325561772176,0.790260467790462,0.7895307127317638,0.26241027513302895,0.3723559752779496,0.2494329641187767
lapeigvals_gsm8k_phi35,5,29,14.8,18.8,0,0.7978689222192112,0.7995482070722026,0.7848968107460594,0.6251285479226656,0.5106801059234882,0.7869391238277188,0.590826820238585,0.5097153948992184,0.7642635686432557,0.7708444396380166,0.7756548203687584,0.774500638687666,0.7780558354445153,0.7886680531593918,0.7893634824010936,0.2645749132318542,0.3492965641346702,0.22450475648494095
losnet_hotpotqa_mistral7b,5,29,9.6,22.0,0,0.5621505358986759,0.5650261205418546,0.5712786688251483,0.6529411764705881,0.33159607843137257,0.5611534304151451,0.28941176470588237,0.3326423529411765,0.5658633342628742,0.558346165715401,0.5532155301813472,0.5562504564603323,0.5558627291413061,0.5594211963083341,0.5523677790978919,0.11643096371812127,0.13297186792156823,0.0826780875506166
math500_dsmath7b,5,30,14.0,23.4,0,0.786844680909791,0.7900295111712322,0.7908928755068817,0.5624269005847953,0.46587066520467835,0.7952357684365906,0.39801169590643276,0.4659540058479533,0.7641805495804587,0.7833150811755816,0.7602378935870088,0.7825053389536196,0.7932098599639442,0.7961004955275948,0.775807990432461,0.23216774136394064,0.2984031844928182,0.2115048854855623
