split,table,method,rho_unit_length,rho_chunk_count,rho_context_length,raw_auroc,residualized_auroc
pilot,full_response,ec_dufs_liu,-0.14939916344949286,0.48812340940577453,0.313738243243935,0.5576923076923077,0.5961538461538461
pilot,full_response,ec_iu_pcr,-0.1487496018692777,0.4723774929733302,0.3026956963802768,0.5673076923076923,0.5961538461538461
pilot,full_response,ec_permuted_liu,-0.1487496018692777,0.4723774929733302,0.3026956963802768,0.5673076923076923,0.5961538461538461
pilot,full_response,ec_ungated_liu,-0.13965573974626505,0.48812340940577453,0.32348166694716285,0.5673076923076923,0.5961538461538461
pilot,full_response,ec_upcr,-0.142903547647341,0.4408856601084415,0.2890549031957579,0.5384615384615384,0.5961538461538461
pilot,full_response,gasp_ll,-0.13835661658583467,0.26768057935155376,0.18382592720089774,0.5384615384615384,0.5961538461538461
pilot,full_response,gasp_top50,-0.1435531092275562,0.31491832864888675,0.20136408986670776,0.5384615384615384,0.6057692307692307
pilot,full_response,likelihood_gap,-0.27411498685080865,0.12596733145955472,0.07859695120603755,0.5576923076923077,0.6826923076923077
pilot,full_response,perplexity,-0.0019486847406455592,0.6455825737302179,0.4209159039794407,0.5288461538461539,0.4423076923076923
pilot,full_sentence,ec_dufs_liu,-0.11892638723529426,0.3791661946321199,0.34498277520087356,0.7258687258687258,0.6631274131274131
pilot,full_sentence,ec_iu_pcr,-0.11816925421127634,0.3810164305069369,0.3456877635142913,0.7258687258687259,0.6636100386100386
pilot,full_sentence,ec_permuted_liu,-0.11808308795294593,0.38365962461381814,0.3471671064611219,0.7258687258687259,0.6636100386100386
pilot,full_sentence,ec_ungated_liu,-0.11791923080595697,0.38128074991762495,0.3459553193199861,0.7253861003861004,0.6636100386100386
pilot,full_sentence,ec_upcr,-0.121039579406807,0.3804877916855605,0.34727469503907316,0.7268339768339769,0.6636100386100386
pilot,full_sentence,gasp_ll,-0.15779301998875211,0.23484779639640194,0.2593691642961191,0.708976833976834,0.6631274131274131
pilot,full_sentence,gasp_top50,-0.14072503803127323,0.24832808634149647,0.2594229585850948,0.7017374517374517,0.6515444015444015
pilot,full_sentence,likelihood_gap,-0.20930066660776306,0.2160811182375448,0.23345730468005646,0.7138030888030888,0.6669884169884169
pilot,full_sentence,perplexity,0.0917246882735157,0.5459517427763289,0.313156375075856,0.6993243243243243,0.6056949806949807
pilot,noctx_response,ec_dufs_liu,-0.04650127962916518,0.587015850875149,0.255645790879956,0.6761363636363636,0.5227272727272727
pilot,noctx_response,ec_iu_pcr,-0.04739125627278557,0.5917384240921655,0.253420849270905,0.6761363636363636,0.5284090909090908
pilot,noctx_response,ec_permuted_liu,-0.04739125627278557,0.5917384240921655,0.253420849270905,0.6761363636363636,0.5227272727272727
pilot,noctx_response,ec_ungated_liu,-0.04650127962916518,0.587015850875149,0.255645790879956,0.6761363636363636,0.5227272727272727
pilot,noctx_response,ec_upcr,-0.04739125627278557,0.5917384240921655,0.253420849270905,0.6761363636363636,0.5284090909090908
pilot,noctx_response,likelihood_gap,-0.08143286289126535,0.5761539324760112,0.14617866371464847,0.7045454545454546,0.6136363636363636
pilot,noctx_response,perplexity,0.03048170004399823,0.49232825787396856,0.25520080255814576,0.5909090909090909,0.38068181818181823
pilot,noctx_sentence,ec_dufs_liu,-0.13981734017576464,0.41451766762434183,0.32500861253229435,0.7833887043189369,0.660797342192691
pilot,noctx_sentence,ec_iu_pcr,-0.138414090872214,0.41365767246329554,0.325505432953916,0.7827242524916943,0.6601328903654485
pilot,noctx_sentence,ec_permuted_liu,-0.13838108500833865,0.41382967149550476,0.32570806363947163,0.782392026578073,0.6601328903654485
pilot,noctx_sentence,ec_ungated_liu,-0.13974832791493427,0.41443166810823723,0.32487752799003367,0.7833887043189369,0.660797342192691
pilot,noctx_sentence,ec_upcr,-0.138414090872214,0.41365767246329554,0.325505432953916,0.7827242524916943,0.6601328903654485
pilot,noctx_sentence,likelihood_gap,-0.2066417123022612,0.32798304341949996,0.15567240006549926,0.7647840531561461,0.6674418604651162
pilot,noctx_sentence,perplexity,0.030287380905288222,0.3660617180502746,0.24176242335654902,0.73421926910299,0.639202657807309
