split,table,task,granularity,cohort,method,n,positives,n_groups,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high
pilot,full_response,ALL,response,LOO,ec_dufs_liu,21,8,20,0.5576923076923077,0.30729166666666663,0.7760298563869993,0.4675137362637362,0.2579903870639165,0.77888754995005
pilot,full_response,ALL,response,LOO,ec_iu_pcr,21,8,20,0.5673076923076923,0.30729166666666663,0.7877314814814815,0.47306929181929175,0.2579903870639165,0.7789054487179489
pilot,full_response,ALL,response,LOO,ec_permuted_liu,21,8,20,0.5673076923076923,0.30729166666666663,0.7877314814814815,0.47306929181929175,0.2579903870639165,0.7789054487179489
pilot,full_response,ALL,response,LOO,ec_ungated_liu,21,8,20,0.5673076923076923,0.30729166666666663,0.7877314814814815,0.47306929181929175,0.2579903870639165,0.7789054487179489
pilot,full_response,ALL,response,LOO,ec_upcr,21,8,20,0.5384615384615384,0.2932916666666667,0.7612121212121213,0.4277567918192918,0.23298145933014355,0.7679470390720391
pilot,full_response,ALL,response,LOO,gasp_ll,21,8,20,0.5384615384615384,0.3292989417989418,0.800054945054945,0.41669146825396824,0.22900824504442924,0.7335942415427711
pilot,full_response,ALL,response,LOO,gasp_top50,21,8,20,0.5384615384615384,0.30629166666666663,0.7963888888888889,0.42281520562770564,0.22279539758487127,0.7598185296846012
pilot,full_response,ALL,response,LOO,likelihood_gap,21,8,20,0.5576923076923077,0.32942857142857135,0.7857473544973544,0.4214473026973027,0.22786529771398192,0.6972624907986751
pilot,full_response,ALL,response,LOO,perplexity,21,8,20,0.5288461538461539,0.2603877314814814,0.75,0.42679075418046003,0.22803513071895426,0.7114950551093644
pilot,full_response,Data2txt,response,LOO,ec_dufs_liu,10,6,9,0.49999999999999994,0.15,0.9321428571428559,0.7461640211640211,0.3880208333333333,0.9868055555555554
pilot,full_response,Data2txt,response,LOO,ec_iu_pcr,10,6,9,0.5416666666666666,0.15,0.9728571428571424,0.762037037037037,0.3880208333333333,0.9868055555555554
pilot,full_response,Data2txt,response,LOO,ec_permuted_liu,10,6,9,0.5416666666666666,0.15,0.9728571428571424,0.762037037037037,0.3880208333333333,0.9868055555555554
pilot,full_response,Data2txt,response,LOO,ec_ungated_liu,10,6,9,0.5416666666666666,0.15,0.9728571428571424,0.762037037037037,0.3880208333333333,0.9868055555555554
pilot,full_response,Data2txt,response,LOO,ec_upcr,10,6,9,0.5416666666666666,0.15,0.9728571428571423,0.762037037037037,0.3880208333333333,0.9868055555555554
pilot,full_response,Data2txt,response,LOO,gasp_ll,10,6,9,0.6666666666666666,0.19000000000000006,1.0,0.7749999999999999,0.4298611111111111,1.0
pilot,full_response,Data2txt,response,LOO,gasp_top50,10,6,9,0.625,0.19833333333333336,1.0,0.7958333333333333,0.4648611111111111,1.0
pilot,full_response,Data2txt,response,LOO,likelihood_gap,10,6,9,0.8333333333333334,0.3966666666666667,1.0,0.8734126984126983,0.5336706349206349,1.0
pilot,full_response,Data2txt,response,LOO,perplexity,10,6,9,0.24999999999999997,0.0,0.6012499999999995,0.5259259259259259,0.32390376984126984,0.8963435374149658
