arm,selected_variant,selected_alpha,selected_lambda,selected_trust,selected_cross_validated_delta_vs_iu_pp,best_cross_validated_delta_vs_iu_pp,one_se_pp,selected_worst_pp,independent_upstream_variant,independent_upstream_cross_validated_delta_vs_iu_pp,direction,source_group_weights
iu_observed_mean,iu__observed__a0,0.0,0.03,0.5,0.25147679442711046,0.46019871001964135,0.24972718626076157,-0.2769493672833079,iu__observed__a0,0.0,"[0.001692325000827774, 0.00027956399005032073, -0.002730373984985923, 0.0024271455145171757, -0.0017197369807337114, 0.004675242384337353]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
su_observed_mean,su__observed__a0,0.0,0.03,0.5,-0.19764996494206766,-0.09238632230053989,0.6176903052725788,-3.530893003007566,su__observed__a0,-0.4108228399242803,"[0.0015637211752274466, 0.00045419327939402005, -0.0025243859183081193, 0.0017133128817400248, -0.0017563435390878443, 0.004370421871049782]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
iu_all_sparse_mean,iu__all_sparse__a0p25,0.25,0.03,0.5,0.26245877076052004,0.475092374912338,0.2343922550180115,-0.30698190859624885,iu__all_sparse__a0p25,0.016569535339623676,"[0.001643966431631946, 0.00037992945506504087, -0.0027910341520373774, 0.0025042760557084836, -0.0018545123499992503, 0.004672288531944754]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
su_all_sparse_mean,su__all_sparse__a1,1.0,0.03,0.5,0.23333575370049078,0.43265448867721523,0.2692996015134717,-0.5708760412495055,su__all_sparse__a1,-0.011255247334359357,"[0.0018332512980096455, 0.00020856098967549886, -0.0027587984755972255, 0.002209232308298905, -0.00152051315770904, 0.004506055661197359]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
iu_cross_sparse_mean,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.2604957856809393,0.4818424620286179,0.24230076018045785,-0.2814411033001396,iu__cross_sparse__a0p25,0.00515847112962306,"[0.0016781106019997452, 0.0002659899972507261, -0.002671973822940225, 0.0025244679260948743, -0.0017747173958423794, 0.004674297651750748]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
su_cross_sparse_mean,su__cross_sparse__a1,1.0,0.03,0.5,0.13269328198593353,0.35502427535998426,0.3013496467603545,-1.1177194741139282,su__cross_sparse__a1,-0.11908710591302968,"[0.0019017618589175197, 0.0002045837597527077, -0.002492076684813281, 0.0020401255657248553, -0.001689036971307459, 0.004237960938098235]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
iu_shared_cross_mean,iu__shared_cross__a0p25,0.25,0.03,0.5,0.24778924408903882,0.4614136563190531,0.24630504449611967,-0.25794199619348923,iu__shared_cross__a0p25,-0.0011101544768138403,"[0.0017074486792643597, 0.0003043740308137277, -0.0027647478817369045, 0.002430801950065543, -0.0017263467937997006, 0.004682139402687841]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
su_shared_cross_mean,su__shared_cross__a0p25,0.25,0.03,0.5,-0.19197885667093587,-0.07226852639163311,0.5924716115173818,-3.4995518498553424,su__shared_cross__a0p25,-0.4140377742213472,"[0.0015205977242508766, 0.0004769341196132646, -0.002504721308949365, 0.0017323195364393712, -0.0018128949767035312, 0.004440842757522304]","{""gsm8k"": 0.125, ""hotpotqa"": 0.125, ""math500"": 0.125, ""nq_open"": 0.125, ""sciq"": 0.125, ""squad_v2"": 0.125, ""triviaqa"": 0.125, ""truthfulqa"": 0.125}"
iu_observed_geomedian,iu__observed__a0,0.0,0.03,0.5,0.25240688522911,0.44066870039994926,0.2467154200732245,-0.28328702221115387,iu__observed__a0,0.0,"[0.0017878426052775787, 0.0003261581420023935, -0.0027697502885959658, 0.0025685949708425574, -0.0018187836123280926, 0.0048077950726604]","{""gsm8k"": 0.13294271477082378, ""hotpotqa"": 0.0818537781546401, ""math500"": 0.07552343882754821, ""nq_open"": 0.1595966244608063, ""sciq"": 0.18799792581866484, ""squad_v2"": 0.10795408106945849, ""triviaqa"": 0.12020970982322325, ""truthfulqa"": 0.13392172707483507}"
iu_cross_sparse_geomedian,iu__cross_sparse__a0p25,0.25,0.03,0.5,0.25553917994421693,0.4665846696149616,0.24009263839132786,-0.2961413302642657,iu__cross_sparse__a0p25,0.00515847112962306,"[0.001758586345767689, 0.0003299072224413531, -0.002648401981621966, 0.0026599348032162276, -0.0019563631026881145, 0.004910130965260938]","{""gsm8k"": 0.13166897064646724, ""hotpotqa"": 0.08686201851833782, ""math500"": 0.0732504646911491, ""nq_open"": 0.16363726803100578, ""sciq"": 0.1830418997802008, ""squad_v2"": 0.1088192459174849, ""triviaqa"": 0.10980038268753414, ""truthfulqa"": 0.1429197497278202}"
