arm,nested_graph_delta_vs_iu_pp,graph_ci_low_pp,graph_ci_high_pp,positive_groups,worst_group_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,increment_ci_low_pp,increment_ci_high_pp,independent_upstream_delta_vs_iu_pp,nrm_gain_recovery_fraction
iu_observed_mean,0.25147679442711046,0.02683027164530704,0.458021659470425,6,-0.2769493672833079,0.0,0.25147679442711046,0.027966611169700326,0.4590821563819597,0.0,0.9078584636357777
su_observed_mean,-0.19764996494206769,-1.1983360871713131,0.40793224982596554,6,-3.530893003007566,-0.41082283992428026,0.2131728749822126,-0.015001001782382895,0.42399706100125945,-0.41082283992428026,-0.7135377795742515
iu_all_sparse_mean,0.2624587707605201,0.052598509611829,0.45018220146832433,7,-0.30698190859624885,0.01656953533962368,0.2458892354208964,0.027255241617189327,0.44308167694899153,0.01656953533962368,0.947504587583105
su_all_sparse_mean,0.23284517851551592,-0.06002651916628171,0.4731729906588887,6,-0.5708760412495055,-0.011255247334359356,0.2441004258498753,0.026159585182361597,0.44678571343231066,-0.10586936835245422,0.8405963123303823
iu_cross_sparse_mean,0.26049578568093923,0.04518994589662216,0.45438367522397893,6,-0.2814411033001396,0.00515847112962306,0.25533731455131625,0.036509314655223064,0.4553987162103562,0.00515847112962306,0.940417998848156
su_cross_sparse_mean,-0.07715592790985654,-0.881309170846299,0.43257962440581776,6,-2.743127030209351,-0.35036726526663725,0.2732113373567807,0.07581746663299332,0.4563924587365492,-0.35036726526663725,-0.2785412559922618
iu_shared_cross_mean,0.2446608363591895,0.03104909956867241,0.4427504015566509,6,-0.25794199619348923,-0.002450900646749077,0.24711173700593858,0.026344694139299546,0.4534015768334515,-0.0011101544768138405,0.8832521168201787
su_shared_cross_mean,-0.19197885667093587,-1.1947605083526482,0.41022072667121606,6,-3.4995518498553424,-0.41403777422134724,0.22205891755041135,-0.008960848468798268,0.43564927787933555,-0.41403777422134724,-0.6930644645160139
iu_observed_geomedian,0.25240688522911,0.02633535252028357,0.4587525678701949,6,-0.28328702221115387,0.0,0.25240688522911,0.02638555548150059,0.45895188171447804,0.0,0.9112161921628519
iu_cross_sparse_geomedian,0.25553917994421693,0.04104144037904711,0.45066511635682843,6,-0.2961413302642657,0.00515847112962306,0.25038070881459384,0.025868133145084266,0.45012064485092246,0.00515847112962306,0.9225241153220827
