family,head,metric,missing,model,value
gsm8k,global,auroc,none,qwen3_4b,0.8333758937691521
gsm8k,global,auroc,entropy,qwen3_4b,0.8292900919305413
gsm8k,global,auroc,spilled,qwen3_4b,0.8328651685393258
gsm8k,global,auroc,logsumexp,qwen3_4b,0.8322267620020429
gsm8k,global,auroc,topk,qwen3_4b,0.8029877425944841
gsm8k,local,f1,none,qwen3_4b,0.3791192767570721
gsm8k,local,f1,entropy,qwen3_4b,0.38672662428283455
gsm8k,local,f1,spilled,qwen3_4b,0.40624144538735285
gsm8k,local,f1,neg_logsumexp,qwen3_4b,0.3718386876281613
gsm8k,local,f1,neg_top1,qwen3_4b,0.3791192767570721
gsm8k,local,f1,neg_margin,qwen3_4b,0.37288135593220345
gsm8k,local,f1,topk_entropy,qwen3_4b,0.4132482528106958
gsm8k,local,f1,topk_varentropy,qwen3_4b,0.3331532504952278
gsm8k,local,f1,topk_renyi2,qwen3_4b,0.3791192767570721
gsm8k,local,f1,topk_tail_mass,qwen3_4b,0.3791192767570721
gsm8k,online,auroc_64_128,none,qwen3_4b,0.7105399400508786
gsm8k,online,auroc_64_128,entropy,qwen3_4b,0.7111324243216064
gsm8k,online,auroc_64_128,spilled,qwen3_4b,0.7100721506897452
gsm8k,online,auroc_64_128,neg_logsumexp,qwen3_4b,0.7084492567657783
gsm8k,online,auroc_64_128,neg_top1,qwen3_4b,0.7119194169513814
gsm8k,online,auroc_64_128,neg_margin,qwen3_4b,0.7128919587466167
gsm8k,online,auroc_64_128,topk_entropy,qwen3_4b,0.711199251373197
gsm8k,online,auroc_64_128,topk_varentropy,qwen3_4b,0.7087714464322818
gsm8k,online,auroc_64_128,topk_renyi2,qwen3_4b,0.7121897115556055
gsm8k,online,auroc_64_128,topk_tail_mass,qwen3_4b,0.7062499368590166
math,global,auroc,none,qwen3_4b,0.7455666106340769
math,global,auroc,entropy,qwen3_4b,0.7402359426347432
math,global,auroc,spilled,qwen3_4b,0.7446731179864612
math,global,auroc,logsumexp,qwen3_4b,0.7330577135674587
math,global,auroc,topk,qwen3_4b,0.7227446882619296
math,local,f1,none,qwen3_4b,0.31769029989879083
math,local,f1,entropy,qwen3_4b,0.30366123043662174
math,local,f1,spilled,qwen3_4b,0.320709906659057
math,local,f1,neg_logsumexp,qwen3_4b,0.32152839200424554
math,local,f1,neg_top1,qwen3_4b,0.31769029989879083
math,local,f1,neg_margin,qwen3_4b,0.31821553459785945
math,local,f1,topk_entropy,qwen3_4b,0.3384656994378224
math,local,f1,topk_varentropy,qwen3_4b,0.2915851702085577
math,local,f1,topk_renyi2,qwen3_4b,0.32152839200424554
math,local,f1,topk_tail_mass,qwen3_4b,0.31769029989879083
math,online,auroc_64_128,none,qwen3_4b,0.6085992664455991
math,online,auroc_64_128,entropy,qwen3_4b,0.608153366924459
math,online,auroc_64_128,spilled,qwen3_4b,0.6081278772671316
math,online,auroc_64_128,neg_logsumexp,qwen3_4b,0.6109095138490437
math,online,auroc_64_128,neg_top1,qwen3_4b,0.6090123807227703
math,online,auroc_64_128,neg_margin,qwen3_4b,0.6099531993728938
math,online,auroc_64_128,topk_entropy,qwen3_4b,0.6081375646837935
math,online,auroc_64_128,topk_varentropy,qwen3_4b,0.6064913380061003
math,online,auroc_64_128,topk_renyi2,qwen3_4b,0.6086057179889861
math,online,auroc_64_128,topk_tail_mass,qwen3_4b,0.6051348224411347
