global,global_fusion,local,local_fusion,method,online
0.7907575834146258,dufs,0.36654613368989747,dufs,global_dufs__local_dufs,0.6583021918714029
0.7907575834146258,dufs,0.3626233914401493,ordinary,global_dufs__local_ordinary,0.6575824281674867
0.7907575834146258,dufs,0.36654613368989747,temporal,global_dufs__local_temporal,0.6578211668203
0.7907575834146258,dufs,0.36654613368989747,uniform,global_dufs__local_uniform,0.6583315204298779
0.789343570894158,ordinary,0.36725582407169666,dufs,global_ordinary__local_dufs,0.6581001107970579
0.789343570894158,ordinary,0.3613269273667927,ordinary,global_ordinary__local_ordinary,0.6570579903017254
0.789343570894158,ordinary,0.36725582407169666,temporal,global_ordinary__local_temporal,0.6578085187926401
0.789343570894158,ordinary,0.36725582407169666,uniform,global_ordinary__local_uniform,0.6581039269500704
0.7894852156829315,uniform,0.36725582407169666,dufs,global_uniform__local_dufs,0.6579448392253666
0.7894852156829315,uniform,0.3613269273667927,ordinary,global_uniform__local_ordinary,0.6570565525745072
0.7894852156829315,uniform,0.36725582407169666,temporal,global_uniform__local_temporal,0.6575335572802642
0.7894852156829315,uniform,0.36725582407169666,uniform,global_uniform__local_uniform,0.6579808445195511
