candidate,ci_high,ci_low,delta,family_deltas,family_losses,family_wins,reference,task
global_dufs__local_ordinary,0.004548410571836396,-0.001903282154162697,0.0014140125204677445,"{'gsm8k': 0.001404494382022503, 'math': 0.001423530658912986}",0,2,global_ordinary__local_ordinary,global
global_dufs__local_ordinary,0.006308648677340542,-0.0013798477565630455,0.0012964640733565957,"{'gsm8k': 0.0, 'math': 0.0025929281467131915}",0,1,global_ordinary__local_ordinary,local
global_dufs__local_ordinary,0.0022237450518030467,-0.00125845460701475,0.0005244378657613957,"{'gsm8k': 0.0008747244664006892, 'math': 0.00017415126512210222}",0,2,global_ordinary__local_ordinary,online
global_uniform__local_ordinary,0.0015155959300559958,-0.0012472084483740806,0.0001416447887734873,"{'gsm8k': -0.0003830439223697635, 'math': 0.0006663334999167381}",1,1,global_ordinary__local_ordinary,global
global_uniform__local_ordinary,0.0,0.0,0.0,"{'gsm8k': 0.0, 'math': 0.0}",0,0,global_ordinary__local_ordinary,local
global_uniform__local_ordinary,0.0007743331334422244,-0.0008395496862191279,-1.4377272182786172e-06,"{'gsm8k': -5.1895062279649906e-05, 'math': 4.901960784309267e-05}",1,1,global_ordinary__local_ordinary,online
global_ordinary__local_dufs,0.0,0.0,0.0,"{'gsm8k': 0.0, 'math': 0.0}",0,0,global_ordinary__local_ordinary,global
global_ordinary__local_dufs,0.01711555115036745,0.0,0.005928896704903902,"{'gsm8k': 0.007845484499496291, 'math': 0.004012308910311513}",0,2,global_ordinary__local_ordinary,local
global_ordinary__local_dufs,0.0022723749239459846,-7.336889714460031e-05,0.001042120495332477,"{'gsm8k': 0.0018412934659115532, 'math': 0.00024294752475340076}",0,2,global_ordinary__local_ordinary,online
global_ordinary__local_uniform,0.0,0.0,0.0,"{'gsm8k': 0.0, 'math': 0.0}",0,0,global_ordinary__local_ordinary,global
global_ordinary__local_uniform,0.01684710543172204,0.0,0.005928896704903902,"{'gsm8k': 0.007845484499496291, 'math': 0.004012308910311513}",0,2,global_ordinary__local_ordinary,local
global_ordinary__local_uniform,0.002258223725871966,-5.8587679396096524e-05,0.0010459366483449029,"{'gsm8k': 0.0018412934659115532, 'math': 0.0002505798307782525}",0,2,global_ordinary__local_ordinary,online
global_ordinary__local_temporal,0.0,0.0,0.0,"{'gsm8k': 0.0, 'math': 0.0}",0,0,global_ordinary__local_ordinary,global
global_ordinary__local_temporal,0.015916231581191098,0.0,0.005928896704903902,"{'gsm8k': 0.007845484499496291, 'math': 0.004012308910311513}",0,2,global_ordinary__local_ordinary,local
global_ordinary__local_temporal,0.0016352952396461436,1.0891265797277622e-05,0.0007505284909146148,"{'gsm8k': 0.001455263145679675, 'math': 4.579383614955468e-05}",0,2,global_ordinary__local_ordinary,online
