architecture,cells,global,label,local,online
a_one_shared__w1.00__peak,12,0.689227615341992,one shared,0.23966502390412206,0.6008556542632723
a_two_global_local__w0.50__peak,12,0.7163619075101263,two Global+Local,0.3136172928587551,0.607530837716788
a_three_independent__w0.50__peak,12,0.7163619075101263,three independent,0.3136172928587551,0.6008556542632723
