clean_abstention,exact_error,f1,family,global_fusion,local_fusion,method,model,primary,task,within_one
,,,gsm8k,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.833120531154239,global,
0.5180722891566265,0.32978723404255317,0.4030234315948602,gsm8k,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.4030234315948602,local,0.5531914893617021
,,,gsm8k,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.6982810669338111,online,
,,,gsm8k,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.833120531154239,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.7001223603997226,online,
,,,gsm8k,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.833120531154239,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.7001223603997226,online,
,,,gsm8k,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.833120531154239,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.6997363300794908,online,
,,,gsm8k,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.8327374872318692,global,
0.5180722891566265,0.32978723404255317,0.4030234315948602,gsm8k,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.4030234315948602,local,0.5531914893617021
,,,gsm8k,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.6982291718715317,online,
,,,gsm8k,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.8327374872318692,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.6997971843353569,online,
,,,gsm8k,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.8327374872318692,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.6997333436816285,online,
,,,gsm8k,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.8327374872318692,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.4108689160943565,local,0.5638297872340425
,,,gsm8k,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.6990829915528969,online,
,,,gsm8k,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.8345250255362615,global,
0.5180722891566265,0.32978723404255317,0.4030234315948602,gsm8k,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.4030234315948602,local,0.5638297872340425
,,,gsm8k,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.6991557914002118,online,
,,,gsm8k,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.8345250255362615,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.4108689160943565,local,0.574468085106383
,,,gsm8k,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.7002828920836635,online,
,,,gsm8k,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.8345250255362615,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.4108689160943565,local,0.574468085106383
,,,gsm8k,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.7002160650320729,online,
,,,gsm8k,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.8345250255362615,global,
0.5180722891566265,0.3404255319148936,0.4108689160943565,gsm8k,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.4108689160943565,local,0.574468085106383
,,,gsm8k,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.6994839538624398,online,
,,,math,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.7455666106340769,global,
0.7298578199052133,0.20462046204620463,0.31963042313872525,math,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.31963042313872525,local,0.40594059405940597
,,,math,ordinary,ordinary,global_ordinary__local_ordinary,qwen3_4b,0.6158349136696397,online,
,,,math,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.7455666106340769,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.32364273204903676,local,0.40594059405940597
,,,math,ordinary,uniform,global_ordinary__local_uniform,qwen3_4b,0.6160854935004181,online,
,,,math,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.7455666106340769,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.32364273204903676,local,0.40594059405940597
,,,math,ordinary,dufs,global_ordinary__local_dufs,qwen3_4b,0.6160778611943931,online,
,,,math,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.7455666106340769,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.32364273204903676,local,0.40924092409240925
,,,math,ordinary,temporal,global_ordinary__local_temporal,qwen3_4b,0.6158807075057894,online,
,,,math,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.7462329441339937,global,
0.7298578199052133,0.20462046204620463,0.31963042313872525,math,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.31963042313872525,local,0.40594059405940597
,,,math,uniform,ordinary,global_uniform__local_ordinary,qwen3_4b,0.6158839332774828,online,
,,,math,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.7462329441339937,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.32364273204903676,local,0.40924092409240925
