architecture,auprc,auroc,budget,cells,label,mean_eligible
a_one_shared__w1.00__peak,0.5666744121186176,0.5626484773838829,16,12,one shared,429.25
a_one_shared__w1.00__peak,0.5684968202673972,0.5630367286041013,32,12,one shared,429.25
a_one_shared__w1.00__peak,0.5901730253005228,0.5841256844544421,64,12,one shared,428.5833333333333
a_one_shared__w1.00__peak,0.6123532572212713,0.6175856240721024,128,12,one shared,422.3333333333333
a_one_shared__w1.00__peak,0.6736758367543749,0.6650918818366877,256,12,one shared,374.0833333333333
a_one_shared__w1.00__peak,nan,nan,512,12,one shared,249.75
a_two_global_local__w0.50__peak,0.5566541650908052,0.5463557381541023,16,12,two Global+Local,429.25
a_two_global_local__w0.50__peak,0.5659268416132923,0.561274995528136,32,12,two Global+Local,429.25
a_two_global_local__w0.50__peak,0.5949537426459378,0.5946839345771452,64,12,two Global+Local,428.5833333333333
a_two_global_local__w0.50__peak,0.6148324004885944,0.6203777408564308,128,12,two Global+Local,422.3333333333333
a_two_global_local__w0.50__peak,0.6759258880345419,0.6630556249780813,256,12,two Global+Local,374.0833333333333
a_two_global_local__w0.50__peak,nan,nan,512,12,two Global+Local,249.75
a_three_independent__w0.50__peak,0.5666744121186176,0.5626484773838829,16,12,three independent,429.25
a_three_independent__w0.50__peak,0.5684968202673972,0.5630367286041013,32,12,three independent,429.25
a_three_independent__w0.50__peak,0.5901730253005228,0.5841256844544421,64,12,three independent,428.5833333333333
a_three_independent__w0.50__peak,0.6123532572212713,0.6175856240721024,128,12,three independent,422.3333333333333
a_three_independent__w0.50__peak,0.6736758367543749,0.6650918818366877,256,12,three independent,374.0833333333333
a_three_independent__w0.50__peak,nan,nan,512,12,three independent,249.75
