family,fit_python_peak_bytes,fit_seconds,model,n_calibration,n_evaluation,score_all_three_outputs_seconds,score_python_peak_bytes
gsm8k,0,14.827239000005648,qwen3_4b,223,177,9.310349000035785,-1
math,0,58.080200875061564,qwen3_4b,486,514,40.29258820798714,-1
olympiadbench,0,89.36149545805529,qwen3_4b,491,509,56.781086417031474,-1
omnimath,0,85.83419637510087,qwen3_4b,483,517,55.853018791996874,-1
gsm8k,0,14.622298749978654,qwen3_8b,223,177,9.454156209016219,-1
math,0,57.181347624980845,qwen3_8b,486,514,39.87387804198079,-1
olympiadbench,0,89.28765241603833,qwen3_8b,491,509,56.31643633299973,-1
omnimath,0,85.30299979099073,qwen3_8b,483,517,55.46093754202593,-1
gsm8k,0,13.60089333401993,llama31_8b,223,177,8.798318500048481,-1
math,0,55.10945329198148,llama31_8b,486,514,38.36538195796311,-1
olympiadbench,0,86.08852104097605,llama31_8b,491,509,55.193164541968144,-1
omnimath,0,82.04051091696601,llama31_8b,483,517,54.027603375026956,-1
