architecture,base_architecture,global,local,locator,online,weight
a_one_shared__w1.00__peak,a_one_shared,0.689227615341992,0.23966502390412206,peak,0.6008556542632723,1.0
a_one_shared__w1.00__persistent_onset,a_one_shared,0.7431478974506618,0.3064359951547302,persistent_onset,0.6595696032482389,1.0
a_three_independent__w0.00__peak,a_three_independent,0.7894712522016145,0.3484047883279314,peak,0.6595696032482389,0.0
a_three_independent__w0.00__persistent_onset,a_three_independent,0.7894712522016145,0.3454086563230526,persistent_onset,0.6595696032482389,0.0
a_three_independent__w0.25__peak,a_three_independent,0.7894712522016145,0.34759407694545497,peak,0.6595696032482389,0.25
a_three_independent__w0.25__persistent_onset,a_three_independent,0.7894712522016145,0.3386030267427468,persistent_onset,0.6595696032482389,0.25
a_three_independent__w0.50__peak,a_three_independent,0.7163619075101263,0.3136172928587551,peak,0.6008556542632723,0.5
a_three_independent__w0.50__persistent_onset,a_three_independent,0.7894712522016145,0.3589091389550138,persistent_onset,0.6595696032482389,0.5
a_three_independent__w0.75__peak,a_three_independent,0.7894712522016145,0.3502890732094651,peak,0.6595696032482389,0.75
a_three_independent__w0.75__persistent_onset,a_three_independent,0.7894712522016145,0.3514274757935668,persistent_onset,0.6595696032482389,0.75
a_three_independent__w1.00__peak,a_three_independent,0.7894712522016145,0.3592741936517219,peak,0.6595696032482389,1.0
a_three_independent__w1.00__persistent_onset,a_three_independent,0.7894712522016145,0.3548230083251477,persistent_onset,0.6595696032482389,1.0
a_two_global_local__w0.00__peak,a_two_global_local,0.7894712522016145,0.3484047883279314,peak,0.6247739460244577,0.0
a_two_global_local__w0.00__persistent_onset,a_two_global_local,0.7894712522016145,0.3454086563230526,persistent_onset,0.6247739460244577,0.0
a_two_global_local__w0.25__peak,a_two_global_local,0.7894712522016145,0.34759407694545497,peak,0.6442933568275496,0.25
a_two_global_local__w0.25__persistent_onset,a_two_global_local,0.7894712522016145,0.3386030267427468,persistent_onset,0.6442933568275496,0.25
a_two_global_local__w0.50__peak,a_two_global_local,0.7163619075101263,0.3136172928587551,peak,0.607530837716788,0.5
a_two_global_local__w0.50__persistent_onset,a_two_global_local,0.7894712522016145,0.3589091389550138,persistent_onset,0.6571274091217051,0.5
a_two_global_local__w0.75__peak,a_two_global_local,0.7894712522016145,0.3502890732094651,peak,0.6674558461641247,0.75
a_two_global_local__w0.75__persistent_onset,a_two_global_local,0.7894712522016145,0.3514274757935668,persistent_onset,0.6674558461641247,0.75
a_two_global_local__w1.00__peak,a_two_global_local,0.7894712522016145,0.3592741936517219,peak,0.6688641839969297,1.0
a_two_global_local__w1.00__persistent_onset,a_two_global_local,0.7894712522016145,0.3548230083251477,persistent_onset,0.6688641839969297,1.0
