table,comparison,a,b,primary,ci_level,pb_delta,pb_ci_lo,pb_ci_hi,prm_within_delta_common,prm_within_ci_lo,prm_within_ci_hi,common_prm_answers,prm_pooled_delta,prmscore_delta,gained,lost
bank,B2_sel__iu_minus_B2d_sel__iu,B2_sel__iu,B2d_sel__iu,True,0.975,-0.007985335151048878,-0.013145856266484205,-0.003039594351914071,-0.006611523508514565,-0.00891823591780759,-0.004349531381139063,6030,-0.001618845863479268,-0.0020573942580912608,26,60
bank,B2_sel__equal_identity_minus_B2d_sel__equal_identity,B2_sel__equal_identity,B2d_sel__equal_identity,False,0.95,0.012720192882227865,-0.003549220883870597,0.02922736650716347,-0.008038923239204097,-0.01371240033738862,-0.002355910655141744,6030,0.01459237077175568,0.013325293457699394,563,476
bank,B2_sel__equal_oriented_minus_B2d_sel__equal_oriented,B2_sel__equal_oriented,B2d_sel__equal_oriented,False,0.95,-0.003534267430488902,-0.007001407770855328,-0.00019252444644724266,-0.005253299608524101,-0.006912516506155056,-0.0036377298774551187,6030,0.0009067179577482154,-0.000623071520534979,18,33
bank,B2_sel__shrink_minus_B2d_sel__shrink,B2_sel__shrink,B2d_sel__shrink,False,0.95,-0.0060189420971308305,-0.0104919770798628,-0.0017125681324761804,-0.003961989134155868,-0.00622251765153665,-0.0017690012288773744,6030,-0.001863262378307251,-0.0011026619916015834,35,58
bank,B2__iu_minus_B2d__iu,B2__iu,B2d__iu,False,0.95,-0.007625521853637018,-0.012091580158932256,-0.0032711951149318507,-0.006191328722639599,-0.008176252342660398,-0.004287780934102238,6030,-0.0013617672494566913,-0.0015337995362207923,27,59
bank,B2_sel__iu_minus_B2__iu,B2_sel__iu,B2__iu,False,0.95,-0.0002121140054222037,-0.000701730243976749,0.0,-7.008987503924678e-05,-0.00029563235830193325,0.00014892981100958006,6030,0.00014399185326074981,0.0,0,1
bank,B2d_sel__iu_minus_B2d__iu,B2d_sel__iu,B2d__iu,False,0.95,0.0001476992919896558,-0.00037331586942001004,0.000731193485846507,0.00035010491083572006,-8.320771507845462e-05,0.0008058153829527401,6030,0.0004010704672833265,0.0005235947218704684,2,1
bank,B2_sel__iu_minus_B1_hist__iu,B2_sel__iu,B1_hist__iu,False,0.95,-0.013988169676424855,-0.024671204263880406,-0.0034036848890872154,-0.0198543756824646,-0.023721483287079695,-0.016097933839865162,6030,-0.01178728419098607,-0.007070140637819189,270,339
bank,B2d_sel__iu_minus_B1_hist__iu,B2d_sel__iu,B1_hist__iu,False,0.95,-0.006002834525375977,-0.015570433944690456,0.0037538569131102704,-0.01324285217395003,-0.016090949924723638,-0.010379339520871245,6030,-0.010168438327506801,-0.005012746379727928,259,294
architecture,B2_sel__shrink_minus_B2_sel__iu,B2_sel__shrink,B2_sel__iu,False,0.95,0.0010524406910973894,-0.0005474500406963276,0.0027609095606111384,0.00043018942668399796,-0.0005292495320475839,0.0013999355270429518,6030,0.0011054486428699883,0.0008916014648745474,12,6
architecture,B2d_sel__shrink_minus_B2d_sel__iu,B2d_sel__shrink,B2d_sel__iu,False,0.95,-0.0009139523628206581,-0.002386575655302617,0.0005387856284892686,-0.0022193449476746994,-0.0031648929350326913,-0.0013139002179177537,6030,0.0013498651576979714,-6.313080161512996e-05,7,12
architecture,B2_sel__iu_minus_B2_sel__equal_identity,B2_sel__iu,B2_sel__equal_identity,False,0.95,-0.001240180281860237,-0.003964770851783132,0.0014192075076931083,0.0028793511935317714,0.0018893057610247152,0.0038806284233673665,6030,0.000726223697965267,4.415225144260848e-05,18,23
architecture,B2d_sel__iu_minus_B2d_sel__equal_identity,B2d_sel__iu,B2d_sel__equal_identity,False,0.95,0.019465347751416506,0.003692956884369708,0.035486108642344694,0.0014519514628422384,-0.0033323734401489473,0.006297610635488527,6030,0.016937440333200215,0.015426839967233263,559,443
reference,B1_hist__raw_minus_entropy,B1_hist__raw,entropy,False,0.95,0.005166106482712873,-0.007452808918201989,0.017661391257440782,0.0076749412891547455,0.0035155702759721657,0.011780430057366023,6030,0.007473842284566712,0.00035568926429485614,401,381
reference,B1_hist__equal_minus_entropy,B1_hist__equal,entropy,False,0.95,0.0015366700113940701,-0.009845738648758508,0.012716557321317674,0.016868989178422434,0.013292072793408383,0.02049628815116696,6030,-0.0026760373181515806,-0.012613716508210193,337,331
reference,B1_hist__iu_minus_entropy,B1_hist__iu,entropy,False,0.95,-0.0009454079190883702,-0.011990958002446197,0.009960965728055703,0.01671238294360144,0.013385659062599076,0.02004516825029138,6030,0.0075973688264837635,-0.0027369482809739276,309,313
reference,B2d_sel__equal_identity_minus_entropy,B2d_sel__equal_identity,entropy,False,0.95,-0.026413590195880854,-0.042176963891482275,-0.011010466230647598,0.0020175793068091708,-0.0023768031702092675,0.006422230936361354,6030,-0.019508509834223253,-0.02317653462793512,420,575
reference,B2d_sel__equal_oriented_minus_entropy,B2d_sel__equal_oriented,entropy,False,0.95,-0.00713538177095252,-0.015004761480523758,0.0008408479152877682,0.00424676494074073,0.0014529575058889724,0.007068786317452063,6030,-0.0032146466125962947,-0.006981516261529763,122,165
