method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_within_n,PRMB_pooled_AUC,PRMScore,PRMScore_conditional,valid_answers,pb_invalid,fit_seconds
Top-15 varentropy / Original sum (Step 339 bank),B1_hist__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,6030,0.710137783099181,0.6257812284738609,0.6257812284738609,13769,0,0.5636560047278181
Top-15 contributions / equal weights (Step 339 bank),B1_hist__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,6030,0.6999879034964627,0.6128118227013558,0.6128118227013558,13769,0,7.453476499766111
Top-15 contributions / IU-PCR (Step 339 bank),B1_hist__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,6030,0.710261309641098,0.6226885909285921,0.6226885909285921,13769,0,118.03114689933136
"D+Pii+selected (33) / identity-sign equal weights, anchor-oriented",B2d_sel__equal_identity,32.80301762254606,34.330864826188154,31.275170418903954,0.7321289404192478,6030,0.683155430980391,0.6022490045816309,0.6022490045816309,13769,0,8.098750699020457
D+Pii+selected (33) / anchor-sign equal weights,B2d_sel__equal_oriented,34.73083846503889,35.42338927487852,34.038287655199255,0.7343581260531795,6030,0.699449294202018,0.6184440229480362,0.6184440229480362,13769,0,11.190972101234365
D+Pii+selected (33) / IU-PCR,B2d_sel__iu,34.74955239768771,35.453464439379005,34.04564035599643,0.7335808918820901,6030,0.7000928713135912,0.6176758445488642,0.6176758445488642,13769,0,128.48389179544756
D+Pii+selected (33) / joint-target shrinkage IU,B2d_sel__shrink,34.65815716140565,35.37396698881181,33.942347333999464,0.7313615469344154,6030,0.7014427364712892,0.617612713747249,0.617612713747249,13769,0,135.2584539941745
"D+Pii+Pij+selected (138) / identity-sign equal weights, anchor-oriented",B2_sel__equal_identity,34.075036910768844,35.12272089022295,33.02735293131474,0.7240900171800436,6030,0.6977478017521467,0.6155742980393303,0.6155742980393303,13769,0,8.883975190634374
D+Pii+Pij+selected (138) / anchor-sign equal weights,B2_sel__equal_oriented,34.37741172199,35.12974106086135,33.62508238311867,0.7291048264446554,6030,0.7003560121597662,0.6178209514275013,0.6178209514275013,13769,0,20.160607706173323
D+Pii+Pij+selected (138) / IU-PCR,B2_sel__iu,33.95101888258282,34.82121698561067,33.080820779554976,0.7269693683735756,6030,0.698474025450112,0.6156184502907729,0.6156184502907729,13769,0,169.20451229799073
D+Pii+Pij+selected (138) / joint-target shrinkage IU,B2_sel__shrink,34.05626295169256,34.93028623863678,33.182239664748344,0.7273995578002596,6030,0.6995794740929819,0.6165100517556474,0.6165100517556474,13769,0,206.8954239008017
"D+Pii (30) / identity-sign equal weights, anchor-oriented",B2d__equal_identity,36.05929481367002,36.758790993908555,35.35979863343149,0.7464107571911358,6030,0.6988133232636289,0.6137641930574512,0.6137641930574512,13769,0,7.78886450373102
D+Pii (30) / anchor-sign equal weights,B2d__equal_oriented,34.68849332707817,35.40717432173262,33.969812332423714,0.7340506360622215,6030,0.7001412880095224,0.6179936941711581,0.6179936941711581,13769,0,11.03819120163098
D+Pii (30) / IU-PCR,B2d__iu,34.734782468488746,35.4243266390523,34.04523829792518,0.7332307869712543,6030,0.6996918008463079,0.6171522498269937,0.6171522498269937,13769,0,124.02110099897254
D+Pii (30) / joint-target shrinkage IU,B2d__shrink,34.59378102236611,35.25225100606806,33.93531103866417,0.7326807268197407,6030,0.699201539753297,0.6177153605336353,0.6177153605336353,13769,0,130.14810499950545
"D+Pii+Pij (135) / identity-sign equal weights, anchor-oriented",B2__equal_identity,34.06885145531051,35.043242674410095,33.09446023621092,0.7242903492227735,6030,0.6977470046826197,0.6157959471962053,0.6157959471962053,13769,0,8.88077540055383
D+Pii+Pij (135) / anchor-sign equal weights,B2__equal_oriented,34.359969381319964,35.12974106086135,33.59019770177859,0.7287780105042608,6030,0.70047058328073,0.6179518390890245,0.6179518390890245,13769,0,19.9126731014112
D+Pii+Pij (135) / IU-PCR,B2__iu,33.97223028312504,34.86363978669511,33.080820779554976,0.7270394582486147,6030,0.6983300335968512,0.6156184502907729,0.6156184502907729,13769,0,167.93941739737056
D+Pii+Pij (135) / joint-target shrinkage IU,B2__shrink,34.04728308017708,34.911647302946996,33.182918857407174,0.7269216284121418,6030,0.6990353317567476,0.6162382537552444,0.6162382537552444,13769,0,204.63196109997807
Frozen Step 339 k15 raw,ref__k15__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,6030,0.710137783099181,0.6257812284738609,0.6257812284738609,13769,0,
Frozen Step 339 k15 equal,ref__k15__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,6030,0.6999879034964627,0.6128118227013558,0.6128118227013558,13769,0,
Frozen Step 339 k15 IU,ref__k15__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,6030,0.710261309641098,0.6226885909285921,0.6226885909285921,13769,0,
Frozen Step 339 k50 raw,ref__k50__raw,35.67552412698325,36.08075114834269,35.27029710562382,0.742464548435578,6030,0.7157833866814454,0.6327768738968429,0.6327768738968429,13769,0,
Token entropy reference,entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,6030,0.7026639408146143,0.625425539209566,0.625425539209566,13769,0,
Direct probability IU-PCR (17 inputs),direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,6030,0.7038074104714571,0.6205441220076804,0.6205441220076804,13769,0,
Direct probability + change IU-PCR (34 inputs),delta_iu,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,6030,0.7069415197528663,0.623944861874893,0.623944861874893,13769,0,
