partition,world_seed,lambda,oracle_delta_vs_iu_pp,uniform_delta_vs_iu_pp,oracle_score_spearman_vs_iu,projected_roughness_orientation_change,oracle_target_energy,agreement_Y_target_energy,agreement_alpha_target_energy,dufs_effective_feature_count
calibration,5000,0.3,0.842028507439363,0.27951874164481305,0.9976835836961097,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5000,1.0,1.6146113647806382,0.6076494383583042,0.9908547780155295,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5000,3.0,2.0712165141756,0.89064046250803,0.9821075612307345,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5000,10.0,2.3177485720238145,1.0486293164811866,0.9754142813119848,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5000,30.0,2.4062917758988944,1.1111304015694712,0.97296125417211,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5000,100.0,2.421917047170963,1.1250195315890887,0.9719782854960307,0.12622255019084117,0.015354864141920981,0.6350333627923362,0.32875928643665625,7.6964760055103225
calibration,5001,0.3,0.4879234602628957,0.19794759597855371,0.9977823254441207,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5001,1.0,1.0435658349394972,0.3889496622736188,0.9914760914760913,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5001,3.0,1.4411974093174407,0.5295966383636386,0.9834190903606351,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5001,10.0,1.6078901217204233,0.6494070254032924,0.9776689568965141,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5001,30.0,1.647826917400308,0.7014984980292072,0.9754877408322083,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5001,100.0,1.6756090361341291,0.7344897640256476,0.9742952443369979,0.12764828768375666,0.02927634539193657,0.838038404076597,0.3858164546269498,7.809347021276131
calibration,5002,0.3,0.8466767502912087,0.39465220188111827,0.9971919365969469,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
calibration,5002,1.0,1.6064257028112428,0.7475790608320709,0.9884006658015007,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
calibration,5002,3.0,2.195796171699782,1.0900745840504933,0.9765486178325424,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
calibration,5002,10.0,2.606095377179707,1.2326361723952073,0.9682116675853626,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
calibration,5002,30.0,2.6808532832629295,1.2952241867904446,0.9649840060069703,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
calibration,5002,100.0,2.69128461899546,1.3247796380326582,0.963798128464099,0.1464938748534615,0.016337904087236003,0.747480537139878,0.2872596992388214,7.614222609571024
heldout,6000,0.3,0.7871279386978625,0.387482406908668,0.9975771379216055,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6000,1.0,1.3952841827248874,0.7210995464892012,0.9915379407028675,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6000,3.0,1.9304616774686867,0.8809577592048812,0.9841969800216145,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6000,10.0,2.1268092648259906,1.016489722159486,0.979146502371972,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6000,30.0,2.2241142638703026,1.077305346562174,0.9771111202739593,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6000,100.0,2.257128459974622,1.0894684714427116,0.9762006345513651,0.15669744642034056,0.014734508618582033,0.9401425227775542,0.33997664889100737,7.678189436065005
heldout,6001,0.3,0.794078295772449,0.32840437177459325,0.9978555679495136,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6001,1.0,1.3622699866205679,0.7350002606383854,0.9916301720059547,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6001,3.0,1.9200361418567846,0.9973762402043285,0.983614837738011,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6001,10.0,2.133759621900577,1.1120571319351624,0.9776308707937098,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6001,30.0,2.1876248892286676,1.1450713280394709,0.9754184045937699,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6001,100.0,2.2206390853330094,1.1815607026810948,0.9744696157535404,0.12224519554888379,0.013823551429020427,0.7874883066828928,0.33831717106349735,7.668582832578474
heldout,6002,0.3,0.5435161312800418,0.2351752491115522,0.9981448487189614,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
