partition,world_seed,arm,lambda,auroc,delta_vs_iu_pp,score_spearman_vs_iu
calibration,5000,iu,0.0,0.7335891248111946,0.0,1.0
calibration,5000,deployed_upcr,0.0,0.6970259900345492,-3.656313477664541,0.9180978433066115
calibration,5000,raw_uniform,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,specrage_plain_Y,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,specrage_agreement_Y,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,specrage_agreement_alpha,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,specrage_uniform_Y,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,dufs_liu,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,oracle_target,0.0,0.7335891248111946,0.0,0.9999999999999998
calibration,5000,iu,0.1,0.7335891248111946,0.0,1.0
calibration,5000,deployed_upcr,0.1,0.6970259900345492,-3.656313477664541,0.9180978433066115
calibration,5000,raw_uniform,0.1,0.7346481709751905,0.10590461639958804,0.9999245873462991
calibration,5000,specrage_plain_Y,0.1,0.7359676383270541,0.23785135158594928,0.9997274293725233
calibration,5000,specrage_agreement_Y,0.1,0.7340057987117832,0.04166739005885267,0.9999866535879062
calibration,5000,specrage_agreement_alpha,0.1,0.735828747026858,0.22396222156633172,0.9997592220452345
calibration,5000,specrage_uniform_Y,0.1,0.7355856872515147,0.19965624403200932,0.9998029505336394
calibration,5000,dufs_liu,0.1,0.7329641139603118,-0.06250108508828456,0.9999771049353512
calibration,5000,oracle_target,0.1,0.7368357089532804,0.32465841420857844,0.9995659703384129
calibration,5000,iu,0.3,0.7335891248111946,0.0,1.0
calibration,5000,deployed_upcr,0.3,0.6970259900345492,-3.656313477664541,0.9180978433066115
calibration,5000,raw_uniform,0.3,0.7363843122276428,0.27951874164481305,0.9996664482050703
calibration,5000,specrage_plain_Y,0.3,0.7399434017951698,0.6354276983975171,0.9985654234610393
calibration,5000,specrage_agreement_Y,0.3,0.7342835813121755,0.06944565009808779,0.9999509546482406
calibration,5000,specrage_agreement_alpha,0.3,0.7393531137693362,0.5763988958141564,0.9987664877017695
calibration,5000,specrage_uniform_Y,0.3,0.7387628257435024,0.5173700932307734,0.9989869747698555
calibration,5000,dufs_liu,0.3,0.7321481275716593,-0.1440997239535391,0.9998972434776192
calibration,5000,oracle_target,0.3,0.7420094098855883,0.842028507439363,0.9976835836961097
calibration,5000,iu,1.0,0.7335891248111946,0.0,1.0
calibration,5000,deployed_upcr,1.0,0.6970259900345492,-3.656313477664541,0.9180978433066115
calibration,5000,raw_uniform,1.0,0.7396656191947777,0.6076494383583042,0.9986920516148073
calibration,5000,specrage_plain_Y,1.0,0.7466275456171114,1.3038420805916773,0.9940055078364055
calibration,5000,specrage_agreement_Y,1.0,0.7351342905258771,0.15451657146824394,0.9998492832000136
