partition,method,arm,lambda,n,mean_auroc,mean_delta_vs_iu_pp,std_delta_vs_iu_pp,wins_vs_iu
calibration,IU-PCR,iu,0.0,3,0.7199632220702229,0.0,0.0,0
calibration,Deployed U-PCR,deployed_upcr,0.0,3,0.6953911688140536,-2.457205325616933,1.14214132733763,0
calibration,DUFS-LIU,dufs_liu,0.1,3,0.7197027429314965,-0.02604791387265104,0.03186746416962129,0
calibration,Raw-uniform LIU,raw_uniform,10.0,3,0.7297321304511554,0.9768908380932287,0.29815912938612793,3
calibration,Uniform SpecRaGE-Y LIU,specrage_uniform_Y,10.0,3,0.7333506649399805,1.3387442869757535,0.5511957661576251,3
calibration,Chosen SpecRaGE-derived LIU,specrage_agreement_alpha,10.0,3,0.7369524550865374,1.6989233016314422,0.3785878093858747,3
calibration,Oracle target graph,oracle_target,10.0,3,0.7417356689733028,2.1772446903079814,0.5137211681345688,3
heldout,IU-PCR,iu,0.0,4,0.7262416333220133,0.0,0.0,0
heldout,Deployed U-PCR,deployed_upcr,0.0,4,0.7077501807055921,-1.8491452616421213,1.9935271687394611,1
heldout,DUFS-LIU,dufs_liu,0.1,4,0.7259540408959725,-0.028759242604084467,0.0843363684174316,3
heldout,Raw-uniform LIU,raw_uniform,10.0,4,0.734223575832743,0.7981942510729589,0.3506132749082204,4
heldout,Uniform SpecRaGE-Y LIU,specrage_uniform_Y,10.0,4,0.7392406995146775,1.2999066192664168,0.4530529360056556,4
heldout,Chosen SpecRaGE-derived LIU,specrage_agreement_alpha,10.0,4,0.7410853826860269,1.4843749364013505,0.44844102187803553,4
heldout,Oracle target graph,oracle_target,10.0,4,0.7431328512983342,1.6891217976320787,0.5832038130083387,4
