version,cell,group,representation,prior_strength,n_splits,n_coordinates,mean_iu_auroc,mean_head_auroc,mean_delta_pp
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,atomic,0.3,30,30,0.7612844579739557,0.7737485202097074,1.24640622357517
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,atomic,1.0,30,30,0.7612844579739557,0.7722179942499577,1.0933536276002005
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,atomic,3.0,30,30,0.7612844579739557,0.7672881785895486,0.6003720615592734
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,atomic,10.0,30,30,0.7612844579739557,0.7638085574158634,0.25240994419076346
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,family,0.3,30,6,0.7612844579739557,0.7734990698461018,1.2214611872146097
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,family,1.0,30,6,0.7612844579739557,0.7676560121765601,0.637155420260439
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,family,3.0,30,6,0.7612844579739557,0.7640199560290883,0.27354980551327274
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,family,10.0,30,6,0.7612844579739557,0.762392186707255,0.11077287332994623
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,atomic,0.3,30,28,0.7501685850482501,0.7480670852226485,-0.21014998256016826
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,atomic,1.0,30,28,0.7501685850482501,0.7519416346936403,0.17730496453900493
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,atomic,3.0,30,28,0.7501685850482501,0.7531275433089177,0.2958958260667377
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,atomic,10.0,30,28,0.7501685850482501,0.7519445413324032,0.17759562841530166
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,family,0.3,30,6,0.7501685850482501,0.7519241948610628,0.17556098128124495
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,family,1.0,30,6,0.7501685850482501,0.7524706429484944,0.23020579002441696
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,family,3.0,30,6,0.7501685850482501,0.7513922799674456,0.12236949191954467
atomic-contribution-supervised-ceiling-v1-2026-08-13,epr_triviaqa_mistral24b,triviaqa,family,10.0,30,6,0.7501685850482501,0.7505580746424835,0.0389489594233224
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,atomic,0.3,30,29,0.7139880594622753,0.7521136354529789,3.8125575990704
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,atomic,1.0,30,29,0.7139880594622753,0.7394879192210605,2.54998597587851
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,atomic,3.0,30,29,0.7139880594622753,0.726998437312177,1.3010377849901817
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,atomic,10.0,30,29,0.7139880594622753,0.7190046880634693,0.5016628601194054
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,family,0.3,30,6,0.7139880594622753,0.7332051127940056,1.9217053331730554
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,family,1.0,30,6,0.7139880594622753,0.7245502263893897,1.0562166927114613
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,family,3.0,30,6,0.7139880594622753,0.7189806467123454,0.49925872500701163
atomic-contribution-supervised-ceiling-v1-2026-08-13,internalstates_gsm8k_qwen25_7b,gsm8k,family,10.0,30,6,0.7139880594622753,0.7157310574187602,0.17429979564851594
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,atomic,0.3,30,30,0.6953104349720426,0.7444078135211677,4.909737854912499
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,atomic,1.0,30,30,0.6953104349720426,0.7283828334906688,3.307239851862611
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,atomic,3.0,30,30,0.6953104349720426,0.7127606322465084,1.745019727446568
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,atomic,10.0,30,30,0.6953104349720426,0.7019775857478276,0.6667150775784888
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,family,0.3,30,6,0.6953104349720426,0.7189402851402705,2.362985016822795
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,family,1.0,30,6,0.6953104349720426,0.7072170987340546,1.1906663762011964
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,family,3.0,30,6,0.6953104349720426,0.7001152179701304,0.48047829980877976
