version,cell,group,seed,representation,prior_strength,n_coordinates,n_training,n_evaluation,iu_auroc,head_auroc,delta_norm,class_balanced
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,family,0.3,6,300,200,0.784627092846271,0.8012430238457635,0.1910907161038189,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,family,1.0,6,300,200,0.784627092846271,0.7928716387620498,0.08176493260740192,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,family,3.0,6,300,200,0.784627092846271,0.7889396245560628,0.03146589492609207,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,family,10.0,6,300,200,0.784627092846271,0.7858954845256214,0.010021096346241059,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,atomic,0.3,30,300,200,0.784627092846271,0.8168442415017757,0.26186370196625725,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,atomic,1.0,30,300,200,0.784627092846271,0.8073313039066463,0.12069707072255285,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,atomic,3.0,30,300,200,0.784627092846271,0.7966768138001015,0.049618941475164165,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,0,atomic,10.0,30,300,200,0.784627092846271,0.7885591070522577,0.016432858165085044,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,family,0.3,6,300,200,0.7508878741755454,0.7576103500761036,0.2260884126478831,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,family,1.0,6,300,200,0.7508878741755454,0.7545662100456622,0.09865097378800425,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,family,3.0,6,300,200,0.7508878741755454,0.7520294266869609,0.03924001957706756,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,family,10.0,6,300,200,0.7508878741755454,0.7519025875190258,0.012763213588791749,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,atomic,0.3,30,300,200,0.7508878741755454,0.7706747843734145,0.2992729125078496,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,atomic,1.0,30,300,200,0.7508878741755454,0.7612886859462202,0.14125404007391437,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,atomic,3.0,30,300,200,0.7508878741755454,0.7563419583967528,0.059865737833772754,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,1,atomic,10.0,30,300,200,0.7508878741755454,0.7527904616945713,0.02050152650905515,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,family,0.3,6,300,200,0.7484779299847794,0.7715626585489599,0.2065729747210892,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,family,1.0,6,300,200,0.7484779299847794,0.76103500761035,0.08627809948969535,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,family,3.0,6,300,200,0.7484779299847794,0.7544393708777271,0.033010192549804786,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,family,10.0,6,300,200,0.7484779299847794,0.7508878741755454,0.010501612118874104,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,atomic,0.3,30,300,200,0.7484779299847794,0.7852612886859462,0.2769806225360673,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,atomic,1.0,30,300,200,0.7484779299847794,0.7699137493658041,0.13547104795340456,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,atomic,3.0,30,300,200,0.7484779299847794,0.76052765093861,0.057342821328185516,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,2,atomic,10.0,30,300,200,0.7484779299847794,0.7539320142059868,0.01917908889589772,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,3,family,0.3,6,300,200,0.7417554540842213,0.7680111618467783,0.14607904403865124,True
atomic-contribution-supervised-ceiling-v1-2026-08-13,ars_gsm8k_r1distill8b,gsm8k,3,family,1.0,6,300,200,0.7417554540842213,0.7497463216641299,0.06029769234956758,True
