world,method,baseline,auc,delta,ci95,wins,worst
informative,equal,static_full,0.8496376083220583,-2.1108383976731206e-06,"[-0.0002562200540156336, 0.0002568128445933269]",10,-0.001332340608958038
informative,static_full,static_full,0.8496397191604558,0.0,"[0.0, 0.0]",0,0.0
informative,static_group,static_group,0.8498120361938042,0.0,"[0.0, 0.0]",0,0.0
informative,static_minvar,static_full,0.8496325003726521,-7.218787803636717e-06,"[-0.000367784053752489, 0.000331930233343786]",11,-0.0016019536019534764
informative,static_vertex,static_full,0.8222568223621819,-0.027382896798273985,"[-0.031432403440910715, -0.023142896568860857]",0,-0.04461517327995601
informative,population_static_full,static_full,0.8496997000656453,5.998090518942734e-05,"[-0.0001470323375219322, 0.00026726021505609225]",11,-0.001107018300090079
informative,population_context_full,population_static_full,0.8777675280887621,0.02806782802311687,"[0.02693148180573614, 0.02925447559511926]",20,0.024384282208468888
informative,population_static_group,static_group,0.8497055740844448,-0.00010646210935941203,"[-0.00027750490042950253, 4.464103369202679e-05]",9,-0.001074313172056085
informative,population_context_group,population_static_group,0.8777782616849915,0.028072687600546577,"[0.026971973770442803, 0.029221933434020138]",20,0.024042080974589153
informative,population_static_minvar,static_full,0.8496376083220583,-2.1108383976731206e-06,"[-0.0002562200540156336, 0.0002568128445933269]",10,-0.001332340608958038
informative,population_context_minvar,population_static_minvar,0.8352645225019506,-0.014373085820107361,"[-0.014977846152000185, -0.013770550405747116]",0,-0.016668132211702935
informative,population_static_vertex,static_full,0.8214526887180174,-0.02818703044243841,"[-0.03338103134519065, -0.023013546464933202]",0,-0.0485079365079365
informative,population_context_vertex,population_static_vertex,0.9122539085571632,0.09080121983914569,"[0.08521942113277794, 0.09661141020931759]",20,0.0721666666666666
informative,oracle_rho_context,oracle_rho_static,0.911705989969466,0.06206838164740776,"[0.059652881784116964, 0.06464097862395396]",20,0.05316829456682226
informative,oracle_rho_static,static_full,0.8496376083220583,-2.1108383976731206e-06,"[-0.0002562200540156336, 0.0002568128445933269]",10,-0.001332340608958038
informative,population_native_static,static_full,0.8473363707279644,-0.002303348432491514,"[-0.0034743241856813136, -0.0011721829266594832]",5,-0.007172413793103516
informative,population_native_context,population_native_static,0.9734251933788295,0.12608882265086513,"[0.12084982082362336, 0.1316077575676649]",20,0.10299279421973229
informative,oracle_full,static_full,0.8793747682876525,0.02973504912719662,"[0.027142965785583256, 0.03238173808953649]",20,0.01875660443818239
informative,oracle_group,static_group,0.8782323188833173,0.028420282689512983,"[0.02600033388733055, 0.03092656784290651]",20,0.018981644554029287
informative,dsp_full,static_full,0.8795224431599772,0.0298827239995214,"[0.027431583338376784, 0.032176342932731]",20,0.014808302808302809
informative,dsp_group,static_group,0.8781722145093322,0.028360178315527756,"[0.026064369383480647, 0.030567295871706462]",20,0.014730158730158927
informative,random_full,static_full,0.8495825896963008,-5.712946415492026e-05,"[-0.0001713883924647608, 0.0]",0,-0.0011425892830984052
informative,random_group,static_group,0.8498047119035279,-7.324290276278234e-06,"[-2.19728708288347e-05, 0.0]",0,-0.00014648580552556467
informative,linear_full,static_full,0.8496216405547757,-1.8078605680099667e-05,"[-9.965706246155559e-05, 4.5421245421256584e-05]",1,-0.0006643804164103706
informative,linear_group,static_group,0.8498227811190727,1.0744925268479921e-05,"[0.0, 3.174626079337495e-05]",2,0.0
informative,history_square_only_full,static_full,0.8495913675121042,-4.835164835164108e-05,"[-0.00014505494505492322, 0.0]",0,-0.0009670329670328215
informative,history_square_only_group,static_group,0.8497802901620582,-3.174603174602719e-05,"[-9.523809523808158e-05, 0.0]",0,-0.0006349206349205438
informative,second_moment_full,static_full,0.8523719580029757,0.002732238842519913,"[0.00176836983152081, 0.0036962839400284764]",14,0.0
informative,second_moment_group,static_group,0.8527853051569279,0.002973268963123671,"[0.001969365684179301, 0.003961894550934299]",14,0.0
informative,energy_full,static_full,0.8741866006355643,0.024546881475108355,"[0.022310709016083403, 0.02655162200160142]",20,0.009344056984071036
informative,energy_group,static_group,0.8733676158412615,0.023555579647457064,"[0.021523358352059388, 0.025291430996559623]",20,0.009285350866893638
null,equal,static_full,0.9658163249109837,9.296457229834298e-05,"[-2.888500810631411e-05, 0.00021263015196118485]",12,-0.0004996277283593198
null,static_full,static_full,0.9657233603386857,0.0,"[0.0, 0.0]",0,0.0
null,static_group,static_group,0.9657371202058529,0.0,"[0.0, 0.0]",0,0.0
null,static_minvar,static_full,0.9653238263990916,-0.00039953393959411555,"[-0.0006168154937430412, -0.00019313046371836437]",4,-0.0012892639474917367
null,static_vertex,static_full,0.958301467012278,-0.00742189332640758,"[-0.00854380666152162, -0.006340634452629915]",0,-0.012847212037661815
null,population_static_full,static_full,0.9657345254568623,1.116511817667587e-05,"[-7.152583171180823e-05, 9.376078999538975e-05]",11,-0.0004310513734865351
null,population_context_full,population_static_full,0.9657345254568623,0.0,"[0.0, 0.0]",0,0.0
