outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4378,2422,133.99223389675652,121.0,218.0
error,4442,3490,952,137.90143266475644,124.0,224.0
clean,2358,888,1470,118.62837837837837,109.0,195.0
