method,cell_macro_auroc,mean_delta_pp,family_delta_pp,family_ci_low,family_ci_high,wins,losses,worst_delta_pp
deployed_upcr,0.7735279028911622,-0.05349947497164109,-0.015607544568734671,-0.15141943504391608,0.1410963331805709,11,13,-1.8422753716871298
iu_pcr,0.7740628976408787,0.0,0.0,0.0,0.0,0,0,0.0
dufs_liu,0.774138859873973,0.007596223309434362,0.007730168707016857,-0.06431626379998202,0.0949503224980941,13,10,-0.31693711967545335
manual_graph__beta_0__blend_1,0.7751413567944111,0.10784591535325332,0.17048865912403163,-0.002286263218574061,0.42771684404587723,14,10,-0.691560992032314
permuted_graph__beta_3__blend_1,0.7728425494155955,-0.1220348225283191,-0.07487457195156491,-0.1705624297072693,0.044340461494819405,8,16,-0.6051145670732838
global_gate__beta_3__blend_1,0.7735016482066523,-0.05612494342263167,-0.0316753568307003,-0.16230256107245697,0.09889114481233391,11,13,-0.5198180636777017
sample_permuted_gate__beta_3__blend_1,0.773537611221518,-0.05252864193606618,-0.007305624294705673,-0.24172183773684291,0.22437997653470204,10,14,-0.8106268550132745
manual_graph__beta_3__blend_1,0.7727088433378699,-0.1354054303008667,-0.09645884885835995,-0.29330815107682273,0.09075585904294835,8,16,-1.0155986982381404
