cell,rep,arena,family,variant,size,auroc,floor,overlap,overlap_null,fallback,seconds,error
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.relres_greedy,3,0.7370474406991262,0.6560549313358303,0.3333333333333333,0.49616666666666664,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.upcrres_greedy,4,0.5660892634207242,0.6719850187265918,0.5,0.3125,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.router@good5,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.router@minres,3,0.7370474406991262,0.6560549313358303,0.3333333333333333,0.49616666666666664,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.router@loco5,5,0.7726279650436954,0.6693820224719101,0.8,0.471,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.good5+K_ah,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.good5+K_kn,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a1_residual,a1.minres+K_ah,3,0.7370474406991262,0.6560549313358303,0.3333333333333333,0.49616666666666664,0,11.50892162322998,
ars_gsm8k_r1distill8b,0,full,a2_groupfs,a2.select,9,0.6853152309612983,0.7176498127340823,0.3333333333333333,0.49755555555555553,0,15.196545505523682,
ars_gsm8k_r1distill8b,0,full,a2_groupfs,a2.select+groups,9,0.6853152309612983,0.7176498127340823,0.3333333333333333,0.49755555555555553,0,15.196545505523682,
ars_gsm8k_r1distill8b,0,full,a2_groupfs,a2.groups@good5,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,15.196545505523682,
ars_gsm8k_r1distill8b,0,full,a2_groupfs,a2.dufs,15,0.7119225967540574,0.7315106117353308,0.4666666666666667,0.4500666666666667,0,15.196545505523682,
ars_gsm8k_r1distill8b,0,full,a2_groupfs,a2.dufs_pf,13,0.6981897627965044,0.7267103620474407,0.46153846153846156,0.4723846153846154,0,15.196545505523682,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k3,3,0.6968632958801498,0.6560549313358303,0.3333333333333333,0.4255,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k4,4,0.7487515605493134,0.6719850187265918,0.5,0.401125,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k5,5,0.7410268414481899,0.6693820224719101,0.6,0.3833000000000001,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k6,6,0.7478152309612984,0.7048501872659176,0.5,0.37066666666666664,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k7,7,0.7540574282147317,0.6897659176029962,0.5714285714285714,0.3877857142857143,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae_k8,8,0.778636079900125,0.6948377028714107,0.5,0.3811875,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a3_concrete_ae,a3.cae,4,0.7487515605493134,0.6719850187265918,0.5,0.401125,0,9.427610567637853,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.anchor_s4,4,0.6714263420724095,0.6719850187265918,0.0,0.503875,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.anchor_s5,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.anchor_s6,6,0.6772784019975031,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.anchor_adapt,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.intrinsic_k_ah,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.good5+K_intrinsic_ah,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.good5+K_intrinsic_kn,5,0.7567883895131087,0.6693820224719101,0.4,0.425,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.recon_s4,4,0.7487515605493134,0.6719850187265918,0.5,0.401125,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.recon_s5,5,0.7563982521847691,0.6693820224719101,0.4,0.425,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.recon_s6,6,0.7644350811485643,0.7048501872659176,0.5,0.40641666666666665,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a4_antigravity,a4.recon_adapt,4,0.7487515605493134,0.6719850187265918,0.5,0.401125,0,0.01362577351656827,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.0_s4,4,0.6714263420724095,0.6719850187265918,0.0,0.503875,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.0_s5,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.0_s6,6,0.6772784019975031,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.0_adapt,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.3_s4,4,0.6714263420724095,0.6719850187265918,0.0,0.503875,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.3_s5,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.3_s6,6,0.6772784019975031,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.3_adapt,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.5_s4,4,0.6714263420724095,0.6719850187265918,0.0,0.503875,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.5_s5,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.5_s6,6,0.6772784019975031,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.5_adapt,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.7_s4,4,0.6714263420724095,0.6719850187265918,0.0,0.503875,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.7_s5,5,0.6799313358302123,0.6693820224719101,0.2,0.5012,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.7_s6,6,0.6772784019975031,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a5_mrmr,a5.mrmr_a0.7_adapt,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,0.0037883520126342773,
ars_gsm8k_r1distill8b,0,full,a7_iter_consensus,a7.iter_consensus,6,0.7251872659176031,0.7048501872659176,0.5,0.47175,0,4.566734313964844,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k3,3,0.6697877652933832,0.6560549313358303,0.0,0.49616666666666664,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k4,4,0.6698657927590512,0.6719850187265918,0.0,0.503875,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k5,5,0.6715043695380774,0.6693820224719101,0.0,0.5012,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k6,6,0.6724406991260925,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k7,7,0.6778245942571786,0.6897659176029962,0.2857142857142857,0.5050714285714285,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.k8,8,0.6809456928838951,0.6948377028714107,0.375,0.4995625,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae,6,0.6724406991260925,0.7048501872659176,0.16666666666666666,0.5019166666666667,0,5.890256464481354,
ars_gsm8k_r1distill8b,0,full,a8_lscae,lscae.recon_only,6,0.7655274656679151,0.7048501872659176,0.5,0.40641666666666665,0,5.890256464481354,
