version,regime,heldout_group,family,delta,n_source_cells,n_source_samples,objective,n_iter,delta_norm
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,entropy_level,0.027113285032714984,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,entropy_dynamics,-0.03400151047713722,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,sampled_token_energy,-0.017600652693950614,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,partition_energy,0.058868363725720727,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,topk_distribution,0.028528429555792482,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,gsm8k,structural,0.03343135241230561,13,33937,0.5808234304399248,8,0.08716666094341648
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,entropy_level,0.021821210530795204,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,entropy_dynamics,-0.03493812812563114,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,sampled_token_energy,-0.035802036129489734,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,partition_energy,0.05407490333061639,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,topk_distribution,0.025702562099585158,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,hotpotqa,structural,0.056781450463725944,22,47851,0.5711652689906389,8,0.09893166228479483
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,entropy_level,0.017226343380780433,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,entropy_dynamics,-0.031514165430516765,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,sampled_token_energy,-0.03899801712189177,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,partition_energy,0.04859621629568499,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,topk_distribution,0.021201231248226014,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,math500,structural,0.06277666050025726,18,44151,0.591461250459666,8,0.0977892039887646
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,entropy_level,0.019191865760392647,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,entropy_dynamics,-0.03326431822925435,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,sampled_token_energy,-0.03217636398019525,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,partition_energy,0.05374730088475959,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,topk_distribution,0.023095017825661895,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,nq_open,structural,0.06110483576474527,22,39891,0.5774317678195795,9,0.09831639808398726
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,entropy_level,0.01849267489516925,22,48153,0.5780006774124545,8,0.09471936499948146
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,entropy_dynamics,-0.035227421554212025,22,48153,0.5780006774124545,8,0.09471936499948146
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,sampled_token_energy,-0.029943006339018967,22,48153,0.5780006774124545,8,0.09471936499948146
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,partition_energy,0.053500329805882076,22,48153,0.5780006774124545,8,0.09471936499948146
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,topk_distribution,0.02444176700962282,22,48153,0.5780006774124545,8,0.09471936499948146
harp-global-contribution-teacher-v1-2026-08-12,original_lofo,sciq,structural,0.05506849334473422,22,48153,0.5780006774124545,8,0.09471936499948146
