version,cell,family,contribution_family,budget,prior_strength,n_splits,mean_delta,std_delta,positive_fraction,mean_delta_norm,mean_cosine_to_cell_mean
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,entropy_level,all,0.3,30,0.0664957792232978,0.034847306778640015,1.0,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,entropy_dynamics,all,0.3,30,-0.03799541321488114,0.04023832642460502,0.13333333333333333,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,sampled_token_energy,all,0.3,30,-0.06539486737427852,0.05421785177352789,0.16666666666666666,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,partition_energy,all,0.3,30,0.0068784463713204265,0.04148163923949409,0.5,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,topk_distribution,all,0.3,30,0.040156205372931617,0.03143516421635303,0.9,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,sciq_llama8b,sciq,structural,all,0.3,30,0.1361710018236946,0.052924461794317965,0.9666666666666667,0.1741958792592047,0.8670167324258082
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,entropy_level,all,0.3,30,0.05571301599355168,0.0057004015725362215,1.0,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,entropy_dynamics,all,0.3,30,-0.08017468937129361,0.006759438314535837,0.0,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,sampled_token_energy,all,0.3,30,-0.01771839093109431,0.007854298261982135,0.0,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,partition_energy,all,0.3,30,0.009722755703188682,0.006450022788297429,0.9333333333333333,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,topk_distribution,all,0.3,30,0.07239346118379143,0.004826273523688639,1.0,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_nq_open_llama8b,nq_open,structural,all,0.3,30,0.0013190474820403307,0.005426016427416089,0.7,0.12321910335236633,0.9946851468729326
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,entropy_level,all,0.3,30,-0.028664285009009638,0.008848356304008848,0.0,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,entropy_dynamics,all,0.3,30,-0.01890793898652405,0.010708785612077103,0.03333333333333333,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,sampled_token_energy,all,0.3,30,-0.08531207736312495,0.013298925050142421,0.0,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,partition_energy,all,0.3,30,0.17535762031196248,0.01693114426536385,1.0,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,topk_distribution,all,0.3,30,-0.009214757139820477,0.00814923349625323,0.2,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,se_squad_v2_llama8b,squad_v2,structural,all,0.3,30,0.03417496452414231,0.00940984814327676,1.0,0.20114779861249865,0.9937158132766513
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,entropy_level,all,0.3,30,-0.02861306459741111,0.0067845294062786905,0.0,0.15068823448239962,0.9938633599557403
