version,budget,method,n_cells,n_families,cell_macro_auroc,cell_macro_iu_auroc,cell_macro_delta_pp,equal_family_delta_pp,equal_family_ci_low_pp,equal_family_ci_high_pp,wins,losses,ties,worst_delta_pp
harp-contribution-subspace-poc-v1-2026-08-12,20,family_ridge,23,8,0.6790164860516651,0.769775728564887,-9.075924251322181,-8.281478551060658,-9.443108722572275,-7.222470144303178,0,23,0,-19.60602930127727
harp-contribution-subspace-poc-v1-2026-08-12,20,full_ridge,23,8,0.7229489292459919,0.769775728564887,-4.682679931889493,-4.923671933512067,-6.948362068794943,-3.452743979163696,0,23,0,-11.338458523643691
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_0.1,23,8,0.7302758435075897,0.769775728564887,-3.949988505729717,-3.553593883316544,-4.242578657782865,-2.8722306598109224,0,23,0,-8.49408339594292
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_0.3,23,8,0.7530862806870724,0.769775728564887,-1.6689447877814412,-1.4388319674966579,-1.790177529819307,-1.1305442957154632,1,22,0,-4.194518212011422
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_1,23,8,0.7670643848669245,0.769775728564887,-0.2711343697962245,-0.17210160119355533,-0.3508697580672326,0.02637935264875694,9,14,0,-1.418511713603443
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_3,23,8,0.770399887769306,0.769775728564887,0.062415920441906955,0.08739800658794677,-0.031142827557275876,0.2140346619252309,14,9,0,-0.32129635348044916
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_10,23,8,0.7703735255987876,0.769775728564887,0.05977970339006252,0.06626496394648342,0.022490406851403178,0.1142287914384324,18,5,0,-0.10373917008663636
harp-contribution-subspace-poc-v1-2026-08-12,20,anchored_30,23,8,0.7700661859753588,0.769775728564887,0.029045741047177248,0.027692191575798785,0.0076573081679183015,0.04707179573360089,18,5,0,-0.02785204991085921
harp-contribution-subspace-poc-v1-2026-08-12,40,family_ridge,23,8,0.7179414105202643,0.769775728564887,-5.183431804462277,-4.655301528571389,-5.794617457866402,-3.531892832949822,0,23,0,-13.574223641372429
harp-contribution-subspace-poc-v1-2026-08-12,40,full_ridge,23,8,0.7414196473219693,0.769775728564887,-2.835608124291742,-3.1509703242442177,-4.217351654743417,-2.1451359360137605,1,22,0,-7.25744047619048
