version,cell,family,budget,n_splits,iu_auroc,family_ridge_auroc,full_ridge_auroc,anchored_0.1_auroc,anchored_0.3_auroc,anchored_1_auroc,anchored_3_auroc,anchored_10_auroc,anchored_30_auroc
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,20,30,0.7612844579739557,0.6854726872991713,0.7178462709284628,0.7326399458819549,0.7517123287671232,0.7619863013698631,0.7633307965499747,0.7623118552342295,0.761614239810587
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,40,30,0.7612844579739557,0.7169288009470658,0.7290588533739217,0.7491840013529513,0.7587730424488414,0.7632250972433622,0.7633307965499746,0.7624767461525452,0.7618171824792829
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,80,30,0.7612844579739557,0.7427997632335531,0.7389142567224757,0.7593269068154913,0.7641679350583459,0.7643243700321325,0.7630517503805176,0.7621046845932689,0.7616015558937933
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,all,30,0.7612844579739557,0.7718036529680364,0.7617875866734315,0.7750084559445292,0.7734990698461018,0.7676560121765601,0.7640199560290883,0.762392186707255,0.7617664468121089
harp-contribution-subspace-poc-v1-2026-08-12,epr_triviaqa_mistral24b,triviaqa,20,30,0.7501685850482501,0.6417277060806883,0.6845221485873735,0.6917160795256365,0.7206691082432274,0.7415881874200675,0.7480525520288339,0.7497907220090688,0.7501424252993838
harp-contribution-subspace-poc-v1-2026-08-12,epr_triviaqa_mistral24b,triviaqa,40,30,0.7501685850482501,0.6801680037204975,0.7071183583304267,0.7249883734449482,0.7409806999186141,0.7493837925822578,0.7507993256598069,0.7504912219509361,0.7502441576560865
harp-contribution-subspace-poc-v1-2026-08-12,epr_triviaqa_mistral24b,triviaqa,80,30,0.7501685850482501,0.7031420765027324,0.7036449250087202,0.7332025345890013,0.7433321706778282,0.7492442739216372,0.7507847924659925,0.7503982095105219,0.7503197302639228
harp-contribution-subspace-poc-v1-2026-08-12,epr_triviaqa_mistral24b,triviaqa,all,30,0.7501685850482501,0.7441314963376352,0.7261248692012559,0.7501976514358796,0.7519241948610628,0.7524706429484944,0.7513922799674456,0.7505580746424835,0.7504243692593886
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,20,30,0.7139880594622753,0.6484152742717473,0.6667588251793084,0.6933445526305245,0.7079777216812919,0.7172977521336699,0.7174620346996835,0.7153383820170695,0.7145209760788556
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,40,30,0.7139880594622753,0.6637897183155027,0.679476699923869,0.715073927154706,0.721909684657611,0.7217894779019915,0.7185358817165526,0.7156990022839284,0.7146291621589133
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,80,30,0.7139880594622753,0.6946027166726769,0.7048844011700124,0.7204551829146132,0.7227190768121169,0.720891934126698,0.717614296590135,0.7155307128260608,0.7145570381055415
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,all,30,0.7139880594622753,0.742104419601715,0.7509075610049286,0.7394278158432503,0.7332051127940056,0.7245502263893897,0.7189806467123454,0.7157310574187602,0.7144769002684619
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_llama3b,gsm8k,20,30,0.6953104349720426,0.6309331203253215,0.6701754895553458,0.6831341224311961,0.6961532689468206,0.7004255319148937,0.6986938735991093,0.6967240335971727,0.6957843777987558
