family,model,n_audit,s0_calibration_f1,s0_diagnostics_max_abs_delta,s0_locator_mismatches,s0_max_abs_score_delta,s0_metric_max_abs_delta,s0_prediction_mismatches,s0_reconstruction_exact,s0_target_mismatches,s0_threshold,s0_threshold_abs_delta
gsm8k,qwen3_8b,76,0.3716405605935697,0.0,0,2.220446049250313e-16,0.0,0,True,0,-0.17784578467156104,0.0
math,qwen3_8b,182,0.39883345156459366,1.1102230246251565e-16,0,6.661338147750939e-16,0.0,0,True,0,-0.16616368518468555,1.3877787807814457e-16
olympiadbench,qwen3_8b,191,0.34302431888827944,1.1102230246251565e-16,0,4.440892098500626e-16,0.0,0,True,0,-0.24366336851464174,2.7755575615628914e-17
omnimath,qwen3_8b,186,0.35172738559013655,0.0,0,6.661338147750939e-16,0.0,0,True,0,-0.2970805955657324,2.220446049250313e-16
gsm8k,llama31_8b,76,0.4110671936758894,2.220446049250313e-16,0,1.3322676295501878e-15,0.0,0,True,0,-0.20283408408877907,3.0531133177191805e-16
math,llama31_8b,182,0.3603439500683078,1.1102230246251565e-16,0,6.661338147750939e-16,0.0,0,True,0,-0.1326324558127899,8.326672684688674e-17
olympiadbench,llama31_8b,191,0.3427065026362039,0.0,0,6.661338147750939e-16,0.0,0,True,0,-0.1439194387636106,8.326672684688674e-17
omnimath,llama31_8b,186,0.331080148986067,0.0,0,6.661338147750939e-16,0.0,0,True,0,-0.24781163994990962,5.551115123125783e-17
