delta,family,metric_id,n_groups
-0.04087191430349338,gsm8k,macro_f1,76
-0.08750000000000002,gsm8k,exact_error,76
0.09722222222222227,gsm8k,clean_abstention,76
-0.06250000000000003,gsm8k,within_one,76
-0.04799611962240108,math,macro_f1,182
-0.04166666666666667,math,exact_error,182
-0.02702702702702703,math,clean_abstention,182
-0.037037037037037035,math,within_one,182
-0.025833927632555403,olympiadbench,macro_f1,191
-0.027272727272727268,olympiadbench,exact_error,191
0.03703703703703698,olympiadbench,clean_abstention,191
-0.027272727272727254,olympiadbench,within_one,191
-0.02991851267267051,omnimath,macro_f1,186
-0.03900709219858156,omnimath,exact_error,186
0.09999999999999998,omnimath,clean_abstention,186
-0.09219858156028371,omnimath,within_one,186
