method_id,feature,joint_group,weight
fixed_family_continuous_lsml_active23,entropy_sw_var_series,1,0.02645720634971233
fixed_family_continuous_lsml_active23,entropy_rolling_rs_hurst,1,0.04827635300684149
fixed_family_continuous_lsml_active23,entropy_cusum_abs_series,2,0.002396661525418659
fixed_family_continuous_lsml_active23,spilled_series,2,0.1618612890798865
fixed_family_continuous_lsml_active23,spilled_sw_var_series,2,0.1618612890798865
fixed_family_continuous_lsml_active23,energy_series,0,0.2968208020017772
fixed_family_continuous_lsml_active23,energy_rolling_min,0,0.2720932897612436
fixed_family_continuous_lsml_active23,energy_sw_var_series,0,0.1998278345601755
fixed_family_continuous_lsml_active23,top1_logprob_series,0,0.2845508709877793
fixed_family_continuous_lsml_active23,logprob_margin_series,0,0.21440541446520514
fixed_family_continuous_lsml_active23,topk_entropy_series,0,0.2987630753966055
fixed_family_continuous_lsml_active23,topk_varentropy_series,0,0.24430419322037253
fixed_family_continuous_lsml_active23,topk_renyi2_series,0,0.2928538403658091
fixed_family_continuous_lsml_active23,topk_tail_mass_series,0,0.24519224375263327
