contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,primary,per_cell_deltas_json
primary_dufs_all32_minus_final_nll,dufs_liu_pcr__resid-core-32__all32__flat,final_layer_nll__resid-core-32__all32__flat,auroc,-0.05212766661299806,-0.07020730203758507,-0.033505215833761044,3,0,3,-0.2055124927846953,0.4375,1.0,True,"{""gsm8k_t1.0"": -0.2055124927846953, ""nq_open_t0.5"": -0.11301194150340543, ""sciq_t1.0"": 0.05187677874498253, ""squadv2_t0.5"": 0.06939994896668411, ""triviaqa_t1.0"": 0.006856617647058805, ""truthfulqa_t0.5"": -0.12237491074861306}"
primary_dufs_all32_minus_final_nll,dufs_liu_pcr__resid-core-32__all32__flat,final_layer_nll__resid-core-32__all32__flat,auprc,-0.030438646582049474,-0.050485562409990636,-0.00817468517160987,3,0,3,-0.28908042206658285,1.0,1.0,False,"{""gsm8k_t1.0"": -0.28908042206658285, ""nq_open_t0.5"": -0.09742958250960376, ""sciq_t1.0"": 0.10548153613942832, ""squadv2_t0.5"": 0.13862076455833583, ""triviaqa_t1.0"": 0.0017771181280641368, ""truthfulqa_t0.5"": -0.042001293741938506}"
primary_dufs_all32_minus_iu,dufs_liu_pcr__resid-core-32__all32__flat,iu_pcr__resid-core-32__all32__flat,auroc,-0.002172594280507053,-0.0034405418097025364,-0.0009673223279850619,2,2,2,-0.015626288447266323,0.6875,1.0,True,"{""gsm8k_t1.0"": -0.015626288447266323, ""nq_open_t0.5"": -0.004239248308926746, ""sciq_t1.0"": -4.635166078015285e-05, ""squadv2_t0.5"": 0.002956674155545347, ""triviaqa_t1.0"": 0.004448529411764657, ""truthfulqa_t0.5"": -0.0005288808333790973}"
primary_dufs_all32_minus_iu,dufs_liu_pcr__resid-core-32__all32__flat,iu_pcr__resid-core-32__all32__flat,auprc,-0.002321503613825974,-0.004453640122157601,-0.0003625104928033748,2,1,3,-0.01924725575708003,0.84375,1.0,False,"{""gsm8k_t1.0"": -0.01924725575708003, ""nq_open_t0.5"": -0.002348497500404001, ""sciq_t1.0"": -0.0021652772148575417, ""squadv2_t0.5"": 0.007211695373266602, ""triviaqa_t1.0"": 0.0035222132657727334, ""truthfulqa_t0.5"": -0.000901899849653609}"
iu_minus_upcr_all32,iu_pcr__resid-core-32__all32__flat,upcr__resid-core-32__all32__flat,auroc,0.003385285409498895,-0.0011024903111755838,0.007637131813076536,3,2,1,-0.003235294117647003,0.3125,1.0,False,"{""gsm8k_t1.0"": -0.00014430609384030735, ""nq_open_t0.5"": 0.0070707738587167945, ""sciq_t1.0"": 0.012561300071381565, ""squadv2_t0.5"": 0.0008729184586364624, ""triviaqa_t1.0"": -0.003235294117647003, ""truthfulqa_t0.5"": 0.003186320279745858}"
iu_minus_upcr_all32,iu_pcr__resid-core-32__all32__flat,upcr__resid-core-32__all32__flat,auprc,0.006615086456150508,0.001176062223511561,0.011776951638207883,4,1,1,-0.0032930886445181606,0.21875,1.0,False,"{""gsm8k_t1.0"": 0.0032410191828216584, ""nq_open_t0.5"": 0.005837178196501647, ""sciq_t1.0"": 0.02977409730911529, ""squadv2_t0.5"": -0.0005897689612972545, ""triviaqa_t1.0"": -0.0032930886445181606, ""truthfulqa_t0.5"": 0.004721081654279868}"
upcr_minus_equal_mean,upcr__resid-core-32__all32__flat,equal_mean__resid-core-32__all32__flat,auroc,0.017163521791352342,0.01168681072598651,0.022729607946075113,5,1,0,-0.0009826552085361318,0.0625,1.0,False,"{""gsm8k_t1.0"": 0.03566422033479011, ""nq_open_t0.5"": 0.01115606186588125, ""sciq_t1.0"": -0.0009826552085361318, ""squadv2_t0.5"": 0.013492335935909594, ""triviaqa_t1.0"": 0.02895220588235292, ""truthfulqa_t0.5"": 0.014698961937716304}"
upcr_minus_equal_mean,upcr__resid-core-32__all32__flat,equal_mean__resid-core-32__all32__flat,auprc,0.019558774164898613,0.012576964479448699,0.02657555400875012,5,1,0,0.0003589349409323095,0.03125,1.0,False,"{""gsm8k_t1.0"": 0.04694983742618708, ""nq_open_t0.5"": 0.014986788698945874, ""sciq_t1.0"": 0.015020778699053716, ""squadv2_t0.5"": 0.01958649747378005, ""triviaqa_t1.0"": 0.020449807750492655, ""truthfulqa_t0.5"": 0.0003589349409323095}"
upcr_spaced8_minus_all32,upcr__resid-core-8__spaced8__flat,upcr__resid-core-32__all32__flat,auroc,0.004180179215798348,-9.438998279531692e-05,0.008437730845502648,4,2,0,-0.000968912344355588,0.09375,1.0,False,"{""gsm8k_t1.0"": -0.000968912344355588, ""nq_open_t0.5"": 0.003492246844803759, ""sciq_t1.0"": 0.00044497594348802405, ""squadv2_t0.5"": 0.006211566136073987, ""triviaqa_t1.0"": 0.012757352941176414, ""truthfulqa_t0.5"": 0.003143845773603493}"
upcr_spaced8_minus_all32,upcr__resid-core-8__spaced8__flat,upcr__resid-core-32__all32__flat,auprc,0.002249202598814374,-0.003296272698215268,0.008245117940283792,3,1,2,-0.029664682990212576,0.84375,1.0,False,"{""gsm8k_t1.0"": -0.029664682990212576, ""nq_open_t0.5"": -0.0002097859165707261, ""sciq_t1.0"": 0.01856937772228756, ""squadv2_t0.5"": 0.015752225466345693, ""triviaqa_t1.0"": 0.011144831713483683, ""truthfulqa_t0.5"": -0.0020967504024473893}"
upcr_late8_minus_all32,upcr__resid-core-8__late8__flat,upcr__resid-core-32__all32__flat,auroc,-0.046512300337578694,-0.06664528665682613,-0.025536777433036895,0,0,6,-0.14333568093793464,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.0017110579698194073, ""nq_open_t0.5"": -0.14333568093793464, ""sciq_t1.0"": -0.03257594719618806, ""squadv2_t0.5"": -0.00926958661045929, ""triviaqa_t1.0"": -0.045680147058823506, ""truthfulqa_t0.5"": -0.04650138225224726}"
upcr_late8_minus_all32,upcr__resid-core-8__late8__flat,upcr__resid-core-32__all32__flat,auprc,-0.04383672598452668,-0.06368196945618891,-0.023214199641369008,1,0,5,-0.12408389665089697,0.09375,1.0,False,"{""gsm8k_t1.0"": -0.061355985200466645, ""nq_open_t0.5"": -0.12408389665089697, ""sciq_t1.0"": -0.06103981912845324, ""squadv2_t0.5"": 0.016573793493840583, ""triviaqa_t1.0"": -0.012153302794255527, ""truthfulqa_t0.5"": -0.0209611456269283}"
upcr_hierarchical_minus_flat,upcr__resid-core-32__all32__hierarchical-bands,upcr__resid-core-32__all32__flat,auroc,-0.0032140381898434676,-0.012007712383228581,0.005900403781422488,2,0,4,-0.03356787273688011,0.84375,1.0,False,"{""gsm8k_t1.0"": 0.04659025315411891, ""nq_open_t0.5"": 0.016124191603415494, ""sciq_t1.0"": -0.03356787273688011, ""squadv2_t0.5"": -0.014034957528144765, ""triviaqa_t1.0"": -0.02334558823529409, ""truthfulqa_t0.5"": -0.011050255396276243}"
upcr_hierarchical_minus_flat,upcr__resid-core-32__all32__hierarchical-bands,upcr__resid-core-32__all32__flat,auprc,-0.005346233544034111,-0.016493202352726173,0.005953161225693184,3,0,3,-0.044605724872808394,0.84375,1.0,False,"{""gsm8k_t1.0"": 0.04844214983405176, ""nq_open_t0.5"": 0.0014609582373558139, ""sciq_t1.0"": -0.044605724872808394, ""squadv2_t0.5"": -0.02386134670889095, ""triviaqa_t1.0"": -0.01610591125321792, ""truthfulqa_t0.5"": 0.002592473499305026}"
