cell,method,contract,kind,graph_components,mean_degree,spectral_gap,condition_number,weight_cosine_vs_iu,feature,value,seed,epoch
gsm8k_t1.0,controls_all32,controls_all32,graph_health,,,,,,,,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,0,0.024008511432999067,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,1,0.022535429238939968,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,2,0.024938961338886914,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,3,0.026423750491208195,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,4,0.02375599124955754,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,5,0.022741742186824784,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,6,0.02220656028517191,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,7,0.018342499159197494,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,8,0.023406547503704356,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,9,0.02558978225727719,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,10,0.022635906424047884,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,11,0.02503835952937157,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,12,0.023054227965083652,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,13,0.020031744856033762,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,14,0.025675124236353573,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,15,0.028794427560266986,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,16,0.03226284316396078,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,17,0.03400675924192787,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,18,0.03334356081063989,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,19,0.03362581117697428,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,20,0.03359974562348108,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,21,0.03341751619197981,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,22,0.03059633910227095,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,23,0.029660915344927256,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,24,0.02892835534735364,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,25,0.027371729706472617,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,26,0.024376845029489374,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,27,0.021585160356452145,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,28,0.018809496870144986,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,29,0.007396084911136043,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,30,0.0,,
gsm8k_t1.0,core_all32,core_all32,deployed_weights,,,,,,31,0.0,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,0,0.02216563720370993,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,1,0.019886752388237283,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,2,0.02186233242270688,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,3,0.02277046230227707,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,4,0.019896655373085263,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,5,0.018867171096580843,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,6,0.018089483949407598,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,7,0.014570265328508912,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,8,0.019717975684234994,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,9,0.022180982767895634,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,10,0.01962054109208174,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,11,0.021417813680314833,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,12,0.01918474395289457,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,13,0.016682759740071232,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,14,0.022182555905535847,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,15,0.026976847568454705,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,16,0.030765984526861547,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,17,0.0336177368986925,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,18,0.03356504709020643,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,19,0.034165905900833266,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,20,0.0348767352605788,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,21,0.03498162615371334,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,22,0.03299066248351846,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,23,0.032293664809087214,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,24,0.03166688252596421,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,25,0.02999228391053506,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,26,0.027068532518127533,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,27,0.024403026125227593,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,28,0.021913518037832144,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,29,0.010679799453370675,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,30,-0.007577475026304244,,
gsm8k_t1.0,core_all32,core_all32,iu_weights,,,,,,31,-0.01459857228266377,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,0,0.0196388696194369,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,1,0.016962934806180108,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,2,0.018702979088542557,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,3,0.019168709615575204,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,4,0.016309442695956713,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,5,0.015170129155472105,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,6,0.014684577444192395,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,7,0.01138575652177151,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,8,0.01653560913799704,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,9,0.01884173766411294,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,10,0.01698753201329958,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,11,0.01812288249783347,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,12,0.015958948306856686,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,13,0.014260495744096846,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,14,0.019168045520410945,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,15,0.02444826435760602,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,16,0.028065532022656266,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,17,0.03142249321220179,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,18,0.03183531620760753,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,19,0.03261062122107254,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,20,0.03369973297035876,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,21,0.03400958357561529,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,22,0.03278910015141221,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,23,0.032457731432251134,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,24,0.032029392668358664,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,25,0.030505462779501325,,
gsm8k_t1.0,core_all32,core_all32,dufs_liu_weights,,,,,,26,0.027938400309531285,,
