method_key,method,feature_contract,layer_subset,structured,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high
final_layer_nll__resid-core-32__all32__flat,final_layer_nll,resid-core-32,all32,flat,0.7230878758121765,0.7062871938786083,0.7388411945998583,0.662718456632265,0.6443447080219583,0.6820280320767148
equal_mean__resid-core-32__all32__flat,equal_mean,resid-core-32,all32,flat,0.6525839962788343,0.634095851368562,0.6697250384713285,0.6084274530429924,0.5903347857530925,0.6309749819684655
pc1__resid-core-32__all32__flat,pc1,resid-core-32,all32,flat,0.6708915392445906,0.6525678288092033,0.6884036386951741,0.6306735352565364,0.6115357749286234,0.6538456492223536
token_length__resid-core-32__all32__flat,token_length,resid-core-32,all32,flat,0.72970803962016,0.7130876935696842,0.7455181885781222,0.684896099569393,0.6634732721747248,0.7066140518550372
upcr__resid-core-32__all32__flat,upcr,resid-core-32,all32,flat,0.6697475180701867,0.6514262550535933,0.6872985347287884,0.627986227207891,0.6087652842083201,0.651267660774029
iu_pcr__resid-core-32__all32__flat,iu_pcr,resid-core-32,all32,flat,0.6731328034796856,0.6547901829398067,0.6904035197614218,0.6346013136640415,0.6142812542482415,0.6580494203679218
dufs_liu_pcr__resid-core-32__all32__flat,dufs_liu_pcr,resid-core-32,all32,flat,0.6709602091991784,0.6528170116564933,0.6880801315359871,0.6322798100502155,0.6125499538906128,0.6553609702538925
upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.6739276972859849,0.6557740210585593,0.6913274654626891,0.6302354298067053,0.6115521419905418,0.653689423019417
iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.6889695357455414,0.6709337489520744,0.7057427038328855,0.645433211061313,0.6249440040791039,0.6687485880127995
dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.6887745114025446,0.6706959560248823,0.705466031218233,0.6456067787078362,0.6250635768952847,0.6687370434946565
upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.623235217732608,0.6049441154669224,0.6414008733665566,0.5841495012233643,0.5680901174140762,0.6051526264288302
iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6619407590516021,0.6436344302850158,0.6795815391962993,0.6282085508581533,0.6096448407382239,0.6502508623169362
dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6603859333764196,0.6420749087238743,0.6780698353470993,0.6271056252017896,0.6085963312035316,0.649024534711087
su_pcr__resid-core-32__all32__dependency,su_pcr,resid-core-32,all32,dependency,0.6671473680158454,0.6489809330069335,0.6851738247189667,0.6261520681254875,0.6068683610626588,0.6500611256019182
lsml_continuous__resid-core-32__all32__dependency,lsml_continuous,resid-core-32,all32,dependency,0.6596193240166466,0.6412875554638852,0.6769132789064464,0.6218809025523035,0.6026856134471672,0.6453182143134395
clustered_upcr__resid-core-32__all32__dependency,clustered_upcr,resid-core-32,all32,dependency,0.6733954538229181,0.655289130078935,0.6911920905085828,0.6335137558792073,0.614289219333369,0.6573558628949067
upcr__resid-core-32__all32__hierarchical-bands,upcr,resid-core-32,all32,hierarchical-bands,0.6665334798803431,0.6486413357221058,0.6842345994949162,0.6226399936638568,0.603205458634519,0.647178382481157
iu_pcr__resid-core-32__all32__hierarchical-bands,iu_pcr,resid-core-32,all32,hierarchical-bands,0.6795071981422166,0.6621278467711054,0.6966703587849038,0.6411248374318507,0.6211382449702126,0.6651907233518138
dufs_liu_pcr__resid-core-32__all32__hierarchical-bands,dufs_liu_pcr,resid-core-32,all32,hierarchical-bands,0.6792496583837001,0.661827616214546,0.6964232849826866,0.6408182387156942,0.6207422161507423,0.6650206951667933
upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.7150531566847219,0.6983060689620888,0.732204683584098,0.6969432468531319,0.6731058211311741,0.7216843136854738
iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7507213457107532,0.734646562375694,0.7663068088822719,0.7281619231985775,0.7051980507454961,0.7511212512741441
dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7524153596456754,0.7362090830419603,0.7680768563141684,0.7310802133931903,0.7083914429323362,0.7539705419226976
upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.7139043193096332,0.6982015738101598,0.729185443931547,0.6764341978337273,0.6553653884500124,0.7000662467909292
iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7208829614998145,0.7045931517742706,0.7360950374523035,0.6939611367514876,0.671383577272166,0.7174245582815619
dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7190434380375944,0.7027444943732808,0.7345786338427615,0.6922760130515276,0.6698479941679922,0.7161615589292427
upcr__resid-core-32-length-residualized__all32__flat,upcr,resid-core-32-length-residualized,all32,flat,0.5671249437072069,0.5476808651432442,0.5863377968530877,0.5309106336667143,0.5131626068968278,0.5535218898227015
iu_pcr__resid-core-32-length-residualized__all32__flat,iu_pcr,resid-core-32-length-residualized,all32,flat,0.5645620012098677,0.5452012014407199,0.5840861339852832,0.5297058023878564,0.5119602239499674,0.5522156737720934
dufs_liu_pcr__resid-core-32-length-residualized__all32__flat,dufs_liu_pcr,resid-core-32-length-residualized,all32,flat,0.560157701320818,0.5405749995115029,0.5795502450182224,0.5263002233656349,0.5085189573824024,0.5485770990692512
