cell,contract,diagnostic,feature_a,feature_b,value,effective_rank,layer_distance
gsm8k_t1.0,resid-core-32,layer_correlation,2,3,0.7005767975009273,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,4,0.5771205103190203,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,5,0.42611484271189953,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,6,0.34923111819573666,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,7,0.34057415425761167,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,8,0.28844251646670377,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,9,0.37559629478147155,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,10,0.21260145789710747,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,11,0.3073686354836695,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,12,0.31691096411395137,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,13,0.2885879035103509,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,14,0.3586552386091911,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,15,0.3681684896821643,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,16,0.3059384888401115,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,17,0.27093954470129417,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,18,0.2714326860426035,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,19,0.24455593407458043,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,20,0.22536770418800706,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,21,0.21688181154189531,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,22,0.15150414577339255,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,23,0.1947987233823128,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,24,0.16838141750504346,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,25,0.16531641609093048,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,26,0.13291408994112647,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,27,0.09013699014675765,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,28,0.01074095486253,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,29,-0.11617151269867393,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,30,-0.2854269203354986,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,2,31,-0.3717815263985218,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,0,0.49455784619139354,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,1,0.6089303494711111,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,2,0.7005767975009274,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,3,0.9999999999999999,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,4,0.7274934903337592,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,5,0.5884954628333713,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,6,0.46854823588862926,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,7,0.3879597822225087,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,8,0.39538999403890646,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,9,0.45244148684748703,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,10,0.2708098375254008,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,11,0.3765176849727394,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,12,0.4025534381856554,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,13,0.28152898823422445,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,14,0.4078299362736664,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,15,0.35263541092334955,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,16,0.3570686255823229,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,17,0.29307256986600444,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,18,0.23888745045690252,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,19,0.23848057306067533,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,20,0.19918602148074546,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,21,0.18463555908803198,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,22,0.13958164826094685,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,23,0.1572653626670812,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,24,0.13589076476307302,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,25,0.14896664525638117,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,26,0.13350735367558997,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,27,0.0873446594838437,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,28,0.009031740061434349,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,29,-0.17718341464424742,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,30,-0.33263424326353697,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,3,31,-0.4388278145193025,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,0,0.32280814672352304,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,1,0.46974344798449524,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,2,0.5771205103190203,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,3,0.7274934903337592,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,4,1.0,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,5,0.6935752993258113,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,6,0.6403677857230253,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,7,0.5275143935417546,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,8,0.43587724591603133,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,9,0.4009800373762506,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,10,0.2019637678259158,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,11,0.3423668224594806,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,12,0.3805018365370629,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,13,0.21838009318671395,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,14,0.29157013537107607,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,15,0.2312439039391554,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,16,0.3072072580905397,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,17,0.26334435693911235,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,18,0.23939092898195496,5.740438404543392,
