cell,method_key,method,feature_contract,layer_subset,structured,auroc,auprc,prevalence,n_samples,n_groups,status,label_use
gsm8k_t1.0,final_layer_nll__resid-core-32__all32__flat,final_layer_nll,resid-core-32,all32,flat,0.770161622825101,0.6531795472926021,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,equal_mean__resid-core-32__all32__flat,equal_mean,resid-core-32,all32,flat,0.5447555042467223,0.3331555243740905,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,pc1__resid-core-32__all32__flat,pc1,resid-core-32,all32,flat,0.5893460872433414,0.39325247880869507,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,token_length__resid-core-32__all32__flat,token_length,resid-core-32,all32,flat,0.7257978065473737,0.5525354314844291,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__resid-core-32__all32__flat,upcr,resid-core-32,all32,flat,0.5804197245815124,0.3801053618002776,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__resid-core-32__all32__flat,iu_pcr,resid-core-32,all32,flat,0.5802754184876721,0.38334638098309926,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__resid-core-32__all32__flat,dufs_liu_pcr,resid-core-32,all32,flat,0.5646491300404057,0.3640991252260192,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.5794508122371568,0.350440678810065,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.5905211511503257,0.3754664338135174,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.5885420961490887,0.3730875420987808,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.578708666611693,0.31874937659981095,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6102292405376433,0.35855395697106496,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6101261647563289,0.35826910308084703,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,su_pcr__resid-core-32__all32__dependency,su_pcr,resid-core-32,all32,dependency,0.5809351034880844,0.38397651744240485,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,lsml_continuous__resid-core-32__all32__dependency,lsml_continuous,resid-core-32,all32,dependency,0.5384060361177537,0.3339958133712001,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,clustered_upcr__resid-core-32__all32__dependency,clustered_upcr,resid-core-32,all32,dependency,0.5935721942772327,0.3950771132690889,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__resid-core-32__all32__hierarchical-bands,upcr,resid-core-32,all32,hierarchical-bands,0.6270099777356313,0.42854751163432936,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__resid-core-32__all32__hierarchical-bands,iu_pcr,resid-core-32,all32,hierarchical-bands,0.6295250267997031,0.4218726699981606,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__resid-core-32__all32__hierarchical-bands,dufs_liu_pcr,resid-core-32,all32,hierarchical-bands,0.6287210357054507,0.4210115913141479,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.7831904015832439,0.6501431953096775,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7392595035870372,0.6004859130644885,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7528448915642783,0.6202540492357403,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.7964871773728044,0.6620183273251055,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7965490228415931,0.6569699612671985,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7968994804980621,0.6577557672157625,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,upcr__resid-core-32-length-residualized__all32__flat,upcr,resid-core-32-length-residualized,all32,flat,0.5305310464253319,0.3273715805524524,0.2701612903225806,496,496,eligible_label_free,none
gsm8k_t1.0,iu_pcr__resid-core-32-length-residualized__all32__flat,iu_pcr,resid-core-32-length-residualized,all32,flat,0.5273563123608478,0.32631693944731754,0.2701612903225806,496,496,eligible_label_free,none
