version,replicate,seed,F_hash_signal,F_hash_nuisance,equal_F,calibration_hash_bundle_signal,calibration_hash_bundle_nuisance,equal_calibration_indices,current_geometry_equivalent,historical_geometry_equivalent,current_upcr_used_simple_average,historical_upcr_used_simple_average,historical_upcr_n_kept
u2-prior-reconciliation-v1-2026-08-06,0,240006,e61ede8297f4fd3e19064908d1374028868e22dd2fa5582ec096817be85a1695,e61ede8297f4fd3e19064908d1374028868e22dd2fa5582ec096817be85a1695,True,5c87c01b60793f9e8c19371af858ea7c8c801a8549ab118864895b0b431e0c35,5c87c01b60793f9e8c19371af858ea7c8c801a8549ab118864895b0b431e0c35,True,True,False,False,False,10
u2-prior-reconciliation-v1-2026-08-06,1,241015,ccb50ea67f9560fd541fc3146a03f09b0e37d2a98bdc82083d35f7fa2eef730c,ccb50ea67f9560fd541fc3146a03f09b0e37d2a98bdc82083d35f7fa2eef730c,True,478148d91e64bc76e71314f676e9c40b21a3cff7a4449f2d42362520318d2e4d,478148d91e64bc76e71314f676e9c40b21a3cff7a4449f2d42362520318d2e4d,True,True,False,False,False,11
u2-prior-reconciliation-v1-2026-08-06,2,242024,216e2e0ad5bb6c914fa708d96c6fcf22542e2c6f6cfa05ec78f2d5dc63f662d9,216e2e0ad5bb6c914fa708d96c6fcf22542e2c6f6cfa05ec78f2d5dc63f662d9,True,37f5c9cf2f58f4f616d207b07c98a1d6f00e116cd37f702b3015f5a4c3f1e70e,37f5c9cf2f58f4f616d207b07c98a1d6f00e116cd37f702b3015f5a4c3f1e70e,True,True,False,False,False,9
u2-prior-reconciliation-v1-2026-08-06,3,243033,c557e2706297c1f2e3a4618afc35865791ccac33e90e3bb660e5abe1b1e4b073,c557e2706297c1f2e3a4618afc35865791ccac33e90e3bb660e5abe1b1e4b073,True,4f067fb6159498c3a6632dacf5ae0e8680ff98eedae917ce7c10fb7ddcdf6026,4f067fb6159498c3a6632dacf5ae0e8680ff98eedae917ce7c10fb7ddcdf6026,True,True,False,False,False,8
u2-prior-reconciliation-v1-2026-08-06,4,244042,81124728bb699f4fb05e8a4ceb57cdd5ba8c85fe20e2fb0bf304930985995d77,81124728bb699f4fb05e8a4ceb57cdd5ba8c85fe20e2fb0bf304930985995d77,True,6cf88165fe9b23363986e35df3b261c8a413da9104ba5f7e707e3de6cde33f28,6cf88165fe9b23363986e35df3b261c8a413da9104ba5f7e707e3de6cde33f28,True,True,False,False,False,7
u2-prior-reconciliation-v1-2026-08-06,5,245051,db30a8b7ffc18443eac1292778221e824c03ba939efe3c362c0f5d39748bf601,db30a8b7ffc18443eac1292778221e824c03ba939efe3c362c0f5d39748bf601,True,204798149fea7532e7306fdd894a47e7eddf0ae54a6d3c7aa3244aa2bf635ed4,204798149fea7532e7306fdd894a47e7eddf0ae54a6d3c7aa3244aa2bf635ed4,True,True,False,False,False,10
u2-prior-reconciliation-v1-2026-08-06,6,246060,349bdfb9c1d3544e98e9d414e678e9dfc9cea917570ee31b195363858265adba,349bdfb9c1d3544e98e9d414e678e9dfc9cea917570ee31b195363858265adba,True,d9940ab9eb411360f9be093234fca0b031958fcb0abed003567ad18560623149,d9940ab9eb411360f9be093234fca0b031958fcb0abed003567ad18560623149,True,True,False,False,False,8
u2-prior-reconciliation-v1-2026-08-06,7,247069,d2b3c7e220d90986a9dca1f00e02eafab68b86ad066d94cf23450eeef9a0931a,d2b3c7e220d90986a9dca1f00e02eafab68b86ad066d94cf23450eeef9a0931a,True,87dc488153de27ef9e69f9c721c9b5341badcfa14f63b6c310baaf84430b7e88,87dc488153de27ef9e69f9c721c9b5341badcfa14f63b6c310baaf84430b7e88,True,True,False,False,False,11
