version,cell,group,domain,budget,n_repetitions,method,upcr_auroc,candidate_auroc,delta_pp,optimistic_endpoint_switch_gain_pp
u2-prior-reconciliation-v1-2026-08-06,epr_triviaqa_mistral24b,QA,QA,20,30,anchored_pcr2,0.7469654691314964,0.7445209859318686,-0.2444483199627867,0.0
u2-prior-reconciliation-v1-2026-08-06,internalstates_gsm8k_qwen25_7b,math,math,20,30,anchored_pcr2,0.7039828505028649,0.70364627158713,-0.03365789157349086,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_llama3b,math,math,20,30,anchored_pcr2,0.6968063321472661,0.693890058819258,-0.29162733280080344,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_llama8b,math,math,20,30,anchored_pcr2,0.8106248693834901,0.8107502612330199,0.012539184952975457,0.012539184952975457
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_mistral24b,math,math,20,30,anchored_pcr2,0.8468319559228653,0.843388429752066,-0.3443526170799349,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_nemo,math,math,20,30,anchored_pcr2,0.7975088787417555,0.7951995602908846,-0.23093184508709008,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_phi35,math,math,20,30,anchored_pcr2,0.8086932663690476,0.8044596354166665,-0.4233630952381051,0.0
u2-prior-reconciliation-v1-2026-08-06,losnet_hotpotqa_mistral7b,QA,QA,20,30,anchored_pcr2,0.5752302436125966,0.5736036838978015,-0.1626559714795084,0.0
u2-prior-reconciliation-v1-2026-08-06,math500_dsmath7b,math,math,20,30,anchored_pcr2,0.7833258628417749,0.7814582399521889,-0.18676228895859737,0.0
u2-prior-reconciliation-v1-2026-08-06,math500_qwenmath7b,math,math,20,30,anchored_pcr2,0.9129563255011284,0.9171113766095845,0.41550511084561537,0.41550511084561537
u2-prior-reconciliation-v1-2026-08-06,math500_r1distill8b,math,math,20,30,anchored_pcr2,0.8455084359325126,0.8440834473324214,-0.1424988600091215,0.0
u2-prior-reconciliation-v1-2026-08-06,math500_r1distill8b_mn4096,math,math,20,30,anchored_pcr2,0.8315748566987273,0.8299038181288254,-0.1671038569901917,0.0
u2-prior-reconciliation-v1-2026-08-06,noise_gsm8k_mistral7b,math,math,20,30,anchored_pcr2,0.7806824975488438,0.7802750077719587,-0.04074897768850949,0.0
u2-prior-reconciliation-v1-2026-08-06,noise_gsm8k_phi3mini,math,math,20,30,anchored_pcr2,0.6865893972403777,0.6831918663761801,-0.33975308641975843,0.0
u2-prior-reconciliation-v1-2026-08-06,sciq_llama8b,QA,QA,20,30,anchored_pcr2,0.7496855345911951,0.7414628464942932,-0.8222688096901964,0.0
u2-prior-reconciliation-v1-2026-08-06,se_nq_open_llama8b,QA,QA,20,30,anchored_pcr2,0.7478717277474709,0.743520125410612,-0.43516023368589396,0.0
u2-prior-reconciliation-v1-2026-08-06,se_squad_v2_llama8b,QA,QA,20,30,anchored_pcr2,0.8110420390551424,0.8107453295277633,-0.029670952737903544,0.0
u2-prior-reconciliation-v1-2026-08-06,seiclr_triviaqa_opt30b,QA,QA,20,30,anchored_pcr2,0.811894482966536,0.8142146182963185,0.232013532978248,0.232013532978248
u2-prior-reconciliation-v1-2026-08-06,semenergy_triviaqa_qwen3_8b,QA,QA,20,30,anchored_pcr2,0.811613398050352,0.808566045379823,-0.30473526705290244,0.0
u2-prior-reconciliation-v1-2026-08-06,spilled_triviaqa_llama8b,QA,QA,20,30,anchored_pcr2,0.9471947194719472,0.9508250825082509,0.36303630363037076,0.36303630363037076
u2-prior-reconciliation-v1-2026-08-06,trace_gsm8k_llama8b_k10,math,math,20,30,anchored_pcr2,0.8093382877689942,0.8068574673364074,-0.24808204325867944,0.0
u2-prior-reconciliation-v1-2026-08-06,trace_math500_qwenmath15b_k10,math,math,20,30,anchored_pcr2,0.6858527168792808,0.6856238700888652,-0.022884679041568212,0.0
u2-prior-reconciliation-v1-2026-08-06,truthfulqa_llama8b,QA,QA,20,30,anchored_pcr2,0.6608635568820754,0.6605087505087505,-0.035480637332496734,0.0
u2-prior-reconciliation-v1-2026-08-06,ars_gsm8k_r1distill8b,math,math,20,30,anchored_pcr6,0.7338871976999831,0.7409944190766108,0.710722137662767,0.710722137662767
u2-prior-reconciliation-v1-2026-08-06,epr_triviaqa_mistral24b,QA,QA,20,30,anchored_pcr6,0.7469654691314964,0.737481106848041,-0.9484362283455394,0.0
u2-prior-reconciliation-v1-2026-08-06,internalstates_gsm8k_qwen25_7b,math,math,20,30,anchored_pcr6,0.7039828505028649,0.7044115879312417,0.042873742837679085,0.042873742837679085
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_llama3b,math,math,20,30,anchored_pcr6,0.6968063321472661,0.6978011763851573,0.09948442378912015,0.09948442378912015
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_llama8b,math,math,20,30,anchored_pcr6,0.8106248693834901,0.804025078369906,-0.65997910135841,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_mistral24b,math,math,20,30,anchored_pcr6,0.8468319559228653,0.841929626846982,-0.49023290758832827,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_nemo,math,math,20,30,anchored_pcr6,0.7975088787417555,0.7912531709791983,-0.6255707762557128,0.0
u2-prior-reconciliation-v1-2026-08-06,lapeigvals_gsm8k_phi35,math,math,20,30,anchored_pcr6,0.8086932663690476,0.798852306547619,-0.984095982142863,0.0
u2-prior-reconciliation-v1-2026-08-06,losnet_hotpotqa_mistral7b,QA,QA,20,30,anchored_pcr6,0.5752302436125966,0.5743018419489008,-0.09284016636957881,0.0
u2-prior-reconciliation-v1-2026-08-06,math500_dsmath7b,math,math,20,30,anchored_pcr6,0.7833258628417749,0.7807709547288212,-0.2554908112953669,0.0
u2-prior-reconciliation-v1-2026-08-06,math500_qwenmath7b,math,math,20,30,anchored_pcr6,0.9129563255011284,0.9278640647816274,1.4907739280499044,1.4907739280499044
u2-prior-reconciliation-v1-2026-08-06,math500_r1distill8b,math,math,20,30,anchored_pcr6,0.8455084359325126,0.8459188326493389,0.04103967168263001,0.04103967168263001
u2-prior-reconciliation-v1-2026-08-06,math500_r1distill8b_mn4096,math,math,20,30,anchored_pcr6,0.8315748566987273,0.8366948411541824,0.5119984455455029,0.5119984455455029
u2-prior-reconciliation-v1-2026-08-06,noise_gsm8k_mistral7b,math,math,20,30,anchored_pcr6,0.7806824975488438,0.7846263481359258,0.39438505870820206,0.39438505870820206
u2-prior-reconciliation-v1-2026-08-06,noise_gsm8k_phi3mini,math,math,20,30,anchored_pcr6,0.6865893972403777,0.6697777777777777,-1.6811619462600014,0.0
u2-prior-reconciliation-v1-2026-08-06,sciq_llama8b,QA,QA,20,30,anchored_pcr6,0.7496855345911951,0.7363382250174701,-1.3347309573724986,0.0
u2-prior-reconciliation-v1-2026-08-06,se_nq_open_llama8b,QA,QA,20,30,anchored_pcr6,0.7478717277474709,0.7398988846640963,-0.7972843083374648,0.0
u2-prior-reconciliation-v1-2026-08-06,se_squad_v2_llama8b,QA,QA,20,30,anchored_pcr6,0.8110420390551424,0.813810206807742,0.2768167752599582,0.2768167752599582
u2-prior-reconciliation-v1-2026-08-06,seiclr_triviaqa_opt30b,QA,QA,20,30,anchored_pcr6,0.811894482966536,0.8097156064717114,-0.2178876494824622,0.0
u2-prior-reconciliation-v1-2026-08-06,semenergy_triviaqa_qwen3_8b,QA,QA,20,30,anchored_pcr6,0.811613398050352,0.805115250137857,-0.6498147912495034,0.0
u2-prior-reconciliation-v1-2026-08-06,spilled_triviaqa_llama8b,QA,QA,20,30,anchored_pcr6,0.9471947194719472,0.9361386138613861,-1.105610561056114,0.0
u2-prior-reconciliation-v1-2026-08-06,trace_gsm8k_llama8b_k10,math,math,20,30,anchored_pcr6,0.8093382877689942,0.7953771752854634,-1.3961112483530824,0.0
u2-prior-reconciliation-v1-2026-08-06,trace_math500_qwenmath15b_k10,math,math,20,30,anchored_pcr6,0.6858527168792808,0.6839285259593104,-0.19241909199704255,0.0
u2-prior-reconciliation-v1-2026-08-06,truthfulqa_llama8b,QA,QA,20,30,anchored_pcr6,0.6608635568820754,0.6542358944210798,-0.6627662460995665,0.0
