auprc,auroc,candidate,component,exact,model,split,subset,tol1
0.8076544902437501,0.7654126304723285,global_iu,detector,,qwen3_4b,development,gsm8k,
0.8094305623370515,0.767665390102876,global_dufs,detector,,qwen3_4b,development,gsm8k,
,,local_temporal_core,locator,0.3333333333333333,qwen3_4b,development,gsm8k,0.6521739130434783
,,local_dufs_core,locator,0.2995169082125604,qwen3_4b,development,gsm8k,0.6280193236714976
,,local_dufs_broad,locator,0.2995169082125604,qwen3_4b,development,gsm8k,0.6231884057971014
0.852032379181454,0.7927634306944651,global_iu,detector,,qwen3_4b,development,math,
0.8533352483637456,0.7947745102917516,global_dufs,detector,,qwen3_4b,development,math,
,,local_temporal_core,locator,0.27104377104377103,qwen3_4b,development,math,0.5858585858585859
,,local_dufs_core,locator,0.2895622895622896,qwen3_4b,development,math,0.5841750841750841
,,local_dufs_broad,locator,0.26262626262626265,qwen3_4b,development,math,0.5622895622895623
0.8595042421005716,0.7840672262907278,global_iu,detector,,qwen3_4b,nonselection,olympiadbench,
0.8605433786944459,0.7858612364389346,global_dufs,detector,,qwen3_4b,nonselection,olympiadbench,
,,local_temporal_core,locator,0.23903177004538578,qwen3_4b,nonselection,olympiadbench,0.5113464447806354
,,local_dufs_core,locator,0.24659606656580937,qwen3_4b,nonselection,olympiadbench,0.5264750378214826
,,local_dufs_broad,locator,0.2314674735249622,qwen3_4b,nonselection,olympiadbench,0.481089258698941
0.9235533593774176,0.8288258737473966,global_iu,detector,,qwen3_4b,nonselection,omnimath,
0.9248951628521686,0.8318490698068544,global_dufs,detector,,qwen3_4b,nonselection,omnimath,
,,local_temporal_core,locator,0.22793148880105402,qwen3_4b,nonselection,omnimath,0.530961791831357
,,local_dufs_core,locator,0.2318840579710145,qwen3_4b,nonselection,omnimath,0.5230566534914362
,,local_dufs_broad,locator,0.22002635046113306,qwen3_4b,nonselection,omnimath,0.47299077733860345
0.8008134804090239,0.7528972991915096,global_iu,detector,,qwen3_8b,nonselection,gsm8k,
0.8032787655531551,0.7559009786989062,global_dufs,detector,,qwen3_8b,nonselection,gsm8k,
,,local_temporal_core,locator,0.30917874396135264,qwen3_8b,nonselection,gsm8k,0.6231884057971014
,,local_dufs_core,locator,0.30434782608695654,qwen3_8b,nonselection,gsm8k,0.6328502415458938
,,local_dufs_broad,locator,0.26570048309178745,qwen3_8b,nonselection,gsm8k,0.6038647342995169
0.852971250341998,0.7929873447114826,global_iu,detector,,qwen3_8b,nonselection,math,
0.8544057738339149,0.7948864673002605,global_dufs,detector,,qwen3_8b,nonselection,math,
,,local_temporal_core,locator,0.29292929292929293,qwen3_8b,nonselection,math,0.6077441077441077
,,local_dufs_core,locator,0.29292929292929293,qwen3_8b,nonselection,math,0.6043771043771043
,,local_dufs_broad,locator,0.23905723905723905,qwen3_8b,nonselection,math,0.5303030303030303
0.8604856788453578,0.7829515483378628,global_iu,detector,,qwen3_8b,nonselection,olympiadbench,
0.8610651993235843,0.7839110313773268,global_dufs,detector,,qwen3_8b,nonselection,olympiadbench,
,,local_temporal_core,locator,0.23903177004538578,qwen3_8b,nonselection,olympiadbench,0.5416036308623298
,,local_dufs_core,locator,0.2481089258698941,qwen3_8b,nonselection,olympiadbench,0.5521936459909228
,,local_dufs_broad,locator,0.20574886535552195,qwen3_8b,nonselection,olympiadbench,0.46444780635400906
0.924462651804806,0.8310454354113024,global_iu,detector,,qwen3_8b,nonselection,omnimath,
0.9257483944808842,0.8336422132200592,global_dufs,detector,,qwen3_8b,nonselection,omnimath,
,,local_temporal_core,locator,0.2002635046113307,qwen3_8b,nonselection,omnimath,0.5217391304347826
,,local_dufs_core,locator,0.22266139657444006,qwen3_8b,nonselection,omnimath,0.5164690382081687
,,local_dufs_broad,locator,0.2028985507246377,qwen3_8b,nonselection,omnimath,0.4650856389986825
