model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.391680343390986,0.3526570048309179,0.5700483091787439,0.44041450777202074,0.395,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.34766277584267824,0.26936026936026936,0.48653198653198654,0.49014778325123154,0.359,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.3135472315721212,0.22995461422087746,0.4523449319213313,0.49262536873156343,0.319,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.31293837923518925,0.20948616600790515,0.4005270092226614,0.6182572614107884,0.308,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3996678149606299,0.3526570048309179,0.5120772946859904,0.46113989637305697,0.405,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.3578891519059669,0.265993265993266,0.48653198653198654,0.5467980295566502,0.38,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3321266271277825,0.2329803328290469,0.45537065052950076,0.5781710914454278,0.35,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.30630159500952525,0.1976284584980237,0.4005270092226614,0.6804979253112033,0.314,1000,759,241
llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,0.41232957913455837,0.357487922705314,0.5507246376811594,0.48704663212435234,0.42,400,207,193
llama31_8b,math,processbench_math_llama31_8b,0.3324588055955949,0.2356902356902357,0.48484848484848486,0.5640394088669951,0.369,1000,594,406
llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,0.3074306598396989,0.2178517397881997,0.4341906202723147,0.5221238938053098,0.321,1000,661,339
llama31_8b,omnimath,processbench_omnimath_llama31_8b,0.2930114408365004,0.18972332015810275,0.37285902503293805,0.6431535269709544,0.299,1000,759,241
