slice_type,slice_id,status,positive_class,auroc,auprc,mean_risk,risk_q90,coverage,n_examples,n_positive,n_negative
overall,all,OK,annotated_error_step,0.6039723618267502,0.21535153477589042,0.51510218786866,0.8697306987081922,1.0,83280,13144,70136
error_family,circular,OK,annotated_error_step,0.6307152054892832,0.3442306052095078,0.6061525749899996,0.9221329485940875,1.0,7813,2135,5678
error_family,confidence,OK,annotated_error_step,0.5952439686542307,0.1745115809493441,0.50373289669412,0.8409934032563483,1.0,10711,1303,9408
error_family,counterfactual,OK,annotated_error_step,0.5643815675877342,0.24883436327510727,0.5001332033830389,0.8466613956624194,1.0,10477,2074,8403
error_family,deception,OK,annotated_error_step,0.5121895791789404,0.1867575485210003,0.4694433764803383,0.8481108265983212,1.0,10053,1698,8355
error_family,domain_inconsistency,OK,annotated_error_step,0.641377518498897,0.1910589246177227,0.5742750471396447,0.9006792739163683,1.0,10031,1338,8693
error_family,missing_condition,OK,annotated_error_step,0.5682248622589532,0.23985333475703058,0.5545619786712398,0.9323820474652375,1.0,9613,1869,7744
error_family,multi_solutions,METRIC_UNDEFINED_SINGLE_CLASS,annotated_error_step,,,0.2206542853539102,0.5007433218002872,1.0,2241,0,2241
error_family,redundency,OK,annotated_error_step,0.6202764003333934,0.18622056782032595,0.5026474417848229,0.8236725849335427,1.0,11613,1537,10076
error_family,step_contradiction,OK,annotated_error_step,0.6029958009624483,0.14784289960331798,0.5018511326867846,0.8407547736109795,1.0,10728,1190,9538
source_stratum,prm_train,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
source_stratum,prm_test,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
