population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
current_common_eight_qwen,official_macro_f1,0.3452267398806099,0.3270292900715335,0.36207566678753716,6800,3400
current_common_eight_qwen,first_error_exact,0.26383963957140305,0.2445383064019706,0.28386823526044425,6800,3400
current_common_eight_qwen,first_error_within_one,0.4704948972281078,0.44843881258648205,0.49229846246734826,6800,3400
current_common_eight_qwen,clean_abstention_accuracy,0.5385064829814927,0.5109511789064658,0.566220146366154,6800,3400
current_common_eight_qwen,overall_decision_accuracy,0.35375,0.33743749999999995,0.37025,6800,3400
current_full_twelve_cell,official_macro_f1,0.342253700370936,0.3254097639451711,0.3577762647640171,10200,3400
current_full_twelve_cell,first_error_exact,0.2592891945760897,0.24156672382794028,0.2776761943164143,10200,3400
current_full_twelve_cell,first_error_within_one,0.4672151621383133,0.44724334021451423,0.48700020081725054,10200,3400
current_full_twelve_cell,clean_abstention_accuracy,0.5437012771349627,0.5179772007845252,0.5697927133832705,10200,3400
current_full_twelve_cell,overall_decision_accuracy,0.35325,0.337875,0.36845833333333333,10200,3400
