scale_ratio,loss,g2_projection_k,components,exclusion,difficulty_gate,config,macro_auroc,mean_frac_features_kept,n_cells_abstained
0.25,l2,1,one,True,False,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=False,0.7447809180681365,0.41592629082284255,0
0.25,l2,1,one,True,True,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=True,0.7386239912699317,0.41592629082284255,9
0.25,l2,1,one,False,False,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
0.25,l2,1,one,False,True,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=True,0.6977050054701965,1.0,9
0.25,l2,1,auto,True,False,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=False,0.7405138611084665,0.41592629082284255,0
0.25,l2,1,auto,True,True,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=True,0.7339021209473843,0.41592629082284255,9
0.25,l2,1,auto,False,False,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=False,0.6834805731549433,1.0,0
0.25,l2,1,auto,False,True,scale_ratio=0.25|loss=l2|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=True,0.6717923935348092,1.0,9
0.25,l2,match,one,True,False,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=False,0.7447809180681365,0.41592629082284255,0
0.25,l2,match,one,True,True,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=True,0.7386239912699317,0.41592629082284255,9
0.25,l2,match,one,False,False,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
0.25,l2,match,one,False,True,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=True,0.6977050054701965,1.0,9
0.25,l2,match,auto,True,False,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=False,0.7391515914753798,0.4487177522349936,0
0.25,l2,match,auto,True,True,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=True,0.7391515914753798,0.4487177522349936,0
0.25,l2,match,auto,False,False,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=False,0.679026621317411,1.0,0
0.25,l2,match,auto,False,True,scale_ratio=0.25|loss=l2|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=True,0.679026621317411,1.0,0
0.25,l1,1,one,True,False,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=False,0.7203213886186702,0.40769348659003835,0
0.25,l1,1,one,True,True,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=True,0.7100103214249944,0.40769348659003835,1
0.25,l1,1,one,False,False,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
0.25,l1,1,one,False,True,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=True,0.745398060603335,1.0,1
0.25,l1,1,auto,True,False,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=False,0.667081331345603,0.40769348659003835,0
0.25,l1,1,auto,True,True,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=True,0.666258546431242,0.40769348659003835,1
0.25,l1,1,auto,False,False,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=False,0.6865247906848837,1.0,0
0.25,l1,1,auto,False,True,scale_ratio=0.25|loss=l1|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=True,0.6823481190775057,1.0,1
0.25,l1,match,one,True,False,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=False,0.7203213886186702,0.40769348659003835,0
0.25,l1,match,one,True,True,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=True,0.7100103214249944,0.40769348659003835,1
0.25,l1,match,one,False,False,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
0.25,l1,match,one,False,True,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=True,0.745398060603335,1.0,1
0.25,l1,match,auto,True,False,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=False,0.6956108175578187,0.42720561941251595,0
0.25,l1,match,auto,True,True,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=True,0.6956108175578187,0.42720561941251595,1
0.25,l1,match,auto,False,False,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=False,0.6369554205683889,1.0,0
0.25,l1,match,auto,False,True,scale_ratio=0.25|loss=l1|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=True,0.6359024939930026,1.0,1
1.0,l2,1,one,True,False,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=False,0.7384616130508074,0.3511873745666849,0
1.0,l2,1,one,True,True,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=True,0.7345292644513609,0.3511873745666849,25
1.0,l2,1,one,False,False,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
1.0,l2,1,one,False,True,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=True,0.6266998223691186,1.0,25
1.0,l2,1,auto,True,False,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=False,0.7377141694375523,0.3511873745666849,0
1.0,l2,1,auto,True,True,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=True,0.7345292644513609,0.3511873745666849,25
1.0,l2,1,auto,False,False,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=False,0.6836046546189375,1.0,0
1.0,l2,1,auto,False,True,scale_ratio=1.0|loss=l2|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=True,0.6266998223691186,1.0,25
1.0,l2,match,one,True,False,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=False,0.7384616130508074,0.3511873745666849,0
1.0,l2,match,one,True,True,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=one|exclusion=True|difficulty_gate=True,0.7345292644513609,0.3511873745666849,25
1.0,l2,match,one,False,False,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
1.0,l2,match,one,False,True,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=one|exclusion=False|difficulty_gate=True,0.6266998223691186,1.0,25
1.0,l2,match,auto,True,False,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=False,0.735731081361633,0.3992464878671776,0
1.0,l2,match,auto,True,True,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=auto|exclusion=True|difficulty_gate=True,0.7320896368066326,0.3992464878671776,25
1.0,l2,match,auto,False,False,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=False,0.6790039353108912,1.0,0
1.0,l2,match,auto,False,True,scale_ratio=1.0|loss=l2|g2_projection_k=match|components=auto|exclusion=False|difficulty_gate=True,0.6266998223691186,1.0,25
1.0,l1,1,one,True,False,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=False,0.7119136198160853,0.4166031746031746,0
1.0,l1,1,one,True,True,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=one|exclusion=True|difficulty_gate=True,0.7018684715095893,0.4166031746031746,11
1.0,l1,1,one,False,False,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=False,0.7532641261501071,1.0,0
1.0,l1,1,one,False,True,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=one|exclusion=False|difficulty_gate=True,0.7052362635545733,1.0,11
1.0,l1,1,auto,True,False,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=False,0.6933203619264884,0.4166031746031746,0
1.0,l1,1,auto,True,True,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=auto|exclusion=True|difficulty_gate=True,0.6910274671017013,0.4166031746031746,11
1.0,l1,1,auto,False,False,scale_ratio=1.0|loss=l1|g2_projection_k=1|components=auto|exclusion=False|difficulty_gate=False,0.7097112059122391,1.0,0
