factor,from,to,mean_delta_pp,median_delta_pp,wins,losses,n_test_sets,wilcoxon_p
scale_ratio,0.25,1.0,-1.05273106326689,-1.0432536055250852,7,18,25,0.0007149577140808105
loss,l2,l1,-1.2883679880016055,0.07168707001664609,13,12,25,0.615043044090271
g2_projection_k,1,match,-0.5924876913115975,-0.1199868975731988,6,18,25,0.002964178167173091
components,one,auto,-3.666086704242191,-2.364115690052382,3,21,25,9.067222017758301e-05
exclusion,True,False,-2.282702150542007,-2.071425682310135,4,21,25,0.00032907724380493164
difficulty_gate,False,True,-2.173914491803056,-1.1645264276628486,3,22,25,2.562999725341797e-06
