cohort,n_cells,method_key,method,feature_contract,layer_subset,structured,macro_auroc,macro_auprc
primary_13_cells,13,final_layer_nll__resid-core-L__all__flat,final_layer_nll,resid-core-L,all,flat,0.7297783951728509,0.5892256809639554
primary_13_cells,13,equal_mean__resid-core-L__all__flat,equal_mean,resid-core-L,all,flat,0.5961990153110387,0.4563318327774422
primary_13_cells,13,pc1__resid-core-L__all__flat,pc1,resid-core-L,all,flat,0.6402914019645845,0.49751600623109893
primary_13_cells,13,token_length__resid-core-L__all__flat,token_length,resid-core-L,all,flat,0.6444252157881472,0.5183383526755259
primary_13_cells,13,upcr__resid-core-L__all__flat,upcr,resid-core-L,all,flat,0.619566226059126,0.4766916934774209
primary_13_cells,13,iu_pcr__resid-core-L__all__flat,iu_pcr,resid-core-L,all,flat,0.6205976639086904,0.48121638492337776
primary_13_cells,13,dufs_liu_pcr__resid-core-L__all__flat,dufs_liu_pcr,resid-core-L,all,flat,0.618065861609754,0.47854658249382703
primary_13_cells,13,upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.621606975042009,0.4772345433603527
primary_13_cells,13,iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.635115750354643,0.49635314519690044
primary_13_cells,13,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.635038492167288,0.4963397503550625
primary_13_cells,13,upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.5941082171599228,0.4571889762188881
primary_13_cells,13,iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6386591940490232,0.49684331193994813
primary_13_cells,13,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6379194260689438,0.49637767943403455
primary_13_cells,13,su_pcr__resid-core-L__all__dependency,su_pcr,resid-core-L,all,dependency,0.6167176456676784,0.47654226945302397
primary_13_cells,13,lsml_continuous__resid-core-L__all__dependency,lsml_continuous,resid-core-L,all,dependency,0.6387850038430112,0.49642380492529353
primary_13_cells,13,clustered_upcr__resid-core-L__all__dependency,clustered_upcr,resid-core-L,all,dependency,0.6266762407352353,0.4824575303977751
primary_13_cells,13,upcr__resid-core-L__all__hierarchical-bands,upcr,resid-core-L,all,hierarchical-bands,0.6408242351015699,0.4977314413798271
primary_13_cells,13,iu_pcr__resid-core-L__all__hierarchical-bands,iu_pcr,resid-core-L,all,hierarchical-bands,0.6467605876172869,0.5035494887585219
primary_13_cells,13,dufs_liu_pcr__resid-core-L__all__hierarchical-bands,dufs_liu_pcr,resid-core-L,all,hierarchical-bands,0.6465363548419045,0.5038008978087348
primary_13_cells,13,upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.6986690325470147,0.5793032396809885
